doc_idx,c5_id,sent_idx,original_sentence,input,mentions,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
64,19780311016379I,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown.,pilot,Aircraft pilot,Q2095549," An aircraft pilot or aviator is a person who controls the flight of an aircraft by operating its directional flight controls. Some other aircrew members, such as navigators or flight engineers, are also considered aviators, because they are involved in operating the aircraft's navigation and engine systems. Other aircrew members, such as flight attendants, mechanics and ground crew, are not classified as aviators.  In recognition of the pilots' qualifications and responsibilities, most militaries and many airlines worldwide award aviator badges to their pilots. ",Aircraft pilot,Q2095549," An aircraft pilot or aviator is a person who controls the flight of an aircraft by operating its directional flight controls. Some other aircrew members, such as navigators or flight engineers, are also considered aviators, because they are involved in operating the aircraft's navigation and engine systems. Other aircrew members, such as flight attendants, mechanics and ground crew, are not classified as aviators.  In recognition of the pilots' qualifications and responsibilities, most militaries and many airlines worldwide award aviator badges to their pilots. "
84,19780617046219I,0,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,flight returned due to mag.,mag,Coma,Q159557," A coma is a deep state of prolonged unconsciousness in which a person cannot be awakened; fails to respond normally to painful stimuli, light, or sound; lacks a normal wake-sleep cycle; and does not initiate voluntary actions. Coma patients exhibit a complete absence of wakefulness and are unable to consciously feel, speak or move. Comas can be derived by natural causes, or can be medically induced.  Clinically, a coma can be defined as the inability to consistently follow a one-step command. It can also be defined as a score of ≤ 8 on the Glasgow Coma Scale (GCS) lasting ≥ 6 hours. For a patient to maintain consciousness, the components of ""wakefulness"" and ""awareness"" must be maintained. Wakefulness describes the quantitative degree of consciousness, whereas awareness relates to the qualitative aspects of the functions mediated by the cortex, including cognitive abilities such as attention, sensory perception, explicit memory, language, the execution of tasks, temporal and spatial orientation and reality judgment. From a neurological perspective, consciousness is maintained by the activation of the cerebral cortex—the gray matter that forms the outer layer of the brain and by the reticular activating system (RAS), a structure located within the brainstem. ",Rabies,Q39222," Rabies is a viral disease that causes inflammation of the brain in humans and other mammals. Early symptoms can include fever and tingling at the site of exposure. These symptoms are followed by one or more of the following symptoms: violent movements, uncontrolled excitement, fear of water, an inability to move parts of the body, confusion, and loss of consciousness. Once symptoms appear, the result is nearly always death. The time period between contracting the disease and the start of symptoms is usually one to three months, but can vary from less than one week to more than one year. The time depends on the distance the virus must travel along peripheral nerves to reach the central nervous system. Rabies is caused by ""lyssaviruses"", including the rabies virus and Australian bat lyssavirus. It is spread when an infected animal scratches or bites another animal or human. Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes, mouth, or nose. Globally, dogs are the most common animal involved. More than 99% of rabies cases in countries where dogs commonly have the disease are the direct result of dog bites. In the Americas, bat bites are the most common source of rabies infections in humans, and less than 5% of cases are from dogs. Rodents are very rarely infected with rabies. The disease can be diagnosed only after the start of symptoms. Animal control and vaccination programs have decreased the risk of rabies from dogs in a number of"
94,19780519033989I,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area.,jetway,Taxiway,Q910386," A taxiway is a path for aircraft at an airport connecting runways with aprons, hangars, terminals and other facilities. They mostly have a hard surface such as asphalt or concrete, although smaller general aviation airports sometimes use gravel or grass.  Busy airports typically construct high-speed or rapid-exit taxiways to allow aircraft to leave the runway at higher speeds. This allows the aircraft to vacate the runway quicker, permitting another to land or take off in a shorter interval of time. This is usually accomplished by making the exiting taxiway longer, thus giving the aircraft more space in which to slow down, before the taxiways' upcoming intersection with another (perpendicular) taxiway, another runway, or the ramp/tarmac.  Most airports do not have a specific speed limit for taxiing (though some do). There is a general rule on safe speed based on obstacles. Operators and aircraft manufacturers might have limits. Typical taxi speeds are 20-30 knots (37-56 km/h; 23-35 mph).   ",Jet bridge,Q1061299," A jet bridge (also termed jetway, gangway, aerobridge/airbridge, air jetty, portal, skybridge, finger, airtube (tube), or its official industry name passenger boarding bridge (PBB)) is an enclosed, movable connector which most commonly extends from an airport terminal gate to an airplane, and in some instances from a port to a boat or ship, allowing passengers to board and disembark without going outside and being exposed to the elements. Depending on building design, sill heights, fueling positions, and operational requirements, a jet bridge may be fixed or movable, swinging radially, and/or extending in length. The jetway was invented by Frank Der Yuen.  Similar devices are used for astronauts to enter spacecrafts, which are installed in the appropriate height of the launch tower. "
97,19780528040689I,0,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","after working on home-built, pilot took off without connecting aileron controls.",aileron,Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. ",Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. "
98,19780529040959I,1,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,landed in marshy area and tipped up on nose.,marshy area,Marsh,Q30198," A marsh is a wetland that is dominated by herbaceous rather than woody plant species. Marshes can often be found at the edges of lakes and streams, where they form a transition between the aquatic and terrestrial ecosystems. They are often dominated by grasses, rushes or reeds. If woody plants are present they tend to be low-growing shrubs. This form of vegetation is what differentiates marshes from other types of wetland such as swamps, which are dominated by trees, and mires, which are wetlands that have accumulated deposits of acidic peat. ",Marsh,Q30198," A marsh is a wetland that is dominated by herbaceous rather than woody plant species. Marshes can often be found at the edges of lakes and streams, where they form a transition between the aquatic and terrestrial ecosystems. They are often dominated by grasses, rushes or reeds. If woody plants are present they tend to be low-growing shrubs. This form of vegetation is what differentiates marshes from other types of wetland such as swamps, which are dominated by trees, and mires, which are wetlands that have accumulated deposits of acidic peat. "
102,19780610045289I,0,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,spring loaded tank drain valve left partially open.,open,Valve,Q208443," A valve is a device that regulates, directs or controls the flow of a fluid (gases, liquids, fluidized solids, or slurries) by opening, closing, or partially obstructing various passageways. Valves are technically fittings, but are usually discussed as a separate category. In an open valve, fluid flows in a direction from higher pressure to lower pressure. The word is derived from the Latin ""valva"", the moving part of a door, in turn from ""volvere"", to turn, roll.  The simplest, and very ancient, valve is simply a freely hinged flap which drops to obstruct fluid (gas or liquid) flow in one direction, but is pushed open by flow in the opposite direction. This is called a check valve, as it prevents or ""checks"" the flow in one direction. Modern control valves may regulate pressure or flow downstream and operate on sophisticated automation systems.  Valves have many uses, including controlling water for irrigation, industrial uses for controlling processes, residential uses such as on/off and pressure control to dish and clothes washers and taps in the home. Even aerosols have a tiny valve built in. Valves are also used in the military and transport sectors. In HVAC ductwork and other near-atmospheric air flows, valves are instead called dampers. In compressed air systems, however, valves are used with the most common type being ball valves. ",Valve,Q208443," A valve is a device that regulates, directs or controls the flow of a fluid (gases, liquids, fluidized solids, or slurries) by opening, closing, or partially obstructing various passageways. Valves are technically fittings, but are usually discussed as a separate category. In an open valve, fluid flows in a direction from higher pressure to lower pressure. The word is derived from the Latin ""valva"", the moving part of a door, in turn from ""volvere"", to turn, roll.  The simplest, and very ancient, valve is simply a freely hinged flap which drops to obstruct fluid (gas or liquid) flow in one direction, but is pushed open by flow in the opposite direction. This is called a check valve, as it prevents or ""checks"" the flow in one direction. Modern control valves may regulate pressure or flow downstream and operate on sophisticated automation systems.  Valves have many uses, including controlling water for irrigation, industrial uses for controlling processes, residential uses such as on/off and pressure control to dish and clothes washers and taps in the home. Even aerosols have a tiny valve built in. Valves are also used in the military and transport sectors. In HVAC ductwork and other near-atmospheric air flows, valves are instead called dampers. In compressed air systems, however, valves are used with the most common type being ball valves. "
107,19780619046649I,1,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,found that the inboard end of aileron push rod was not connected.,aileron,Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. ",Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. "
107,19780619046649I,1,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,found that the inboard end of aileron push rod was not connected.,rod,Fishing rod,Q37152," A fishing rod is a long, flexible rod used by fishermen to catch fish. At its simplest, a fishing rod is a simple stick or pole attached to a line ending in a hook (formerly known as an ""angle"", hence the term angling). The length of the rod can vary between . To entice fish, bait or lures are impaled on one or more hooks attached to the line. The line is generally stored on a reel which reduces tangles and assists in landing a fish.  Traditionally rods are made from bamboo, while contemporary rods are usually made from fibreglass or carbon fibre. In contrast with nets, which are usually used in subsistence and commercial fishing, fishing rods are more often used in recreational fishing and competitive casting. Fishing rods come in many sizes, actions, lengths and configurations depending on whether they are to be used for small, medium or large fish or in different fresh or salt water situations. Various types of fishing rods are designed for specific types of fishing. Fly rods are used to cast artificial flies, spinning rods and bait casting rods are designed to cast baits or lures. Ice fishing rods are designed to fish through small holes in ice covered lakes. Trolling rods are designed to drag bait or lures behind moving boats. ",Connecting rod,Q221539," A connecting rod is a rigid member which connects a piston to a crank or crankshaft in a reciprocating engine. Together with the crank, it forms a simple mechanism that converts reciprocating motion into rotating motion.  A connecting rod may also convert rotating motion into reciprocating motion, its original use. Earlier mechanisms, such as the chain, could only impart pulling motion. Being rigid, a connecting rod may transmit either push or pull, allowing the rod to rotate the crank through both halves of a revolution. In a few two-stroke engines the connecting rod is only required to push.  Today, the connecting rod is best known through its use in internal combustion piston engines, such as automobile engines. These are of a distinctly different design from earlier forms of connecting rod used in steam engines and steam locomotives. "
108,19780622016229A,0,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,rope caught on glider wheel bracket.,rope,Rope,Q31029," A rope is a group of yarns, plies, fibers or strands that are twisted or braided together into a larger and stronger form. Ropes have tensile strength and so can be used for dragging and lifting. Rope is thicker and stronger than similarly constructed cord, string, and twine. ",Rope,Q31029," A rope is a group of yarns, plies, fibers or strands that are twisted or braided together into a larger and stronger form. Ropes have tensile strength and so can be used for dragging and lifting. Rope is thicker and stronger than similarly constructed cord, string, and twine. "
112,19780607020299A,0,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,became airborne after tkof aborted.,tkof,GPS Block IIF,Q5514327," GPS Block IIF, or GPS IIF is an interim class of GPS (satellite), which are used to keep the Navstar Global Positioning System operational until the GPS Block IIIA satellites become operational. They are being built by Boeing, and will be operated by the United States Air Force following their launch by United Launch Alliance, using Evolved Expendable Launch Vehicles. They are the final component of the Block II GPS constellation to be launched. On February 5, 2016, the final satellite in the IIF-block was successfully launched, completing the block.  The spacecraft have a mass of and a design life of 12 years. Like earlier GPS satellites, Block IIF spacecraft operate in semi-synchronous medium Earth orbits, with an altitude of approximately , and an orbital period of twelve hours.  The satellites replace the GPS Block IIA satellites that were launched between 1990 and 1997 and were designed to last 7.5 years. The final satellite of the Block IIA series was decommissioned on January 25, 2016. The operational constellation now includes Block IIR, IIRM and IIF variants.  Because the Evolved Expendable Launch Vehicles are more powerful than the Delta II, which was used to orbit earlier Block II GPS satellites, they can place the satellites directly into their operational orbits. As a result, Block IIF satellites do not carry apogee kick motors. The original contract for Block IIF, signed in 1996, called for 33 spacecraft. This was later reduced to 12, and program delays and technical problems pushed the first launch from 2006",NATO Response Force,Q573044," The NATO Response Force (NRF) is a high readiness force comprising land, air, sea and special forces units capable of being deployed quickly on operations wherever needed. "
113,19780603041639I,0,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,flight apparently took off with the rear cabin entry door open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Q60523248," The women's individual accuracy competition at the 2018 Asian Games in Puncak, Bogor Regency, Indonesia was held from 20 August to 23 August at the Gunung Mas.   ",Door,Q36794," A door is a panel that covers an opening in a building, room or vehicle. Doors are usually made of a hard, semi-permeable, and hard-to-break substance (such as wood or metal), but sometimes consisting of a hard frame into which windows or screens have been fitted. Doors are often attached by hinges to a frame. Doors make ingress into or egress from a building, room, or vehicle easier to manage. The panel may be moved in various ways (at angles away from the frame, by sliding on a plane parallel to the frame, by folding in angles on a parallel plane, or by spinning along an axis at the center of the frame) to allow or prevent ingress or egress. In most cases, a door's interior matches its exterior side. But in other cases (e.g., a vehicle door) the two sides are radically different.  Often doors have locking mechanisms to ensure that only some people can open them. Doors can have devices such as knockers or doorbells by which people outside can announce their presence and summon someone either to open the door for them or give permission to open and enter. Apart from providing access into and out of a space, doors can have the secondary functions of ensuring privacy by preventing unwanted attention from outsiders, of separating areas with different functions, of allowing light to pass into and out of a space, of controlling ventilation or air drafts so that interiors may be more effectively heated or cooled, of dampening noise, and"
118,19780624034629I,1,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,vent stopped up by mud daubers.,mud daubers,Mud dauber,Q6931468," Mud dauber (or ""mud wasp"" or ""dirt dauber"") is a name commonly applied to a number of wasps from either the family Sphecidae or Crabronidae that build their nests from mud. Mud daubers belong to different families and are variable in appearance. Most resemble long, slender wasps about in length. The name refers to the nests that are made by the female wasps, which consist of mud molded into place by the wasp's mandibles. Mud daubers are not normally aggressive, but can become belligerent when threatened. Stings are uncommon. ",Mud dauber,Q6931468," Mud dauber (or ""mud wasp"" or ""dirt dauber"") is a name commonly applied to a number of wasps from either the family Sphecidae or Crabronidae that build their nests from mud. Mud daubers belong to different families and are variable in appearance. Most resemble long, slender wasps about in length. The name refers to the nests that are made by the female wasps, which consist of mud molded into place by the wasp's mandibles. Mud daubers are not normally aggressive, but can become belligerent when threatened. Stings are uncommon. "
