id,sample,entity,qid
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"['SMOKE', None, None]","['Q130768', None, None]"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,"['HIGH OIL TEMP', 'OIL TEMP', 'TEMP']","[None, None, 'Q11466']"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,"['OIL', None, None]","['Q42962', None, None]"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,"['SHEARED MAIN GEAR', 'MAIN GEAR', 'GEAR']","[None, None, 'Q263421']"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,"['OIL', None, None]","['Q42962', None, None]"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,"['BATTERY COMPARTMENT DOOR', 'DOOR', None]","[None, 'Q36794', None]"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,"['ANTENNA', None, None]","['Q131214', None, None]"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,"['WINDSHIELD', None, None]","['Q13693', None, None]"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,"['NOSE GEAR', 'GEAR', None]","[None, 'Q263421', None]"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,"['PIN', None, None]","[None, None, None]"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,"['PREVIOUS MAINTENANCE', 'MAINTENANCE', None]","[None, 'Q1043452', None]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['GROUND STAND', 'STAND', None]","[None, 'Q56071807', None]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES', 'BAGGAGE CART', 'CART']","[None, 'Q14277551', 'Q234668']"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['AIRCRAFT', None, None]","['Q11436', None, None]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['9 INCH TEAR IN FUSELAGE', 'TEAR', None]","[None, 'Q105794273', None]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['9 INCH', None, None]","[None, None, None]"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['FUSELAGE', None, None]","['Q1110579', None, None]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['NORTHWEST AIRLINES DC-10', 'DC-10', None]","[None, 'Q21150832', None]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['NORTHWEST AIRLINES', None, None]","['Q309174', None, None]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['BOEING', None, None]","['Q66', None, None]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['GATE B-52', 'GATE', None]","[None, 'Q247739', None]"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['CONTINENTAL AIRLINES', None, None]","['Q216486', None, None]"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"['ENGINE OVERHEAT', None, None]","[None, None, None]"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"['HOT OIL SMELL', 'SMELL', None]","[None, 'Q485537', None]"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"['OIL', None, None]","['Q42962', None, None]"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"['AIR INTAKE PLUGS', 'PLUGS', None]","[None, 'Q111547495', None]"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['PILOT', None, None]","['Q2095549', None, None]"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['ACCESS DOOR', 'DOOR', None]","['Q2550031', 'Q36794', None]"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['DOOR', None, None]","['Q2550031', None, None]"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['FUSELAGE', None, None]","['Q1110579', None, None]"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['RUNWAY', None, None]","['Q184590', None, None]"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['LANDING', None, None]","['Q844947', None, None]"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['PARKED AIRPLANE', 'AIRPLANE', None]","[None, 'Q197', None]"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['NEWLY INSTALLED CARPETING', 'CARPETING', None]","[None, 'Q124371860', None]"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['RUDDER PEDAL', 'PEDAL', None]","['Q56344540', 'Q1231985', None]"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,"['TAXIWAY', None, None]","['Q910386', None, None]"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,"['TAXIWAY', None, None]","['Q910386', None, None]"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,"['DAMAGED PROP', 'PROP', None]","[None, 'Q922654', None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['FUEL CAP', 'CAP', None]","[None, 'Q2488579', None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['RIGHT TANK', 'TANK', None]","[None, 'Q1047832', None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['GAS', None, None]","['Q40858', None, None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['CAP', None, None]","['Q2488579', None, None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['FLIGHT', None, None]","['Q15921555', None, None]"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['WING', None, None]","['Q161358', None, None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['JULY 13, 2005', None, None]","['Q22663152', None, None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['1535 MST', '1535', None]","[None, 'Q55811751', None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING', 'B36TC', None]","[None, 'Q29369815', None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['RAYTHEON AIRCRAFT CO.', None, None]","['Q10357714', None, None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['BONANZA', None, None]","['Q312540', None, None]"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['N3042V', None, None]","[None, None, None]"
