c5_id,doc_idx,sent_idx,c119_input,sentence,entities,labels
19780504031959I,91,0,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","door popped open on takeoff , pilot lost control while trying to latch door , ran off side of runway .",runway,FAC
19780528040689I,97,0,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","after working on home-built , pilot took off without connecting aileron controls .",pilot,PER
19780603041599I,100,0,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ","float plane riding low in the water after normal landing , sank .",plane,VEH
19780603041629I,101,2,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,wired to a brace by the pilot .,pilot,PER
19780610045289I,102,1,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,spray helicopter ran out of fuel .,helicopter,VEH
19780619046649I,107,0,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,pilot returned due to control problems .,pilot,PER
19780623036419I,117,0,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,pilot landed after noting oil on windshield .,pilot,PER
19780624034629I,118,0,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,pilot struck wires after engine stopped and started again after switching tank .,pilot,PER
19780626034739I,121,0,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,engine stopped on newly purchased airplane due to water in the fuel system .,airplane,VEH
19780704042039I,127,0,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","pilot departed with inoperative radio , then unable to find destination .",pilot,PER
19780704042039I,127,1,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ",when nearly out of fuel found an airport .,airport,FAC
19780726036499I,129,0,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","aircraft veered left during takeoff , got airborne .",aircraft,VEH
19780629034269I,130,1,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,was considered a radio failure by atc .,atc,ORG
19780725039589I,131,0,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,pilot refueled from a 55 gal drum and did not check for water .,pilot,PER
19780708043109I,132,0,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,student pilot lost power on takeoff due to main fuel sump left open during preflight .,pilot,PER
19780708043109I,132,1,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,overshot on airport landing,airport,FAC
19780723038809I,133,0,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,student pilot ran out of fuel .,pilot,PER
19780808049579I,134,1,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,pilot failed to secure oil stick .,pilot,PER
19780825038179I,139,0,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,15 minutes after takeoff aircraft was landed on golf course due to fuel exhaustion .,aircraft,VEH
19780831038519I,140,0,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",flight diverted after crew noticed cowling loose .,crew,PER
19780904017739I,142,1,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,helicopter had been serviced with jet fuel .,helicopter,VEH
19780920018899I,145,0,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","explosion heard during engine start , pilot mistook for backfire , began flight .",pilot,PER
19781018032569I,146,0,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,pilot unable to get the nose wheel down .,pilot,PER
19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",hangar,FAC
19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",pilot,PER
19780921019829I,149,1,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","wingtip hit hangar , caught on fire .",hangar,FAC
19781009029939I,157,0,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","engine lost power after liftoff , landed gear up on the takeoff runway .",runway,FAC
19790119001139A,159,0,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,aircraft failed to climb after liftoff due to airframe ice .,aircraft,VEH
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,cart,VEH
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,aircraft,VEH
19781108022239I,160,1,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,brakes were inoperative on cart .,cart,VEH
19781230019999I,166,0,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,pilot assumed tanks to be full .,pilot,PER
19790106001239I,168,0,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","icy ramp and runway , pilot failed to release brakes .",pilot,PER
19790113001939I,171,1,ENGINE STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM. LANDED ON THE AIRPORT.                                      ,landed on the airport .,airport,FAC
19781119026389I,179,0,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ","as pilot attempted turn on taxiway , wheel went into ditch .",pilot,PER
19781207022839I,184,0,"PILOT TOOK OFF WITH SNOW BLOWN IN THE ENGINE COMPARTMENT. SNOW MELTED, THEN FROZE UP THE THROTTLE LINKAGE.         ",pilot took off with snow blown in the engine compartment .,pilot,PER
19781117041969A,187,0,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,frost on aircraft .,aircraft,VEH
19781223039539A,189,1,BOTH GENERATOR CIRCUIT BREAKERS OUT.PILOT DID NOT RESET BREAKERS TTEMPT MANUAL GEAR EXTENSION.                     ,pilot did not reset breakers ttempt manual gear extension .,pilot,PER
19790203005099I,191,0,PILOT LOST DIRECTIONAL CONTROL AFTER LOSING RIGHT BRAKE ON LANDING. VEERED OFF RUNWAY. BRAKE WORN OUT.             ,pilot lost directional control after losing right brake on landing .,pilot,PER
19790207002469A,202,0,ARMED FLARE GUN DISCHARGED IN CABIN AFTER FALLING FROM GLOVE BOX.PILOT MADE EMERGENCY LANDING.                     ,armed flare gun discharged in cabin after falling from glove box .,gun,WEA
19790207002469A,202,1,ARMED FLARE GUN DISCHARGED IN CABIN AFTER FALLING FROM GLOVE BOX.PILOT MADE EMERGENCY LANDING.                     ,pilot made emergency landing .,pilot,PER
19790316004819A,203,0,"PILOT UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF, DUE TO RESTRICTED STEERING AND FROST.                             ","pilot unable to control aircraft during takeoff , due to restricted steering and frost .",aircraft,VEH
19790224005689A,204,0,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,witnesses said the pilot did not remove snow from the wings prior to takeoff .,witnesses,PER
19790224005689A,204,0,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,witnesses said the pilot did not remove snow from the wings prior to takeoff .,pilot,PER
19790224005689A,204,1,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,aircraft found 4 days later .,aircraft,VEH
19790214002969A,205,2,"FAILED TO ASSURE SEAT WAS LOCKED.STARTED ENGINE,SEAT SLID BACK.PILOT WAS UNABLE REACH CONTROLS.HIT PARKED ACFT.    ",pilot was unable reach controls .,pilot,PER
19790410008789A,209,1,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,the pilot said water found in fuel and in company owned fuel tanker .,pilot,PER
19790410008789A,209,1,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,the pilot said water found in fuel and in company owned fuel tanker .,company,ORG
19790410008789A,209,1,FORCED LANDING DUE TO ENGINE FAILURE. THE PILOT SAID WATER FOUND IN FUEL AND IN COMPANY OWNED FUEL TANKER.         ,the pilot said water found in fuel and in company owned fuel tanker .,tanker,VEH
19790407008559A,210,0,PILOT SAID THE ELEVATOR CONTROL JAMMED.A PARACHUTE WAS FOUND BETWEEN THE REAR SEAT AND CONTROL STICK.              ,pilot said the elevator control jammed .,pilot,PER
19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,instructor,PER
19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,pilot,PER
19790321010439A,211,0,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,instructor checking out pilot in multiengine airplane .,airplane,VEH
19790321010439A,211,1,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,student feathered wrong engine .,student,PER
19790222003429A,213,1,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,acft settled onto ice and snow covered lake .,acft,VEH
19790319004969A,217,1,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,contaminated fuel found in aircraft .,aircraft,VEH
19790316004809A,219,1,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,aircraft struck ground short of runway .,aircraft,VEH
19790316004809A,219,1,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,aircraft struck ground short of runway .,runway,FAC
19790421024889I,220,0,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.                ,pilot took off with the engine not operating properly .,pilot,PER
19790210002629A,221,1,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,hard ldg on apt .,apt,VEH
19790209002599A,230,0,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ","while taxiing on taxiway , the aircraft was struck by a truck .",aircraft,VEH
19790209002599A,230,0,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ","while taxiing on taxiway , the aircraft was struck by a truck .",truck,VEH
19790209002599A,230,1,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ",no fence is installed to keep vehicles off airport .,vehicles,VEH
19790209002599A,230,1,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ",no fence is installed to keep vehicles off airport .,airport,FAC
19790605014519I,235,0,CAPTAIN OBSERVED FUEL SYPHONING AND LANDED. TANK CAP HAD BEEN INSTALLED IMPROPERLY.                                ,captain observed fuel syphoning and landed .,captain,PER
19790508100289I,237,0,PILOT FLEW AIRCRAFT NOT SIGNED OFF AFTER INSPECTION. LOST UPPER ENGINE COWLING IN FLIGHT. HAD NOT BEEN FASTENED.   ,pilot flew aircraft not signed off after inspection .,pilot,PER
19790508100289I,237,0,PILOT FLEW AIRCRAFT NOT SIGNED OFF AFTER INSPECTION. LOST UPPER ENGINE COWLING IN FLIGHT. HAD NOT BEEN FASTENED.   ,pilot flew aircraft not signed off after inspection .,aircraft,VEH
19790510009019A,238,1,AIRCRAFT TOOK OFF BUT WAS UNABLE TO MAINIAIN FLIGHT. WITNESSES SAID THERE WAS MODERATE FROST ON THE WINGS.         ,witnesses said there was moderate frost on the wings .,witnesses,PER
19790603012119A,242,1,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.","plt tried to bank acft , stalled , hit ground .",plt,PER
19790513010459A,244,0,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,pilot landed on what he thought to be one foot high grass .,pilot,PER
19790513010459A,244,0,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,pilot landed on what he thought to be one foot high grass .,he,PER
19790513010459A,244,2,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,acft nosed over .,acft,VEH
19790623022919A,245,1,ENGINE WAS SPUTTERING ON TAKEOFF. ACFT CRASHED & BURNED. FOUND SOME WATER IN FUEL LINES.                           ,acft crashed & burned .,acft,VEH
19790609016529A,246,0,ROPE BROKE DURING AERO TOW TAKE OFF WHEN GLIDER WAS 140 FEET ABOVE GROUND. CRASH OCCURRED DURING FORCED LANDING.   ,rope broke during aero tow take off when glider was 140 feet above ground .,glider,VEH
19790623014019A,250,1,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,pilot ran off left side of runway on takeoff .,pilot,PER
19790605014429I,251,0,"PILOT ATTEMPTED TAKEOFF WITH FAULTY ENGINE, LANDED IN STREET, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD   ","pilot attempted takeoff with faulty engine , landed in street , damaged speed limit sign during taxi back to field",pilot,PER
19790429005459A,252,2,ACFT NOT FLOWN FOR 2 WKS. SEVERE RAIN. PILOT SAID THAT THERE WAS WATER IN FUEL                                     ,pilot said that there was water in fuel,pilot,PER
19790610014749I,254,0,PILOT TOOK OFF WITH TANKS NEARLY EMPTY. ENGINE QUIT AFTER LIFT OFF.                                                ,pilot took off with tanks nearly empty .,pilot,PER
19790609011809A,255,2,AFTER TAKEOFF LOST ELECT. POWER. LANDED ON AIRPORT. LANDING GEAR NOT LOCKED DOWN. GENERATORS NOT TURNED ON.        ,landed on airport .,airport,FAC
19790622017199I,256,0,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,student pilot had topped his tanks and got water in the fuel .,pilot,PER
19790622017199I,256,0,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,student pilot had topped his tanks and got water in the fuel .,his,PER
19790622017199I,256,1,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,engine quit twice but he got it on the runway at home,he,PER
19790503025389I,258,0,"AFTER DEVELOPING ELECTRICAL PROBLEM, PILOT LANDED, HAD ALTERNATOR BELT TIGHTENED, TOOK OFF AGAIN. BELT FAILED.     ","after developing electrical problem , pilot landed , had alternator belt tightened , took off again .",pilot,PER
19790513026659I,260,1,"LOSS OF OIL PREESURE PRECEEDED ENGINE SHUTDOWN. VECTORS TO AIRPORT, 8 QUARTS OIL ADDED. ENGINE HAD MINOR OIL LEAK. ","vectors to airport , 8 quarts oil added .",airport,FAC
19790515027029I,261,1,"ALTERNATOR BELT BROKE, ELECTRICAL SYSTEM FAILED. PILOT FAILED TO AVOID PREVENTABLE GEAR UP LANDING.                ",pilot failed to avoid preventable gear up landing .,pilot,PER
19790525014229A,262,0,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,helicopter began to vibrate during ground run up .,helicopter,VEH
19790511011259A,264,0,"ATTEMPTED TAKE OFF WITH ICE ON AIRFRAME. MADE PREMATURE LIFT OFF,SETTLED TO GROUND,STRUCK DITCH.                   ",attempted take off with ice on airframe .,airframe,VEH
19790622017219I,265,0,PILOT TOPPED TANKS AND LOST POWER DURING CLIMB. THE FUEL WAS CONTAMINATED WITH WATER                               ,pilot topped tanks and lost power during climb .,pilot,PER
19790519010229A,266,1,INSTRUMENT PANEL LIGHT SWITCH DEFECTIVE. PILOT UNABLE TO DIM LIGHTS. COULD NOT SEE OUT.ATTEMPTED FORCED LANDING.   ,pilot unable to dim lights .,pilot,PER
19790602009889A,268,1,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,pilot ditched in the ocean .,pilot,PER
19790602009889A,268,1,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,pilot ditched in the ocean .,ocean,LOC
19790602009889A,268,2,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,pilot claimed fuel contamination was cause of accident .,pilot,PER
19790609024769A,269,3,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,acft parked outside for 11 months with partially empty fuel tanks .,acft,VEH
19790726019139A,274,1,ENGINE ACCESS DOOR CAME LOSE AND ENGINE SPUTTERED AFTER TAKE OFF. INSTRUCTOR ATTEMPED 180 BACK TO RUNWAY. UNABLE.  ,instructor attemped 180 back to runway .,instructor,PER
19790726019139A,274,1,ENGINE ACCESS DOOR CAME LOSE AND ENGINE SPUTTERED AFTER TAKE OFF. INSTRUCTOR ATTEMPED 180 BACK TO RUNWAY. UNABLE.  ,instructor attemped 180 back to runway .,runway,FAC
19790807029619I,276,0,PILOT FAILED TO SECURE OIL CAP ON PREFLIGHT. OIL WAS STREAMING OVER COWL AT LIFTOFF.                               ,pilot failed to secure oil cap on preflight .,pilot,PER
