c5_id,doc_idx,sent_idx,c119_input,sentence,entities,labels
19780221000179I,61,1,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","nearly out of oil , pilot had not checked it before takeoff .",pilot,PER
19780228000419I,62,1,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,engine shut down .,engine,VEH
19780311016379I,64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown .,pilot,PER
19780327010619I,65,0,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",pilot lost fuel in flight due to fuel caps on backward .,pilot,PER
19780421012829I,66,0,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",pilot noted aircraft light dimming on night flight .,pilot,PER
19780421012829I,66,0,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",pilot noted aircraft light dimming on night flight .,aircraft,VEH
19780316008589I,67,0,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,pilot over ran runway into a ditch due to brake failure .,pilot,PER
19780316008589I,67,0,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,pilot over ran runway into a ditch due to brake failure .,runway,FAC
19780330011569I,71,0,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ","pilot lost electrical power , extended gear manually .",pilot,PER
19780402009009I,72,1,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,pilot had electrical failure on final .,pilot,PER
19780401007929I,73,1,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,hole was covered over with mud and loose gravel .,hole,FAC
19780402008409I,74,0,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,taxiing aircraft struck parked aircraft .,aircraft,VEH
19780402008409I,74,0,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,taxiing aircraft struck parked aircraft .,aircraft,VEH
19780403009389I,76,0,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,forced landing on highway after engine lost power .,highway,FAC
19780403009389I,76,0,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,forced landing on highway after engine lost power .,engine,VEH
19780409009699I,77,0,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","pilot extended gear manually due to electrical failure , gear collapsed after touchdown .",pilot,PER
19780416008469I,79,1,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,damage to gear when plane hit taxiway lip after landing .,plane,VEH
19780309015599I,80,0,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,engine stopped due to vacuum in the tank .,tank,VEH
19780309015599I,80,1,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,pilot using a non-vented cap .,pilot,PER
19780617046219I,84,2,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,pilots took off before repairs were completed .,pilots,PER
19780427013959I,87,0,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,failure of 2 tires as aircraft was cleared for takeoff .,aircraft,VEH
19780429014759I,88,0,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,fuel cap off aircraft .,aircraft,VEH
19780429014759I,88,3,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,landed on freeway .,freeway,FAC
19780504031959I,91,0,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","door popped open on takeoff , pilot lost control while trying to latch door , ran off side of runway .",pilot,PER
19780504031959I,91,0,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","door popped open on takeoff , pilot lost control while trying to latch door , ran off side of runway .",runway,FAC
19780519033989I,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area .,jetway,VEH
19780519033989I,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area .,aircraft,VEH
19780519033989I,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area .,it,VEH
19780526040429I,96,0,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,pilot inadvertantly put gear handle in up position while taxiing .,pilot,PER
19780528040689I,97,0,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","after working on home-built , pilot took off without connecting aileron controls .",pilot,PER
19780603041599I,100,0,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ","float plane riding low in the water after normal landing , sank .",plane,VEH
19780603041629I,101,2,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,wired to a brace by the pilot .,pilot,PER
19780610045289I,102,1,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,spray helicopter ran out of fuel .,helicopter,VEH
19780616046119I,105,1,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,carburetor heat was partially open causing an over rich mixture .,carburetor,VEH
19780619046649I,107,0,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,pilot returned due to control problems .,pilot,PER
19780429007189A,109,2,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,wing hit tree adjacent to il cap not secured .,il cap,LOC
19780623018469A,110,0,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","loose battery post , loss of alternator exciting current .",alternator,VEH
19780603041639I,113,0,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,flight apparently took off with the rear cabin entry door open .,cabin,VEH
19780607016509A,115,0,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","tkof from trailer , no load .",trailer,VEH
19780623036259I,116,0,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,pilot landed on beach after noting smoke and fumes in cockpit caused by grass and dirt in engine compartment,pilot,PER
19780623036259I,116,0,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,pilot landed on beach after noting smoke and fumes in cockpit caused by grass and dirt in engine compartment,beach,LOC
19780623036259I,116,0,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,pilot landed on beach after noting smoke and fumes in cockpit caused by grass and dirt in engine compartment,cockpit,VEH
19780623036419I,117,0,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,pilot landed after noting oil on windshield .,pilot,PER
19780624034629I,118,0,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,pilot struck wires after engine stopped and started again after switching tank .,pilot,PER
19780624034629I,118,0,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,pilot struck wires after engine stopped and started again after switching tank .,engine,VEH
19780624034629I,118,1,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,vent stopped up by mud daubers .,daubers,VEH
19780625035779I,120,0,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,engine stopped soon after takeoff due to fuel selector moved by a passenger during loading .,passenger,PER
19780626034739I,121,0,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,engine stopped on newly purchased airplane due to water in the fuel system .,airplane,VEH
19780810035619A,124,1,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,lndd in flooded alfalfa field .,alfalfa field,FAC
19780820049069I,125,1,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,landed straight ahead in oat field .,oat field,LOC
19780805024609A,126,0,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,plt inadvertently moved mixture control to cut off position whileempting to lean mixture .,plt,ORG
19780704042039I,127,0,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","pilot departed with inoperative radio , then unable to find destination .",pilot,PER
19780704042039I,127,1,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ",when nearly out of fuel found an airport .,airport,FAC
19780822026439A,128,0,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,acft being ferried for maint .,maint,ORG
19780822026439A,128,1,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,seat retainers missing .,retainers,PER
19780726036499I,129,0,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","aircraft veered left during takeoff , got airborne .",aircraft,VEH
19780629034269I,130,0,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,flight had filed ifr but took off vfr .,flight,ORG
19780629034269I,130,1,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,was considered a radio failure by atc .,atc,ORG
19780629034269I,130,2,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,also cargo door was opened on takeoff,cargo,VEH
19780725039589I,131,0,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,pilot refueled from a 55 gal drum and did not check for water .,pilot,PER
19780708043109I,132,0,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,student pilot lost power on takeoff due to main fuel sump left open during preflight .,pilot,PER
19780708043109I,132,1,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,overshot on airport landing,airport,FAC
19780723038809I,133,0,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,student pilot ran out of fuel .,pilot,PER
19780808049579I,134,1,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,pilot failed to secure oil stick .,pilot,PER
19780808049829I,135,0,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,ran off side of runway after loose wheel fairing jammed tire on takeoff .,runway,FAC
19780811037539I,137,0,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,forced landing after engine quit .,engine,VEH
19780825038179I,139,0,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,15 minutes after takeoff aircraft was landed on golf course due to fuel exhaustion .,aircraft,VEH
19780825038179I,139,0,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,15 minutes after takeoff aircraft was landed on golf course due to fuel exhaustion .,golf course,FAC
19780831038519I,140,0,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",flight diverted after crew noticed cowling loose .,crew,PER
19780904017739I,142,1,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,helicopter had been serviced with jet fuel .,helicopter,VEH
19780920018899I,145,0,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","explosion heard during engine start , pilot mistook for backfire , began flight .",pilot,PER
19780920018899I,145,1,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",later found exhaust tunnels damaged .,tunnels,FAC
19781018032569I,146,0,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,pilot unable to get the nose wheel down .,pilot,PER
19781102023729I,148,0,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,aircraft struck ditch while taxiing at night without taxi light .,aircraft,VEH
19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",hangar,FAC
19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",pilot,PER
19780921019829I,149,1,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","wingtip hit hangar , caught on fire .",hangar,FAC
19780925018069I,150,0,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,engine shutdown due to smoke from nacelle .,nacelle,VEH
19780903028619A,151,0,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,pilot was aware of excessive water in fuel .,pilot,PER
19780923027059I,152,0,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,aircraft had total electrical failure on final .,aircraft,VEH
19781020041019A,154,0,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,acft struck com poles & concrete wall & burned .,acft,ORG
19780916024019A,155,0,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,tie down strap across left skid caught on trailer and tethered heper .,trailer,VEH
19780916024019A,155,0,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,tie down strap across left skid caught on trailer and tethered heper .,heper,VEH
19781021036569A,156,0,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,dmgd wing & aileron drg previous ldg .,ldg,ORG
19781009029939I,157,0,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","engine lost power after liftoff , landed gear up on the takeoff runway .",runway,FAC
19780829037939I,158,1,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. LANDED ON REMAINING RUNWAY GEAR UP.                                ,landed on remaining runway gear up .,runway,FAC
19790119001139A,159,0,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,aircraft failed to climb after liftoff due to airframe ice .,aircraft,VEH
19790119001139A,159,1,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,struck a fence and went inverted .,fence,FAC
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,cart,VEH
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,aircraft,VEH
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,jet,VEH
19781108022239I,160,1,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,brakes were inoperative on cart .,cart,VEH
19781108022269I,161,0,RAN OFF SIDE OF TAXIWAY AT NIGHT. LANDING LIGHT INOPERATIVE.                                                       ,ran off side of taxiway at night .,taxiway,VEH
19781114026859I,162,0,FORCED LANDING IN FIELD AFTER ENGINE QUIT. FOUND ICE IN FUEL LINES.                                                ,forced landing in field after engine quit .,field,FAC
19781114026859I,162,1,FORCED LANDING IN FIELD AFTER ENGINE QUIT. FOUND ICE IN FUEL LINES.                                                ,found ice in fuel lines .,lines,FAC
19781120025989I,163,1,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,engine shut down due to oil loss .,engine,VEH
19781128024449I,164,0,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ","landing in field due to power loss , water in fuel system .",field,LOC
19781230019999I,166,0,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,pilot assumed tanks to be full .,pilot,PER
19790106001239I,168,0,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","icy ramp and runway , pilot failed to release brakes .",ramp,FAC
19790106001239I,168,0,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","icy ramp and runway , pilot failed to release brakes .",runway,FAC
19790106001239I,168,0,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","icy ramp and runway , pilot failed to release brakes .",pilot,PER
