,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
10,19790623014019A,250,0,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,pilot ran off left side of runway on takeoff .,pilot,PHYS,runway
11,19790605014429I,251,0,"PILOT ATTEMPTED TAKEOFF WITH FAULTY ENGINE, LANDED IN STREET, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD   ","pilot attempted takeoff with faulty engine , landed in street , damaged speed limit sign during taxi back to field",pilot,PHYS,street
12,19790605014429I,251,0,"PILOT ATTEMPTED TAKEOFF WITH FAULTY ENGINE, LANDED IN STREET, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD   ","pilot attempted takeoff with faulty engine , landed in street , damaged speed limit sign during taxi back to field",pilot,PHYS,field
13,19790610014749I,254,0,PILOT TOOK OFF WITH TANKS NEARLY EMPTY. ENGINE QUIT AFTER LIFT OFF.                                                ,pilot took off with tanks nearly empty .,pilot,ART,tanks
14,19790622017199I,256,1,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,engine quit twice but he got it on the runway at home,he,PHYS,runway
15,19790602009889A,268,0,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,pilot ditched in the ocean .,pilot,PHYS,ocean
16,19790726019139A,274,1,ENGINE ACCESS DOOR CAME LOSE AND ENGINE SPUTTERED AFTER TAKE OFF. INSTRUCTOR ATTEMPED 180 BACK TO RUNWAY. UNABLE.  ,instructor attemped 180 back to runway .,instructor,PHYS,runway
17,19790808027309A,295,0,ENGINE FAILED DURING TAKEOFF. PILOT ATTEMPTED RETURN TO RUNWAY. INSUFFICIENT ALTITUDE. WATER IN FUEL.              ,pilot attempted return to runway .,pilot,PHYS,runway
18,19791014005659A,314,0,STUDENT PILOT CARRYING PASSENGERS CRASHED SHORTLY AFTER TAKEOFF. WATER FOUND IN STRAINER. AIRCRAFT OUT OF LICENSE  ,student pilot carrying passengers crashed shortly after takeoff .,passengers,ART,pilot
19,19791128035159A,334,1,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ",pilot landed in field .,pilot,PHYS,field
20,19800216026099I,352,0,"PILOT INDICATED ENGINE RUNNING ROUGH AFTER TAKEOFF, SO HE MADE EMERGENCY LANDING IN A FIELD.                       ","pilot indicated engine running rough after takeoff , so he made emergency landing in a field .",he,PHYS,field
21,19800604051679I,381,0,"STUDENT PREFLIGHTED PLANE. STATED GAS TANKS FULL. AFTER 1.2 HOURS, RAN OUT OF GAS. LANDED IN FIELD.                ",student preflighted plane .,student,ART,plane
22,19800611054319I,383,1,PILOT ACCUSTOMED TO USING PORTABLE FUEL CANS. USED CANS TO REFUEL HIS AIRPLANE FROM CANS. QUIT ON WATER TAKEOFF    ,used cans to refuel his airplane from cans .,his,ART,airplane
23,19800707059709I,411,0,NOSEGEAR COLLAPSED ON TAKEOFF. PILOT HAD MADE PREVIOUS LANDING ON ROUGH PRIVATE RUNWAY.                            ,pilot had made previous landing on rough private runway .,pilot,PHYS,runway
24,19800712077549I,414,1,ENGINE RAN ROUGH THEN QUIT. LANDED SHORT OF RUNWAY. WATER IN FUEL TANK. WATER FOUND IN GAS STORAGE TANK NAVY BASE. ,water found in gas storage tank navy base .,navy,ART,base
25,19801105078969I,442,0,PILOT TOOK OFF WITH THE ELEVATOR STUCK IN THE FULL NOSE UP POSITION. WAS ABLE TO BREAK IT LOOSE AND LAND.          ,pilot took off with the elevator stuck in the full nose up position .,pilot,ART,elevator
26,19800901067929I,460,0,"OIL PRESSURE BEGAN TO RISE. PILOT NOTIFIED CENTER. DIP STICK LOOSE, LOW OIL QUANTITY.                              ",pilot notified center .,pilot,PHYS,center
27,19810207003009A,493,0,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN ROUGH FIELD OFF AIRPORT. FUEL VENT CAPS INCORRECTLY INSTALLED.             ,crash-landed in rough field off airport .,field,PHYS,airport
28,19810203002549A,496,0,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT CRASHED WHEN PILOT ATTEMPTED EMERGENCY LANDING. FUEL CONTAMINATION.     ,aircraft crashed when pilot attempted emergency landing .,pilot,ART,aircraft
29,19810315025039I,508,0,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,enroute pilot smelled smoke and saw fire in aft part of aircraft .,part,PART-WHOLE,aircraft
30,19810424018779A,518,1,SPOILERS WERE DEPLOYED ON CLIMBOUT ON GLIDER. TOW PILOT RELEASED GLIDER TO CLEAR WIRES. GLIDER CRASHED.            ,tow pilot released glider to clear wires .,pilot,ART,glider
31,19810622037779A,534,0,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,pilot engrossed in retracting engine on motorized glider lost excess altitude and crashed on ridge .,pilot,PHYS,ridge
32,19810622037779A,534,0,PILOT ENGROSSED IN RETRACTING ENGINE ON MOTORIZED GLIDER LOST EXCESS ALTITUDE AND CRASHED ON RIDGE.                ,pilot engrossed in retracting engine on motorized glider lost excess altitude and crashed on ridge .,pilot,ART,glider
33,19811217000399A,575,0,"PILOT ATTEMPTED TAKEOFF WITH HEAVY FROST ON AIRCRAFT. AIRCRAFT CLIMBED BRIEFLY, THEN CRASHED.                      ",pilot attempted takeoff with heavy frost on aircraft .,pilot,ART,aircraft
34,19820415019009I,593,0,ENGINE FAILED TO PRODUCE POWER AND PILOT AUTOROTATED INTO A FIELD. FAILURE WAS THE RESULT OF FUEL STARVATION.      ,engine failed to produce power and pilot autorotated into a field .,pilot,PHYS,field
35,19820311007049I,611,0,PILOT REPORTED LOSS OF OIL IN ENGINE AND DIVERTED TO MEMPHIS. FOUND OIL TANK CAP MISSING. OIL CAP 315510704.       ,pilot reported loss of oil in engine and diverted to memphis .,pilot,PHYS,memphis
36,19820405009239A,617,0,PILOT FORGOT TO REMOVE CONTROL LOCK ON AILERON AND COULN'T CONTROL AIRCRAFT DURING LANDING.                        ,pilot forgot to remove control lock on aileron and coul n't control aircraft during landing .,pilot,ART,aircraft
37,19820618024699A,628,0,STUDENT GLIDER PILOT FAILED TO LATCH SPOILERS PRIOR TO TAKEOFF. MISUNDERSTOOD TOW PILOT SIGNAL. RELEASED TOW.      ,student glider pilot failed to latch spoilers prior to takeoff .,pilot,ART,glider
38,19821025065459I,650,0,PILOT SWERVED OFF RUNWAY ON TAKEOFF ROLL WHEN SEAT HEIGHT RETAINING PIN SLIPPED FROM RETAINING HOLE. SEAT DROPPED. ,pilot swerved off runway on takeoff roll when seat height retaining pin slipped from retaining hole .,pilot,PHYS,runway
39,19821015055799A,653,1,GROUND CREW FAILED TO UNFASTEN A SKID TIEDOWN. PILOT LOST  CONTROL ON LIFT OFF FROM A TRAILER AS THE CHAIN FAILED  ,pilot lost control on lift off from a trailer as the chain failed,pilot,ART,trailer
40,19820912057439I,661,0,"AFTER UNLOADING PASSENGERS, PILOT DEPARTED WITH A STEEL METER BOX ON A FLOAT. BOX FELL AND WENT THROUGH A ROOF.    ","after unloading passengers , pilot departed with a steel meter box on a float .",pilot,ART,float
41,19821105060779A,667,0,PILOT FORGOT TO CONNECT ELEVATOR CONTROLS WHEN HE ASSEMBLED GLIDER FOR THE FLIGHT. CRASH OCCURRED DURING TAKEOFF.  ,pilot forgot to connect elevator controls when he assembled glider for the flight .,he,ART,glider
42,19830120021189I,668,1,TAXING FOR TAKEOFF AIRCRAFT SLID OFF TAXIWAY. PASSENGERS DEPLANED BY PORTABLE STAIRS. TAXIWAY NOT SANDED.          ,passengers deplaned by portable stairs .,passengers,PHYS,stairs
43,19830506025439A,676,0,"PILOT WAS ATTEMPTING NIGHT LANDING ON UNLIGHTED STRIP. CARLIGHTS DIRECTED WRONG WAY, AIRCRAFT LANDED SHORT.        ",pilot was attempting night landing on unlighted strip .,pilot,PHYS,strip
44,19830630028079A,702,1,TOW ROPE RELEASED GLIDER AT 75 FEET DURING TAKEOFF. GLIDER CRASHED WHEN PILOT TRIED 180 DEGREE TURN BACK TO RUNWAY.,glider crashed when pilot tried 180 degree turn back to runway .,pilot,PHYS,runway
45,19831127058759A,717,0,GROUND CREW PUT SLING ON HOOK INSTEAD OF IN HELICOPTER AS PILOT INDICATED. FOULED TAIL ROTOR. CAUSED A CRASH.      ,ground crew put sling on hook instead of in helicopter as pilot indicated .,crew,ART,helicopter
46,19840212003519A,741,0,CRASH OCCURRED DURING PRECAUTIONARY LANDING WHEN PILOT ATTEMPTED TO LAND ON ROAD TO SECURE OIL ACCESS COVER.       ,crash occurred during precautionary landing when pilot attempted to land on road to secure oil access cover .,pilot,PHYS,road
47,19840717046169I,759,1,ROTORS BLADES STRUCK ROTORS OF A PARKED HELICOPTER AFTER START UP. PILOT OF PARKED CRAFT FAILED TO SECURE ROTORS.  ,pilot of parked craft failed to secure rotors .,pilot,ART,craft
48,19840618035239I,762,0,LOW OIL PRESSURE. WARNING LIGHT ON. FOUND LOOSE OIL CAP AND LARGE AMOUNTS OF OIL ON ENGINE COWLING.                ,found loose oil cap and large amounts of oil on engine cowling .,cowling,PART-WHOLE,engine
49,19841023066839I,803,1,DURING PREFLIGHT PILOT FAILED TO ENSURE NOSE BAGGAGE DOOR WAS LOCKED. SUITCASE FELL FROM AIRCRAFT ON CLIMB.        ,suitcase fell from aircraft on climb .,suitcase,PART-WHOLE,aircraft
50,19840828044039A,807,1,AIRCRAFT SANK IN BAY BECAUSE OF LEAKING FLOAT. TWO PASSENGERS DID NOT MAKE SHORE BECAUSE OF COLD WATER.            ,two passengers did not make shore because of cold water .,passengers,PHYS,shore
51,19841112062819A,811,0,STUDENT PILOT FAILED TO CONTROL AIRCRAFT DURING GO AROUND FROM A BOUNCED LANDING. FLAPS WERE RETRACTED EARLY.      ,student pilot failed to control aircraft during go around from a bounced landing .,pilot,ART,aircraft
52,19841031065119I,814,1,PART OF ENGINE COWLING SEPARATED DUE TO IMPROPER LATCHING. PILOT RETURNED TO AIRPORT FOR EMERGENCY LANDING.        ,pilot returned to airport for emergency landing .,pilot,PHYS,airport
53,19850329017489I,862,0,PILOT ELECTED TO LAND ON DIRT ROAD AFTER FUEL EXHAUSTION  . NO INJURIES OR DAMAGE.                                 ,pilot elected to land on dirt road after fuel exhaustion .,pilot,PHYS,road
54,19850517067579A,869,0,"OPERATOR DISPATCHED AIRPLANE WITH HSI SLAVE INOP. SHOT APPROACH OFF COURSE AND PAST AIRPORT, STRUCK TREES.         ",operator dispatched airplane with hsi slave inop .,operator,ART,airplane
55,19850702029069A,915,0,"MUD NESTS BLOCKED FUEL CAP VENTS, FUEL STARVATION. STALLED ON TURN TO FIELD 4 MILES WEST OF GREENBRIER VALLEY ARPT.",stalled on turn to field 4 miles west of greenbrier valley arpt .,field,PHYS,greenbrier valley
56,19850805040409A,935,0,IMPACTED IN BACKYARDS OF RESIDENCES AFTER FUEL EXHAUSTION. FUEL GAUGES COMPLETELY UNRELIABLE. ANNUAL EXPIRED IN 84.,impacted in backyards of residences after fuel exhaustion .,backyards,PART-WHOLE,residences
57,19860222005049A,1019,0,ATTEMPTED TAKEOFF WITH SKID TIED TO TRAILER. DYNAMIC ROLLOVER AND RESULTANT ROTOR BLADE DAMAGE.                    ,attempted takeoff with skid tied to trailer .,skid,PART-WHOLE,trailer
58,19860801062349I,1048,0,DOOR POPPED OPEN DURING CLIMB. PILOT RETURNED TO AIRPORT TO CLOSE DOOR. IFR FLIGHT PLAN NOT CLOSED.                ,pilot returned to airport to close door .,pilot,PHYS,airport
59,19860625027739A,1080,0,PILOT LOST CONTROL OF AIRCRAFT DURING GO AROUND DUE TO LOSS OF AILERON CONTROL.PILOT FAILED TO REMOVE CONTROL LOCK.,pilot lost control of aircraft during go around due to loss of aileron control .,pilot,ART,aircraft
60,19861125077099I,1102,0,PILOT REPORTED SMOKE IN THE COCKPIT. OIL QUANTITY FOUND LOW. NO LEAKS EXCEPT TURBOCHARGER THROWING A LITTLE OIL.   ,pilot reported smoke in the cockpit .,pilot,ART,cockpit
61,19860923078739I,1103,0,DOOR CAME OPEN ON TAKEOFF ROLL. PILOT ABORTED BUT RAN OFF RUNWAY INTO A FENCE. TAKEOFF WAS MADE DOWNWIND.          ,pilot aborted but ran off runway into a fence .,pilot,PHYS,runway
62,19860912051699I,1121,1,AIRCRAFT WENT OFF RUNWAY WHILE TURNING ONTO TAXIWAY AT NIGHT. AIRPORT MAINTENANCE HAD REMOVED SEVEN TAXIWAY LIGHTS.,airport maintenance had removed seven taxiway lights .,maintenance,ORG-AFF,airport
63,19861005052929I,1122,0,NEW CREW ATTEMPTED A START ON PLACARDED APU. SMOKE FROM APU EXHAUST.DISCHARGED EXTINGUISHER AND EVACUATED AIRCRAFT.,new crew attempted a start on placarded apu .,crew,ART,apu
64,19861206086419A,1141,0,THE PILOT REPORTED HE LOST CONTROL OF THE AIRCRAFT ON TAKEOFF DUE TO ENGAGED AUTOPILOT. NO MALFUNCTIONS NOTED.     ,the pilot reported he lost control of the aircraft on takeoff due to engaged autopilot .,he,ART,aircraft
65,19870226003479A,1150,2,THE PLANE NOSED OVER DURING A WATER LANDING.  THE STUDENT INADVERTENTLY LOWERED THE GEAR.  INSTRUCTOR WAS IN PLANE.,instructor was in plane .,instructor,ART,plane
66,19870309039779I,1151,1,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",pilot was unaware of brake problems on the aircraft .,pilot,ART,aircraft
67,19870401031839A,1158,0,THE PILOT LOST CONTROL OF THE AIRCRAFT AT ROTATION.  THE CONTROL COLUMN GUST LOCK HAD NOT BEEN REMOVED.            ,the pilot lost control of the aircraft at rotation .,pilot,ART,aircraft
68,19870125046099A,1165,0,THE ENGINE FAILED FROM FUEL EXHAUSTION ON LANDING APPROACH. THE PILOT FAILED TO ADEQUATELY PREFLIGHT AIRCRAFT.     ,the pilot failed to adequately preflight aircraft .,pilot,ART,aircraft
69,19870401039749I,1181,1,FRONT BAGGAGE DOOR CAME OPEN. A SUITCASE FLEW OUT AND BENT THE RIGHT PROPELLER.  PILOT DITCHED AIRCRAFT IN OCEAN.  ,pilot ditched aircraft in ocean .,pilot,ART,aircraft
70,19870401039749I,1181,1,FRONT BAGGAGE DOOR CAME OPEN. A SUITCASE FLEW OUT AND BENT THE RIGHT PROPELLER.  PILOT DITCHED AIRCRAFT IN OCEAN.  ,pilot ditched aircraft in ocean .,pilot,PHYS,ocean
71,19870826056929I,1252,0,PILOT TAXIED OVER A PLASTIC MARKER CONE THAT WAS IN FRONT  OF HIS AIRCRAFT. FAILED TO MAKE WALK AROUND PREFLIGHT.  ,pilot taxied over a plastic marker cone that was in front of his aircraft .,his,ART,aircraft
72,19870816062719I,1263,0,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","a copper tube , used to hold aerial banners , fell through the roof of a house .",roof,PART-WHOLE,house
73,19880221033719A,1270,1,ENGINE QUIT ON TAKEOFF. CRASH LANDED OFF END OF RUNWAY. PILOT ACCIDENTALLY HIT KILLSWITCH PLACED CLOSE TO THE YOKE.,pilot accidentally hit killswitch placed close to the yoke .,pilot,ART,killswitch
74,19880104000179A,1295,0,LOST CONTROL ON CLIMB-OUT AND IMPACTED NEAR VERTICAL.INDICATES PILOT FAILED TO TURN ON GYRO HORIZON PRIOR DEPARTURE,indicates pilot failed to turn on gyro horizon prior departure,pilot,ART,gyro horizon
75,19880420048059I,1318,0,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.                           ,pilot requested nearest airport where he landed without incident .,pilot,PHYS,airport
76,19880420048059I,1318,0,DOOR OPENED IN FLIGHT. PILOT REQUESTED NEAREST AIRPORT WHERE HE LANDED WITHOUT INCIDENT.                           ,pilot requested nearest airport where he landed without incident .,he,PHYS,where
77,19890715028739A,1392,0,CANOPY CAME OPEN ON TOW. ROPE BROKE FROM DRAG. PILOT MADE 180 AND LANDED HARD ON SAME RUNWAY. NO LATCH DEFECTS.    ,pilot made 180 and landed hard on same runway .,pilot,PHYS,runway
78,19891227064179I,1438,0,TOWER ADVISED PILOT FUEL VENTING FROM TANK AFTER DEPARTURE. RETURNED. SPRING LOADED FUEL CAP HAD POPPED OPEN.      ,tower advised pilot fuel venting from tank after departure .,pilot,ART,tank
79,19900323014919I,1454,2,ON CLIMB PILOT STARTED TO DESCEND DUE TO ICING PROBLEMS. RETURNED TO AIRPORT. COPILOT UNQUALIFIED IN AIRCRAFT.     ,copilot unqualified in aircraft .,copilot,ART,aircraft
80,19901019064929I,1493,0,NOSE GEAR COLLAPSED WHEN PILOT ENTERED TAXIWAY UNDER CONSTRUCTION. POORLY LIGHTED AND NO WARNING SIGNS.            ,nose gear collapsed when pilot entered taxiway under construction .,pilot,PHYS,taxiway
81,19900926042499A,1504,1,ROUGH ENGINE POWER LOSS AND BLACK SMOKE. HIT TREE IN YARD OF RESIDENCE. PRIMER UNLOCKED AND DEPARTED ON ONE MAGNETO,hit tree in yard of residence .,yard,PART-WHOLE,residence
82,19910313026919I,1508,0,ATC SYSTEM ERROR CAUSED CONFLICTION BETWEEN AN EN ROUTE AIRCRAFT AND A LANDING MILITARY AIRCRAFT.                  ,atc system error caused confliction between an en route aircraft and a landing military aircraft .,military,ART,aircraft
83,19910705026439A,1537,0,ENGINE QUIT ON DOWNWIND. STRUCK DIRT BANK SHORT OF RUNWAY. FUEL TANKS HAD LARGE AMOUNTS WATER INCLUDING CARB BOWL. ,struck dirt bank short of runway .,bank,PHYS,runway
84,19910609032899I,1544,0,PILOT MADE EMERGENCY GEAR UP LANDING IN FIELD AFTER TAKEOFF. WATER IN FUEL AND INJECTOR NOZZLES FOULED.            ,pilot made emergency gear up landing in field after takeoff .,pilot,PHYS,field
85,19911128053639A,1573,1,ENGINES LOST POWER ON CLIMBOUT. CRASH LANDED OFF END RUNWAY. LINEMAN HAD FUELED CONVAIR WITH JET FUEL INSTEAD AVGAS,lineman had fueled convair with jet fuel instead avgas,lineman,ART,convair
86,19920305005079A,1591,0,ON LOADING TAIL HIT RAMP. ON TAKEOFF REPORTED JAMMED ELEVATORS WANTED RETURN. TRAFFIC ON RUNWAY. LOST CONTROL.     ,traffic on runway .,traffic,PHYS,runway
87,19920308005309A,1592,0,LEFT ENGINE SHUT DOWN FOR TRAINING. RESTART UNSUCCESSFUL. NO SAFE GEAR INDICATION. LANDED IN FIELD NEXT TO AIRPORT.,landed in field next to airport .,field,PHYS,airport
88,19920805029139A,1651,0,FAILED TO UNTIE FRONT SKID. ROLLED OVER ON ATTEMPTED LIFTOFF. MAIN ROTORS STRUCK FISHING VESSELS DECK.             ,main rotors struck fishing vessels deck .,deck,PART-WHOLE,vessels
89,19930530020029I,1693,0,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,pilot lost control of aircraft on takeoff roll .,pilot,ART,aircraft
90,19940118004159I,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative : on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",nashville,PART-WHOLE,tn
91,19940118004159I,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative : on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",dayton,PART-WHOLE,oh
92,19940209001909I,1733,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative : airman/air agency competence : prior to departure of flight 381 , from neward , new jersey , the aircraft wa",neward,PART-WHOLE,new jersey
93,19950112008339I,1826,0,"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT (ISN), ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRI","narrative : during descent into williston airport ( isn ) , nd the flight crew experienced the loss of the elevator tri",crew,ART,elevator
94,19950112008339I,1826,0,"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT (ISN), ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRI","narrative : during descent into williston airport ( isn ) , nd the flight crew experienced the loss of the elevator tri",crew,PHYS,williston airport
95,19950118003799I,1830,0,"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID (FANNING","narrative : on january 18 , 1995 , delta airlines flight # 1691 , after landing on runway 20 at idaho falls , id ( fanning",idaho falls,PART-WHOLE,id
96,19950420011449I,1852,0,"NARRATIVE: ON MARCH 20, 1995, A PITTS, PIS-1, OWNED AND OPERATED BY ROBERT HIGBEE WHILE ON A PLEASURE FLIGHT, LANDE","narrative : on march 20 , 1995 , a pitts , pis-1 , owned and operated by robert higbee while on a pleasure flight , lande",robert higbee,ART,pitts
97,19950129005889I,1857,0,"NARRATIVE: COMA #4280, DEPARTED CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT, COVINGTON, KENTUCKY, 1000 LOCAL","narrative : coma # 4280 , departed cincinnati/northern kentucky international airport , covington , kentucky , 1000 local",covington,PART-WHOLE,kentucky
98,19950408010139I,1862,1,NARRATIVE: PILOT PERFORMED PREFLIGHT AND TAXIED TO RUN UP AREA. FLAPS WOULD NOT OPERATE. PILOT TAXIED BACK TO HANGA,pilot taxied back to hanga,pilot,PHYS,hanga
99,19950429009899A,1869,0,FAILED ACCELERATE ON TOW. PILOT RELEASED GLIDER. ABORTED TAKEOFF. GLIDER GROUND LOOPED. SPEED BRAKES WERE STILL ON.,pilot released glider .,pilot,ART,glider
100,19950718019642A,1874,1,"GLIDER COLLIDED WITH GROUND AFTER TOW, LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTER HE COMPLETED H",( .4 ) the glider pilot stated that after he completed h,pilot,ART,glider
101,19950718019641A,1876,1,"TOWING GLIDER, COLLIDED WITH GROUND AFTER TOW AIRCRAFT LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTE",( .4 ) the glider pilot stated that afte,pilot,ART,glider
102,19950216008379I,1887,0,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","narrative : the pilot of cessna 207 , n1549u stated that after takeoff from the bethel airport , the engine stopped ru",pilot,ART,cessna 207
103,19950216008379I,1887,0,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","narrative : the pilot of cessna 207 , n1549u stated that after takeoff from the bethel airport , the engine stopped ru",pilot,PHYS,bethel airport
104,19950903042959I,1922,0,"NARRATIVE: THE PILOT REPORTED HE PULLED ONTO THE RUNWAY, APPLIED POWER, WHEN ONE PROPELLER BLADE SEPARATED FROM THE","narrative : the pilot reported he pulled onto the runway , applied power , when one propeller blade separated from the",he,PHYS,runway
105,19960209004139I,1933,0,NARRATIVE: TWO KC FSDO INSPECTORS WERE ON THE EXECUTIVE BEECH FBO RAMP INSPECTING AN AIRPLANE WHEN N4517T WAS OBSER,narrative : two kc fsdo inspectors were on the executive beech fbo ramp inspecting an airplane when n4517t was obser,inspectors,ORG-AFF,kc
106,19960501031129A,1946,0,USDA AIRCRAFT. ABORTED TAKEOFF DUE LOUD NOISE. FLEW TIRES. LEFT RUNWAY. OVER DEFLICTED UNDER INFLATED TIRES. (-23) ,usda aircraft .,usda,ART,aircraft
107,19960512044299I,1947,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative : on 05-12-96 , while enroute at 33,000 feet from chicago , il ( mdw ) to st. petersburg , fl ( pie ) , american t",chicago,PART-WHOLE,il
108,19960512044299I,1947,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative : on 05-12-96 , while enroute at 33,000 feet from chicago , il ( mdw ) to st. petersburg , fl ( pie ) , american t",st. petersburg,PART-WHOLE,fl
