,c5_id,doc_idx,sent_idx,c119_input,sentence,head,relation,tail
16,19840805042689A,775,0,STUDENT PILOT CARRYING PASSENGER ATTEMPTED TAKEOFF WITH FULL FLAPS EXTENDED. ARICRAFT STALLED AFTER LIFT OFF.      ,student pilot carrying passenger attempted takeoff with full flaps extended .,pilot,PER-SOC,passenger
17,19841112062819A,811,0,STUDENT PILOT FAILED TO CONTROL AIRCRAFT DURING GO AROUND FROM A BOUNCED LANDING. FLAPS WERE RETRACTED EARLY.      ,student pilot failed to control aircraft during go around from a bounced landing .,pilot,ART,aircraft
18,19841031065119I,814,0,PART OF ENGINE COWLING SEPARATED DUE TO IMPROPER LATCHING. PILOT RETURNED TO AIRPORT FOR EMERGENCY LANDING.        ,pilot returned to airport for emergency landing .,pilot,PHYS,airport
19,19860801062349I,1048,0,DOOR POPPED OPEN DURING CLIMB. PILOT RETURNED TO AIRPORT TO CLOSE DOOR. IFR FLIGHT PLAN NOT CLOSED.                ,pilot returned to airport to close door .,pilot,PHYS,airport
20,19860625027739A,1080,0,PILOT LOST CONTROL OF AIRCRAFT DURING GO AROUND DUE TO LOSS OF AILERON CONTROL.PILOT FAILED TO REMOVE CONTROL LOCK.,pilot lost control of aircraft during go around due to loss of aileron control .,pilot,ART,aircraft
21,19870226003479A,1150,2,THE PLANE NOSED OVER DURING A WATER LANDING.  THE STUDENT INADVERTENTLY LOWERED THE GEAR.  INSTRUCTOR WAS IN PLANE.,instructor was in plane .,instructor,ART,plane
22,19870401031839A,1158,0,THE PILOT LOST CONTROL OF THE AIRCRAFT AT ROTATION.  THE CONTROL COLUMN GUST LOCK HAD NOT BEEN REMOVED.            ,the pilot lost control of the aircraft at rotation .,pilot,ART,aircraft
23,19870125046099A,1165,0,THE ENGINE FAILED FROM FUEL EXHAUSTION ON LANDING APPROACH. THE PILOT FAILED TO ADEQUATELY PREFLIGHT AIRCRAFT.     ,the pilot failed to adequately preflight aircraft .,pilot,ART,aircraft
24,19870826056929I,1252,0,PILOT TAXIED OVER A PLASTIC MARKER CONE THAT WAS IN FRONT  OF HIS AIRCRAFT. FAILED TO MAKE WALK AROUND PREFLIGHT.  ,pilot taxied over a plastic marker cone that was in front of his aircraft .,his,ART,aircraft
25,19890715028739A,1392,0,CANOPY CAME OPEN ON TOW. ROPE BROKE FROM DRAG. PILOT MADE 180 AND LANDED HARD ON SAME RUNWAY. NO LATCH DEFECTS.    ,pilot made 180 and landed hard on same runway .,pilot,PHYS,runway
26,19920805029139A,1651,0,FAILED TO UNTIE FRONT SKID. ROLLED OVER ON ATTEMPTED LIFTOFF. MAIN ROTORS STRUCK FISHING VESSELS DECK.             ,main rotors struck fishing vessels deck .,deck,PART-WHOLE,vessels
27,19940118004159I,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative : on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",dayton,PART-WHOLE,oh
28,19940118004159I,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative : on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",nashville,PART-WHOLE,tn
29,19950118003799I,1830,0,"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID (FANNING","narrative : on january 18 , 1995 , delta airlines flight # 1691 , after landing on runway 20 at idaho falls , id ( fanning",idaho falls,PART-WHOLE,id
30,19950321009089I,1850,0,"NARRATIVE: AFTER TAKE-OFF FROM WAINWRIGHT AS, AK. WITH 2 PASSENGERS, THE REAR CARGO DOOR CAME OPEN AT APPROX. 70 FT","narrative : after take-off from wainwright as , ak .",as,PART-WHOLE,ak
31,19950129005889I,1857,0,"NARRATIVE: COMA #4280, DEPARTED CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT, COVINGTON, KENTUCKY, 1000 LOCAL","narrative : coma # 4280 , departed cincinnati/northern kentucky international airport , covington , kentucky , 1000 local",covington,PART-WHOLE,kentucky
32,19950429009899A,1869,0,FAILED ACCELERATE ON TOW. PILOT RELEASED GLIDER. ABORTED TAKEOFF. GLIDER GROUND LOOPED. SPEED BRAKES WERE STILL ON.,pilot released glider .,pilot,ART,glider
33,19950718019642A,1874,1,"GLIDER COLLIDED WITH GROUND AFTER TOW, LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTER HE COMPLETED H",( .4 ) the glider pilot stated that after he completed h,pilot,ART,glider
34,19950718019641A,1876,1,"TOWING GLIDER, COLLIDED WITH GROUND AFTER TOW AIRCRAFT LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTE",( .4 ) the glider pilot stated that afte,pilot,ART,glider
35,19960501031129A,1946,0,USDA AIRCRAFT. ABORTED TAKEOFF DUE LOUD NOISE. FLEW TIRES. LEFT RUNWAY. OVER DEFLICTED UNDER INFLATED TIRES. (-23) ,usda aircraft .,usda,ART,aircraft
36,19960512044299I,1947,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative : on 05-12-96 , while enroute at 33,000 feet from chicago , il ( mdw ) to st. petersburg , fl ( pie ) , american t",chicago,PART-WHOLE,il
37,19960603016879I,1953,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative : pilot departed olive branch , ms and during climb out the left door popped open .",olive branch,PART-WHOLE,ms
38,19960603016879I,1953,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative : pilot departed olive branch , ms and during climb out the left door popped open .",pilot,PHYS,olive branch
39,19960817029279I,1975,0,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI","narrative : mooney n253tm , a mooney 020m , departed bozeman , montana , gallatin field , and returned for landing immedi",bozeman,PART-WHOLE,montana
40,19970116005549I,2002,0,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","narrative : on january 16 , 1997 , a beech 99 , owned and operated by alpine air of provo , utah , had departed billings ,",provo,PART-WHOLE,utah
41,19970116005549I,2002,0,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","narrative : on january 16 , 1997 , a beech 99 , owned and operated by alpine air of provo , utah , had departed billings ,",alpine air,GEN-AFF,provo
42,19970116005549I,2002,0,"NARRATIVE: ON JANUARY 16, 1997, A BEECH 99, OWNED AND OPERATED BY ALPINE AIR OF PROVO, UTAH, HAD DEPARTED BILLINGS,","narrative : on january 16 , 1997 , a beech 99 , owned and operated by alpine air of provo , utah , had departed billings ,",alpine air,ART,beech 99
43,19970309007699I,2011,1,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector,PART-WHOLE,mn
44,19970309007699I,2011,1,"NARRATIVE: 3-9-97 1300LCL. DURING CLIMB AFTER TAKE OFF FROM HECTOR MUNICIPAL AIRPORT, HECTOR, MN. BOTH ENGINES LOST","during climb after take off from hector municipal airport , hector , mn .",hector municipal airport,PART-WHOLE,hector
45,19961030044759I,2020,0,"NARRATIVE: PRIVATE PILOT, IN A SINGLE ENGINE CESSNA, ON A VFR FLIGHT WITH ONE PASSENGER, MADE AN EMERGENCY LANDING ","narrative : private pilot , in a single engine cessna , on a vfr flight with one passenger , made an emergency landing",pilot,ART,cessna
46,19970921027739A,2055,0,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",( .4 ) the pilot was planning to ferry his airplane from a privat,his,ART,airplane
47,19980702015809A,2103,0,"ACFT CRASHED AFTER TAKEOFF, BLISSFIELD, MI (.19)ON JULY 2, 1998, AT 0800 EASTER DAYLIGHT TIME (EDT), W WICKS FLY BA","acft crashed after takeoff , blissfield , mi ( .19 ) on july 2 , 1998 , at 0800 easter daylight time ( edt ) , w wicks fly ba",blissfield,PART-WHOLE,mi
48,19980712030299I,2105,0,THE PILOT WAS TAXIING THE AIRCRAFT INTO THE WIND WITH THE CONTROLS TIED BACK WITH THE SEAT BELT. THE AIRCRAFT WENT ,the pilot was taxiing the aircraft into the wind with the controls tied back with the seat belt .,pilot,ART,aircraft
49,19980823038089I,2114,0,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ","( -5 ) ifr flight , rexburg , idaho to gunnison , co. , pilot requested diversion to idaho falls ( ida ) after having smoke",rexburg,PART-WHOLE,idaho
50,19981021043819I,2120,0,"(-5)ON OCTOBER 21 ,1998, AT 1205 CDT, N3256V, A BEECH A-36, OWNED AND OPERATED BY FRANK ROBINS III, RECEIVED MINOR ","( -5 ) on october 21 ,1998 , at 1205 cdt , n3256v , a beech a-36 , owned and operated by frank robins iii , received minor",beech,ART,a-36
51,19981030031049A,2122,0,"ON DEPARTURE FROM AVA, MO., ACFT SWERVED TO RIGHT AND PILOT COULD NOT RECOVER, CRASHED ON AIRPORT PROPERTY OFF RWY.","on departure from ava , mo .",ava,PART-WHOLE,mo
52,19980313008779I,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative : the pilot fueled the aircraft at salinas , ca .",pilot,PHYS,salinas
53,19980313008779I,2139,0,"NARRATIVE: THE PILOT FUELED THE AIRCRAFT AT SALINAS, CA. HE SAID HE VISUALLY CHECKED THE FUEL CAPS. HE STATED HE DE","narrative : the pilot fueled the aircraft at salinas , ca .",salinas,PART-WHOLE,ca
54,19981122032029A,2143,0,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( -23 ) mr. hicks was flying from sauk center , mn .",sauk center,PART-WHOLE,mn
55,19981122032029A,2143,1,"(-23) MR. HICKS WAS FLYING FROM SAUK CENTER, MN. (D39) TO CARROLL, IA (CIN). AT ABOUT 1530 LOCAL TIME HE REPORTED T","( d39 ) to carroll , ia ( cin ) .",carroll,PART-WHOLE,ia
56,19990130042099A,2147,0,"(.4)THE PILOT STATED HE WAS FLYING THE EXPERIMENTAL AIRPLANE ON A FRIEND'S PRIVATE AIRSTRIP NEAR PLEASANT VIEW, TEN","( .4 ) the pilot stated he was flying the experimental airplane on a friend 's private airstrip near pleasant view , ten",he,ART,airplane
57,19990415020099I,2154,0,"TWA, FLIGHT 580 DEPARTED RUNWAY 32 AT LINCOLN, NE. DURING CLIMB CABIN FAILED TO PRESSURIZE.  AIRCRAFT RETURNED TO L","twa , flight 580 departed runway 32 at lincoln , ne .",lincoln,PART-WHOLE,ne
58,19980817031319I,2177,0,"AIRCRAFT DEPARTED OSAGE BEACH (K15) ON RUNWAY 14 ENROUTE TO KANSAS CITY, MISSOURI. UPON CLIMBOUT AT APPROXIMATELY 3","aircraft departed osage beach ( k15 ) on runway 14 enroute to kansas city , missouri .",kansas city,PART-WHOLE,missouri
59,19991105036659A,2189,0,"(-23) MR. KARUP WAS PROVIDING SUPERVISION TO A STUDENT PILOT ON A CROSS COUNTRY FLIGHT FROM JACKSONVILLE, NC (OAJ),","( -23 ) mr. karup was providing supervision to a student pilot on a cross country flight from jacksonville , nc ( oaj ) ,",jacksonville,PART-WHOLE,nc
60,19991217045189A,2193,0,"(.4) ON DECEMBER 17, 1999, AT 1024 HOURS PACIFIC STANDARD TIME, A CESSNA 172N, N738UA, OPERATED BY THE PILOT WAS SU","( .4 ) on december 17 , 1999 , at 1024 hours pacific standard time , a cessna 172n , n738ua , operated by the pilot was su",pilot,ART,cessna 172n
61,19990930029029A,2194,0,"(.19) ON SEPTEMBER 30, 1999, AT 2240 CENTRAL DAYLIGHT TIME, A CESSNA 150F AIRPLANE, N8092S, WAS SUBSTANTIALLY DAMAG","( .19 ) on september 30 , 1999 , at 2240 central daylight time , a cessna 150f airplane , n8092s , was substantially damag",cessna,ART,airplane
62,19991210035729I,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",palm springs,PART-WHOLE,ca
63,19991210035729I,2199,0,"(-23) THE PILOT IN COMMAND OF N789SL HAD FILED AN IFR FLIGHT PLAN FROM PALM SPRINGS (PSP), CA, TO OCEANSIDE (CRQ), ","( -23 ) the pilot in command of n789sl had filed an ifr flight plan from palm springs ( psp ) , ca , to oceanside ( crq ) ,",pilot,ART,n789sl
64,19990928027529I,2219,1,(-23) OPERATOR EXPERIENCED LOW OIL PRESSURE INDICATION ON CLIMB. OPERATOR RETURNED TO AIRPORT AND MADE A NORMAL LAN,operator returned to airport and made a normal lan,operator,PHYS,airport
65,19950921032619A,2229,0,HOPPER FIRE INFLIGHT. PILOT LANDED ON ROAD BETWEEN TREES. SULPHUR DUST A FACTOR. NON COMPLIANCE WITH ADS ON SUBJECT,pilot landed on road between trees .,pilot,PHYS,road
66,19960307003679I,2241,0,"NARRATIVE: AIRCRAFT DEPARTED FORT SMITH, ARKANSAS. DURING GEAR RETRACTION, THE LANDING GEAR CIRCUIT BREAKER POPPED.","narrative : aircraft departed fort smith , arkansas .",fort smith,PART-WHOLE,arkansas
67,19960603025369I,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative : on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",chicago,PART-WHOLE,il
68,19960603025369I,2251,0,"NARRATIVE: ON AN IFR FLIGHT PLAN FROM CHICAGO, IL TO SAN ANTONIO, TX N898CB, A CESSNA 560, EXPERIENCED A RAPID LOSS","narrative : on an ifr flight plan from chicago , il to san antonio , tx n898cb , a cessna 560 , experienced a rapid loss",san antonio,PART-WHOLE,tx
69,19970405045919A,2270,0,(.4) THE PILOT FUELED HIS AIRPLANE AND FLEW A CROSS COUNTRY FLIGHT FOR A TOTAL DURATION OF 4 HOURS. AFTER LANDING B,( .4 ) the pilot fueled his airplane and flew a cross country flight for a total duration of 4 hours .,his,ART,airplane
70,19971230039709A,2290,0,"(.4)THE PILOT LANDED AT WATERTOWN, LOADED AND OFF-LOADED CARGO, AND DEPARTED WITHOUT GETTING OUT OF THE AIRPLANE. A","( .4 ) the pilot landed at watertown , loaded and off-loaded cargo , and departed without getting out of the airplane .",pilot,PHYS,watertown
71,19981008045999A,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","( .4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles",pilot,PHYS,airport
72,19981008045999A,2312,0,"(.4) THE CERTIFICATED AIRLINE TRANSPORT PILOT, WITH ONE PASSENGER, WAS DEPARTING FOR ANOTHER AIRPORT ABOUT 5 MILES ","( .4 ) the certificated airline transport pilot , with one passenger , was departing for another airport about 5 miles",pilot,PER-SOC,passenger
73,19990126015169I,2316,0,"ENROUTE TO PICK UP PATIENT AT HOSPITAL, PILOT FELT WHAT HE THOUGHT WAS TURBULENCE FOLLOWED BY A RUSHING AIR NOISE. ","enroute to pick up patient at hospital , pilot felt what he thought was turbulence followed by a rushing air noise .",patient,PHYS,hospital
74,19990506015529I,2321,0,"ON 5/6/99 AT APPROXIMATELY 1608C, DELTA 789 DEPARTED RUNWAY 36 BOUND FOR SAN FRANCISCO, CA. SHORTLY AFTER TAKEOFF T","on 5/6/99 at approximately 1608c , delta 789 departed runway 36 bound for san francisco , ca .",san francisco,PART-WHOLE,ca
75,19990904035409I,2323,0,(-23) PILOT DEPARTED A PRIVATE RANCH FOR A FOUR (4) MILE ENROUTE TRIP TO ANOTHER RANCH. AFTER TAKEOFF PILOT REALIZE,( -23 ) pilot departed a private ranch for a four ( 4 ) mile enroute trip to another ranch .,pilot,PHYS,ranch
76,20000526035169I,2343,0,"(-23)ON MAY 26, 2000, N4628C DEPARTED RUNWAY 22, CULPEPER, VA (W49) ON A PERSONAL FLIGHT SUBSEQUENT TO MAINTENANCE ","( -23 ) on may 26 , 2000 , n4628c departed runway 22 , culpeper , va ( w49 ) on a personal flight subsequent to maintenance",runway 22,PART-WHOLE,culpeper
77,20000526035169I,2343,0,"(-23)ON MAY 26, 2000, N4628C DEPARTED RUNWAY 22, CULPEPER, VA (W49) ON A PERSONAL FLIGHT SUBSEQUENT TO MAINTENANCE ","( -23 ) on may 26 , 2000 , n4628c departed runway 22 , culpeper , va ( w49 ) on a personal flight subsequent to maintenance",culpeper,PART-WHOLE,va
78,20000604033149I,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",reading,PART-WHOLE,pa
79,20000604033149I,2344,0,"(-23)PILOT TAXIED AIRCRAFT TO RUNWAY 31 AT READING AIRPORT (RDG), READING, PA, THEN STOPPED AND SET BRAKES. PILOT W","( -23 ) pilot taxied aircraft to runway 31 at reading airport ( rdg ) , reading , pa , then stopped and set brakes .",pilot,ART,aircraft
80,20000426010729A,2356,0,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ","( -23 ) the pilot was on a cross country flight from justin , tx .",justin,PART-WHOLE,tx
81,20000426010729A,2356,0,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ","( -23 ) the pilot was on a cross country flight from justin , tx .",pilot,PHYS,justin
82,20000426010729A,2356,1,"(-23) THE PILOT WAS ON A CROSS COUNTRY FLIGHT FROM JUSTIN, TX. TO DES MOINES, IOWA. HE STATED THAT THE ENGINE LOST ","to des moines , iowa .",des moines,PART-WHOLE,iowa
83,20001027030999I,2378,0,"(-23)ON FRIDAY OCTOBER 27, 2000, A DC-10 WAS BEING MARSHALLED TO A PARKING SPOT BY PERSONNEL OF PATHFINDER, A FREIG","( -23 ) on friday october 27 , 2000 , a dc-10 was being marshalled to a parking spot by personnel of pathfinder , a freig",personnel,ORG-AFF,pathfinder
84,20000929029309I,2379,0,"(-23) AIRMAN STATED THAT AFTER HE PREFLIGHTED A/C, HE WENT INTO THE OPS HANGER TO FILE HIS FLIGHT PLAN. WHEN HE RET","( -23 ) airman stated that after he preflighted a/c , he went into the ops hanger to file his flight plan .",he,ART,a/c
85,20000912027579I,2380,0,"(-23)DEPARTED TITUSVILLE, FLORIDA (TIX). AIRCRAFT WAS CRUISING AT 8500 FT. WITH ENGINE MAINTAINING 2400 RPM.  ENGIN","( -23 ) departed titusville , florida ( tix ) .",titusville,PART-WHOLE,florida
86,20000914038749A,2382,0,"(.19) ON SEPTEMBER 14, 2000, ABOUT 1915 ALASKA DAYLIGHT TIME, A PIPER PA-31-350 AIRPLANE, N4105D, SUSTAINED SUBSTAN","( .19 ) on september 14 , 2000 , about 1915 alaska daylight time , a piper pa-31-350 airplane , n4105d , sustained substan",piper,ART,airplane
87,20001118043779A,2385,0,"(-23) ON NOVEMBER 18, 2000, AIRCRAFT 8181L ATTEMPTED A NORMAL LANDING ON A GRASS AIRSTRIP LOCATED AT WHITE POST, VA","( -23 ) on november 18 , 2000 , aircraft 8181l attempted a normal landing on a grass airstrip located at white post , va",airstrip,PART-WHOLE,white post
88,20010523008789I,2400,0,"(-23)SOMETIME DURING THE NIGHT, AN UNMANNED, UNCONTROLLED US AIRWAYS LAVATORY TRUCK ROLLED ACROSS TAXIWAYS ""G"" AND ","( -23 ) sometime during the night , an unmanned , uncontrolled us airways lavatory truck rolled across taxiways `` g '' and",us airways,ART,truck
89,20010505011289I,2404,0,"(-23)PILOT DEPARTED MATHER FIELD, CALIFORNIA ENROUTE TO RANCHO MURIETA, CALIFORNIA. SHORTLY AFTER LEVEL OFF, THE EN","( -23 ) pilot departed mather field , california enroute to rancho murieta , california .",pilot,PHYS,mather field
90,20010505011289I,2404,0,"(-23)PILOT DEPARTED MATHER FIELD, CALIFORNIA ENROUTE TO RANCHO MURIETA, CALIFORNIA. SHORTLY AFTER LEVEL OFF, THE EN","( -23 ) pilot departed mather field , california enroute to rancho murieta , california .",mather field,PART-WHOLE,california
91,20010505011289I,2404,0,"(-23)PILOT DEPARTED MATHER FIELD, CALIFORNIA ENROUTE TO RANCHO MURIETA, CALIFORNIA. SHORTLY AFTER LEVEL OFF, THE EN","( -23 ) pilot departed mather field , california enroute to rancho murieta , california .",rancho murieta,PART-WHOLE,california
92,20010505011289I,2404,0,"(-23)PILOT DEPARTED MATHER FIELD, CALIFORNIA ENROUTE TO RANCHO MURIETA, CALIFORNIA. SHORTLY AFTER LEVEL OFF, THE EN","( -23 ) pilot departed mather field , california enroute to rancho murieta , california .",pilot,PHYS,rancho murieta
93,20010407005699A,2411,0,"(-23) ^PRIVACY DAT^ AND ONE PASSENGER WERE ENROUTE FROM PETERSBURGH, VA. (PTV) TO ORANGEBURGH, SC (OGB) IN N8084K A","( -23 ) ^privacy dat^ and one passenger were enroute from petersburgh , va. ( ptv ) to orangeburgh , sc ( ogb ) in n8084k a",orangeburgh,PART-WHOLE,sc
94,20010407005699A,2411,0,"(-23) ^PRIVACY DAT^ AND ONE PASSENGER WERE ENROUTE FROM PETERSBURGH, VA. (PTV) TO ORANGEBURGH, SC (OGB) IN N8084K A","( -23 ) ^privacy dat^ and one passenger were enroute from petersburgh , va. ( ptv ) to orangeburgh , sc ( ogb ) in n8084k a",passenger,PHYS,petersburgh
95,20010723017949A,2416,0,"(-23) PILOT WAS ON A VFR FLIGHT FROM AUBURN/LEWISTON, ME (LEW) TO BUFFALO, NY (BUF). APPROXIMATELY 15 MILES SOUTHWE","( -23 ) pilot was on a vfr flight from auburn/lewiston , me ( lew ) to buffalo , ny ( buf ) .",buffalo,PART-WHOLE,ny
96,20011019029729I,2427,0,"(-23) PILOT STATEMENT: ON FRIDAY, OCTOBER 19, 2001, AT 6:45 AM, AT LOVE AIRFIELD IN PRESCOTT, ARIZONA, THE PLANE A ","( -23 ) pilot statement : on friday , october 19 , 2001 , at 6:45 am , at love airfield in prescott , arizona , the plane a",prescott,PART-WHOLE,arizona
