id,sample,primary_ent,primary_qid,primary_link,secondary_ent,secondary_qid,secondary_link,tertiary_ent,tertiary_qid,tertiary_link,notes
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,NOSEWHEEL STEERING,Q1002555,https://www.wikidata.org/wiki/Q1002555,,,,,,,
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,BRAKES,Q1534839,https://www.wikidata.org/wiki/Q1534839,,,,,,,
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,2 AIRCRAFT,,,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,2,Q200,https://www.wikidata.org/wiki/Q200,,,,,,,
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,CIRCUIT BREAKER HYDRAULIC PUMP,,,HYDRAULIC PUMP,Q1640143,https://www.wikidata.org/wiki/Q1640143,PUMP,Q134574,https://www.wikidata.org/wiki/Q134574,
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.,FORWARD CARGO DOOR,,,CARGO DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.,WARNING LIGHT,,,LIGHT,Q1146001,https://www.wikidata.org/wiki/Q1146001,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED",MR. TIMOTHY ALLEN WELLS,,,,,,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED","PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R",,,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED","BELL HELICOPTER MODEL BHT-47-G5, N4754R",,,BHT-47-G5,Q312540,https://www.wikidata.org/wiki/Q312540,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED",BELL HELICOPTER MODEL BHT-47-G5,,,BHT-47-G5,Q312540,https://www.wikidata.org/wiki/Q312540,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED",BELL HELICOPTER,,,HELICOPTER,Q34486,https://www.wikidata.org/wiki/Q34486,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED",BELL,Q815695,https://www.wikidata.org/wiki/Q815695,,,,,,,
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED",N4754R,,,,,,,,,
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,FORCED LANDING,Q1975745,https://www.wikidata.org/wiki/Q1975745,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,ONE ENGINE,,,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,ONE,Q199,https://www.wikidata.org/wiki/Q199,,,,,,,
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,ICE,Q23392,https://www.wikidata.org/wiki/Q23392,,,,,,,
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.,AUXILIARY FUEL SYSTEM,,,FUEL SYSTEM,Q1786017,https://www.wikidata.org/wiki/Q1786017,,,,
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,LOWER ALTITUDE,,,ALTITUDE,Q190200,https://www.wikidata.org/wiki/Q190200,,,,
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,ICING,Q12060664,https://www.wikidata.org/wiki/Q12060664,,,,,,,
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,ALTIMETER,Q216197,https://www.wikidata.org/wiki/Q216197,,,,,,,
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.,ICING,Q12060664,https://www.wikidata.org/wiki/Q12060664,,,,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,RAY AIRPORT,Q35292471,https://www.wikidata.org/wiki/Q35292471,AIRPORT,Q1248784,https://www.wikidata.org/wiki/Q1248784,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,CLIMB,Q1499786,https://www.wikidata.org/wiki/Q1499786,,,,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,AIRCRAFT ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,PROBLEMS,Q621184,https://www.wikidata.org/wiki/Q621184,,,,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,FUEL,Q5361665,https://www.wikidata.org/wiki/Q5361665,,,,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,FERRY FLIGHT,Q331837,https://www.wikidata.org/wiki/Q331837,FLIGHT,Q15921555,https://www.wikidata.org/wiki/Q15921555,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,LEFT PONTOON,,,PONTOON,Q693340,https://www.wikidata.org/wiki/Q693340,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,POND,Q12719646,https://www.wikidata.org/wiki/Q12719646,,,,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,FUEL CAP,,,CAP,Q2488579,https://www.wikidata.org/wiki/Q2488579,,,,
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.,FUEL,Q5361665,https://www.wikidata.org/wiki/Q5361665,,,,,,,
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER",PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER",TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER",ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER",POWER,Q25342,https://www.wikidata.org/wiki/Q25342,,,,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",LOOSE COWLING,,,COWLING,Q1138219,https://www.wikidata.org/wiki/Q1138219,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",TAKEOFF,Q854248,https://www.wikidata.org/wiki/Q854248,,,,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",COWLING,Q1138219,https://www.wikidata.org/wiki/Q1138219,,,,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",LAND,Q11081619,https://www.wikidata.org/wiki/Q11081619,,,,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",CRACKED WINDSHIELD,,,WINDSHIELD,Q13693,https://www.wikidata.org/wiki/Q13693,,,,
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.",DENTED STABILIZER,,,STABILIZER,Q2712515,https://www.wikidata.org/wiki/Q2712515,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,DESCENT,Q624380,https://www.wikidata.org/wiki/Q624380,,,,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,FLIGHT MANUAL,Q4399976,https://www.wikidata.org/wiki/Q4399976,MANUAL,Q16363676,https://www.wikidata.org/wiki/Q16363676,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,TRUCK WINDSHIELD,,,WINDSHIELD,Q13693,https://www.wikidata.org/wiki/Q13693,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,TRUCK,Q43193,https://www.wikidata.org/wiki/Q43193,,,,,,,
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,GROUND,Q1349417,https://www.wikidata.org/wiki/Q1349417,,,,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,NR2 ENGINE FIRE,,,FIRE,Q3196,https://www.wikidata.org/wiki/Q3196,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,ENGINE,Q743004,https://www.wikidata.org/wiki/Q743004,,,,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,PASSENGERS,Q319604,https://www.wikidata.org/wiki/Q319604,,,,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,GATE,Q247739,https://www.wikidata.org/wiki/Q247739,,,,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,FUEL LEVER,,,LEVER,Q40164,https://www.wikidata.org/wiki/Q40164,,,,
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,SMOKE,Q130768,https://www.wikidata.org/wiki/Q130768,,,,,,,
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,HIGH OIL TEMP,,,OIL TEMP,,,TEMP,Q11466,https://www.wikidata.org/wiki/Q11466,
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,OIL,Q42962,https://www.wikidata.org/wiki/Q42962,,,,,,,
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,SHEARED MAIN GEAR,,,MAIN GEAR,,,GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,OIL,Q42962,https://www.wikidata.org/wiki/Q42962,,,,,,,
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,BATTERY COMPARTMENT DOOR,,,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,,,,
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,ANTENNA,Q131214,https://www.wikidata.org/wiki/Q131214,,,,,,,
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,WINDSHIELD,Q13693,https://www.wikidata.org/wiki/Q13693,,,,,,,
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,NOSE GEAR,,,GEAR,Q263421,https://www.wikidata.org/wiki/Q263421,,,,
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,PIN,,,,,,,,,
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,PREVIOUS MAINTENANCE,,,MAINTENANCE,Q1043452,https://www.wikidata.org/wiki/Q1043452,,,,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,GROUND STAND,,,STAND,Q56071807,https://www.wikidata.org/wiki/Q56071807,,,,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES,,,BAGGAGE CART,Q14277551,https://www.wikidata.org/wiki/Q14277552,CART,Q234668,https://www.wikidata.org/wiki/Q234668,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,AIRCRAFT,Q11436,https://www.wikidata.org/wiki/Q11436,,,,,,,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,9 INCH TEAR IN FUSELAGE,,,TEAR,Q105794273,https://www.wikidata.org/wiki/Q105794273,,,,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,9 INCH,,,,,,,,,
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,FUSELAGE,Q1110579,https://www.wikidata.org/wiki/Q1110579,,,,,,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,NORTHWEST AIRLINES DC-10,,,DC-10,Q21150832,https://www.wikidata.org/wiki/Q21150832,,,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,NORTHWEST AIRLINES,Q309174,https://www.wikidata.org/wiki/Q309174,,,,,,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,BOEING,Q66,https://www.wikidata.org/wiki/Q66,,,,,,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,GATE B-52,,,GATE,Q247739,https://www.wikidata.org/wiki/Q247739,,,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,CONTINENTAL AIRLINES,Q216486,https://www.wikidata.org/wiki/Q216486,,,,,,,
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,ENGINE OVERHEAT,,,,,,,,,
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,HOT OIL SMELL,,,SMELL,Q485537,https://www.wikidata.org/wiki/Q485537,,,,
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,OIL,Q42962,https://www.wikidata.org/wiki/Q42962,,,,,,,
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,AIR INTAKE PLUGS,,,PLUGS,Q111547495,https://www.wikidata.org/wiki/Q111547495,,,,
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,PILOT,Q2095549,https://www.wikidata.org/wiki/Q2095549,,,,,,,
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,ACCESS DOOR,Q2550031,https://www.wikidata.org/wiki/Q2550031,DOOR,Q36794,https://www.wikidata.org/wiki/Q36794,,,,
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,DOOR,Q2550031,https://www.wikidata.org/wiki/Q2550031,,,,,,,
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,FUSELAGE,Q1110579,https://www.wikidata.org/wiki/Q1110579,,,,,,,
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,RUNWAY,Q184590,https://www.wikidata.org/wiki/Q184590,,,,,,,
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,LANDING,Q844947,https://www.wikidata.org/wiki/Q844947,,,,,,,
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,PARKED AIRPLANE,,,AIRPLANE,Q197,https://www.wikidata.org/wiki/Q197,,,,
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,NEWLY INSTALLED CARPETING,,,CARPETING,Q124371860,https://www.wikidata.org/wiki/Q124371860,,,,
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,RUDDER PEDAL,Q56344540,https://www.wikidata.org/wiki/Q56344540,PEDAL,Q1231985,https://www.wikidata.org/wiki/Q1231985,,,,
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,TAXIWAY,Q910386,https://www.wikidata.org/wiki/Q910386,,,,,,,
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,TAXIWAY,Q910386,https://www.wikidata.org/wiki/Q910386,,,,,,,
