doc_idx,sent_idx,original_sentence,input,mention,bi_pred_entity,bi_qid,bi_desc,cross_pred_entity,cross_qid,cross_desc
49,0,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,engine cowling came loose in flight.,cowling,Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   ",Cowling,Q1138219," A cowling is the covering of a vehicle's engine, most often found on automobiles and aircraft.  A cowling may be used:  Examples in aviation include the NACA cowling and Townend ring.   "
50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot.,acft,Air traffic control,Q221395," Air traffic control (ATC) is a service provided by ground-based air traffic controllers who direct aircraft on the ground and through controlled airspace, and can provide advisory services to aircraft in non-controlled airspace. The primary purpose of ATC worldwide is to prevent collisions, organize and expedite the flow of air traffic, and provide information and other support for pilots. In some countries, ATC plays a security or defensive role, or is operated by the military.  Air traffic controllers monitor the location of aircraft in their assigned airspace by radar and communicate with the pilots by radio. To prevent collisions, ATC enforces traffic separation rules, which ensure each aircraft maintains a minimum amount of empty space around it at all times. In many countries, ATC provides services to all private, military, and commercial aircraft operating within its airspace. Depending on the type of flight and the class of airspace, ATC may issue ""instructions"" that pilots are required to obey, or ""advisories"" (known as ""flight information"" in some countries) that pilots may, at their discretion, disregard. The pilot in command is the final authority for the safe operation of the aircraft and may, in an emergency, deviate from ATC instructions to the extent required to maintain safe operation of their aircraft. ",Air traffic control,Q221395," Air traffic control (ATC) is a service provided by ground-based air traffic controllers who direct aircraft on the ground and through controlled airspace, and can provide advisory services to aircraft in non-controlled airspace. The primary purpose of ATC worldwide is to prevent collisions, organize and expedite the flow of air traffic, and provide information and other support for pilots. In some countries, ATC plays a security or defensive role, or is operated by the military.  Air traffic controllers monitor the location of aircraft in their assigned airspace by radar and communicate with the pilots by radio. To prevent collisions, ATC enforces traffic separation rules, which ensure each aircraft maintains a minimum amount of empty space around it at all times. In many countries, ATC provides services to all private, military, and commercial aircraft operating within its airspace. Depending on the type of flight and the class of airspace, ATC may issue ""instructions"" that pilots are required to obey, or ""advisories"" (known as ""flight information"" in some countries) that pilots may, at their discretion, disregard. The pilot in command is the final authority for the safe operation of the aircraft and may, in an emergency, deviate from ATC instructions to the extent required to maintain safe operation of their aircraft. "
50,1,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             , pilot forgot to remove tiedrope.,pilot,Maritime pilot,Q475604," A maritime pilot, marine pilot, harbor pilot, bar pilot, or simply pilot, is a sailor who maneuvers ships through dangerous or congested waters, such as harbors or river mouths. They are navigational experts possessing knowledge of the particular waterway such as its depth, currents, and hazards. ",PILOT,Q2044212," Programmed Instruction, Learning, or Teaching (PILOT) is a simple programming language developed in the 1960s. Like its younger sibling LOGO, it was an early foray into the technology of computer-assisted instruction. "
58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            "," system, gascolator and carburetor contained water.",gascolator,Gascolator,Q5526394," A gascolator, also known as a ""main line strainer"", ""sediment bowl"" or ""fuel strainer"", acts primarily as a fuel drain for water and small particles of sediment and is usually found at the lowest point of an aircraft's fuel system. The gascolator is located below the level of the aircraft's carburetor and fuel tanks and on light aircraft is commonly located on the front of the firewall, as low as possible.  There are two types of gascolators: those tapped for a primer port and those without. If equipped with a primer port the aircraft fuel primer will take its fuel supply from the gascolator, used for engine starting.  Gascolators are susceptible to the effects of heat from the co-located engine and exhaust components, which can cause fuel vapourization in the gascolator and vapour lock problems. This usually manifests itself as a partial power loss in cruise flight. To combat this problem some installations use a gascolator heat shield or free air blast tubes to cool the gascolator.  Some types of gascolators are equipped with a remote spring-loaded knob to drain them. Writer Tony Bingelis says of this type:  ",Gascolator,Q5526394," A gascolator, also known as a ""main line strainer"", ""sediment bowl"" or ""fuel strainer"", acts primarily as a fuel drain for water and small particles of sediment and is usually found at the lowest point of an aircraft's fuel system. The gascolator is located below the level of the aircraft's carburetor and fuel tanks and on light aircraft is commonly located on the front of the firewall, as low as possible.  There are two types of gascolators: those tapped for a primer port and those without. If equipped with a primer port the aircraft fuel primer will take its fuel supply from the gascolator, used for engine starting.  Gascolators are susceptible to the effects of heat from the co-located engine and exhaust components, which can cause fuel vapourization in the gascolator and vapour lock problems. This usually manifests itself as a partial power loss in cruise flight. To combat this problem some installations use a gascolator heat shield or free air blast tubes to cool the gascolator.  Some types of gascolators are equipped with a remote spring-loaded knob to drain them. Writer Tony Bingelis says of this type:  "
58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            "," system, gascolator and carburetor contained water.",carburetor,Carburetor,Q165435," A carburetor (American English) or carburettor (British English) is a device that mixes air and fuel for internal combustion engines in the proper air–fuel ratio for combustion. It is sometimes colloquially shortened to ""carb"" in the UK and North America or ""carby"" in Australia. To carburate or carburet (and thus carburation or carburetion, respectively) means to mix the air and fuel or to equip (an engine) with a carburetor for that purpose.  Carburetors have largely been supplanted in the automotive and, to a lesser extent, aviation industries by fuel injection. They are still common on small engines for lawn mowers, rototillers and other equipment. ",Carburetor,Q165435," A carburetor (American English) or carburettor (British English) is a device that mixes air and fuel for internal combustion engines in the proper air–fuel ratio for combustion. It is sometimes colloquially shortened to ""carb"" in the UK and North America or ""carby"" in Australia. To carburate or carburet (and thus carburation or carburetion, respectively) means to mix the air and fuel or to equip (an engine) with a carburetor for that purpose.  Carburetors have largely been supplanted in the automotive and, to a lesser extent, aviation industries by fuel injection. They are still common on small engines for lawn mowers, rototillers and other equipment. "
64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown.,pilot,Aircraft pilot,Q2095549," An aircraft pilot or aviator is a person who controls the flight of an aircraft by operating its directional flight controls. Some other aircrew members, such as navigators or flight engineers, are also considered aviators, because they are involved in operating the aircraft's navigation and engine systems. Other aircrew members, such as flight attendants, mechanics and ground crew, are not classified as aviators.  In recognition of the pilots' qualifications and responsibilities, most militaries and many airlines worldwide award aviator badges to their pilots. ",Aircraft pilot,Q2095549," An aircraft pilot or aviator is a person who controls the flight of an aircraft by operating its directional flight controls. Some other aircrew members, such as navigators or flight engineers, are also considered aviators, because they are involved in operating the aircraft's navigation and engine systems. Other aircrew members, such as flight attendants, mechanics and ground crew, are not classified as aviators.  In recognition of the pilots' qualifications and responsibilities, most militaries and many airlines worldwide award aviator badges to their pilots. "
84,0,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,flight returned due to mag.,mag,Coma,Q159557," A coma is a deep state of prolonged unconsciousness in which a person cannot be awakened; fails to respond normally to painful stimuli, light, or sound; lacks a normal wake-sleep cycle; and does not initiate voluntary actions. Coma patients exhibit a complete absence of wakefulness and are unable to consciously feel, speak or move. Comas can be derived by natural causes, or can be medically induced.  Clinically, a coma can be defined as the inability to consistently follow a one-step command. It can also be defined as a score of ≤ 8 on the Glasgow Coma Scale (GCS) lasting ≥ 6 hours. For a patient to maintain consciousness, the components of ""wakefulness"" and ""awareness"" must be maintained. Wakefulness describes the quantitative degree of consciousness, whereas awareness relates to the qualitative aspects of the functions mediated by the cortex, including cognitive abilities such as attention, sensory perception, explicit memory, language, the execution of tasks, temporal and spatial orientation and reality judgment. From a neurological perspective, consciousness is maintained by the activation of the cerebral cortex—the gray matter that forms the outer layer of the brain and by the reticular activating system (RAS), a structure located within the brainstem. ",Rabies,Q39222," Rabies is a viral disease that causes inflammation of the brain in humans and other mammals. Early symptoms can include fever and tingling at the site of exposure. These symptoms are followed by one or more of the following symptoms: violent movements, uncontrolled excitement, fear of water, an inability to move parts of the body, confusion, and loss of consciousness. Once symptoms appear, the result is nearly always death. The time period between contracting the disease and the start of symptoms is usually one to three months, but can vary from less than one week to more than one year. The time depends on the distance the virus must travel along peripheral nerves to reach the central nervous system. Rabies is caused by ""lyssaviruses"", including the rabies virus and Australian bat lyssavirus. It is spread when an infected animal scratches or bites another animal or human. Saliva from an infected animal can also transmit rabies if the saliva comes into contact with the eyes, mouth, or nose. Globally, dogs are the most common animal involved. More than 99% of rabies cases in countries where dogs commonly have the disease are the direct result of dog bites. In the Americas, bat bites are the most common source of rabies infections in humans, and less than 5% of cases are from dogs. Rodents are very rarely infected with rabies. The disease can be diagnosed only after the start of symptoms. Animal control and vaccination programs have decreased the risk of rabies from dogs in a number of"
94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area.,jetway,Taxiway,Q910386," A taxiway is a path for aircraft at an airport connecting runways with aprons, hangars, terminals and other facilities. They mostly have a hard surface such as asphalt or concrete, although smaller general aviation airports sometimes use gravel or grass.  Busy airports typically construct high-speed or rapid-exit taxiways to allow aircraft to leave the runway at higher speeds. This allows the aircraft to vacate the runway quicker, permitting another to land or take off in a shorter interval of time. This is usually accomplished by making the exiting taxiway longer, thus giving the aircraft more space in which to slow down, before the taxiways' upcoming intersection with another (perpendicular) taxiway, another runway, or the ramp/tarmac.  Most airports do not have a specific speed limit for taxiing (though some do). There is a general rule on safe speed based on obstacles. Operators and aircraft manufacturers might have limits. Typical taxi speeds are 20-30 knots (37-56 km/h; 23-35 mph).   ",Jet bridge,Q1061299," A jet bridge (also termed jetway, gangway, aerobridge/airbridge, air jetty, portal, skybridge, finger, airtube (tube), or its official industry name passenger boarding bridge (PBB)) is an enclosed, movable connector which most commonly extends from an airport terminal gate to an airplane, and in some instances from a port to a boat or ship, allowing passengers to board and disembark without going outside and being exposed to the elements. Depending on building design, sill heights, fueling positions, and operational requirements, a jet bridge may be fixed or movable, swinging radially, and/or extending in length. The jetway was invented by Frank Der Yuen.  Similar devices are used for astronauts to enter spacecrafts, which are installed in the appropriate height of the launch tower. "
97,0,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","after working on home-built, pilot took off without connecting aileron controls.",aileron,Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. ",Aileron,Q509379," An aileron (French for ""little wing"" or ""fin"") is a hinged flight control surface usually forming part of the trailing edge of each wing of a fixed-wing aircraft. Ailerons are used in pairs to control the aircraft in roll (or movement around the aircraft's longitudinal axis), which normally results in a change in flight path due to the tilting of the lift vector. Movement around this axis is called 'rolling' or 'banking'.  The modern aileron was invented and patented by the British scientist Matthew Piers Watt Boulton in 1868, based on his 1864 paper ""On Aerial Locomotion"". Even though there was extensive prior art in the 19th century for the aileron and its functional analog, wing warping, in 1906 the United States granted an expansive patent to the Wright Brothers of Dayton, Ohio, for the invention of a system of aerodynamic control that manipulated an airplane's control surfaces. Considerable litigation ensued within the United States over the legal issues of lateral roll control, until the First World War compelled the U.S. Government to legislate a legal resolution. "
98,1,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   , landed in marshy area and tipped up on nose.,marshy area,Marsh,Q30198," A marsh is a wetland that is dominated by herbaceous rather than woody plant species. Marshes can often be found at the edges of lakes and streams, where they form a transition between the aquatic and terrestrial ecosystems. They are often dominated by grasses, rushes or reeds. If woody plants are present they tend to be low-growing shrubs. This form of vegetation is what differentiates marshes from other types of wetland such as swamps, which are dominated by trees, and mires, which are wetlands that have accumulated deposits of acidic peat. ",Marsh,Q30198," A marsh is a wetland that is dominated by herbaceous rather than woody plant species. Marshes can often be found at the edges of lakes and streams, where they form a transition between the aquatic and terrestrial ecosystems. They are often dominated by grasses, rushes or reeds. If woody plants are present they tend to be low-growing shrubs. This form of vegetation is what differentiates marshes from other types of wetland such as swamps, which are dominated by trees, and mires, which are wetlands that have accumulated deposits of acidic peat. "
102,0,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,spring loaded tank drain valve left partially open.,open,Valve,Q208443," A valve is a device that regulates, directs or controls the flow of a fluid (gases, liquids, fluidized solids, or slurries) by opening, closing, or partially obstructing various passageways. Valves are technically fittings, but are usually discussed as a separate category. In an open valve, fluid flows in a direction from higher pressure to lower pressure. The word is derived from the Latin ""valva"", the moving part of a door, in turn from ""volvere"", to turn, roll.  The simplest, and very ancient, valve is simply a freely hinged flap which drops to obstruct fluid (gas or liquid) flow in one direction, but is pushed open by flow in the opposite direction. This is called a check valve, as it prevents or ""checks"" the flow in one direction. Modern control valves may regulate pressure or flow downstream and operate on sophisticated automation systems.  Valves have many uses, including controlling water for irrigation, industrial uses for controlling processes, residential uses such as on/off and pressure control to dish and clothes washers and taps in the home. Even aerosols have a tiny valve built in. Valves are also used in the military and transport sectors. In HVAC ductwork and other near-atmospheric air flows, valves are instead called dampers. In compressed air systems, however, valves are used with the most common type being ball valves. ",Valve,Q208443," A valve is a device that regulates, directs or controls the flow of a fluid (gases, liquids, fluidized solids, or slurries) by opening, closing, or partially obstructing various passageways. Valves are technically fittings, but are usually discussed as a separate category. In an open valve, fluid flows in a direction from higher pressure to lower pressure. The word is derived from the Latin ""valva"", the moving part of a door, in turn from ""volvere"", to turn, roll.  The simplest, and very ancient, valve is simply a freely hinged flap which drops to obstruct fluid (gas or liquid) flow in one direction, but is pushed open by flow in the opposite direction. This is called a check valve, as it prevents or ""checks"" the flow in one direction. Modern control valves may regulate pressure or flow downstream and operate on sophisticated automation systems.  Valves have many uses, including controlling water for irrigation, industrial uses for controlling processes, residential uses such as on/off and pressure control to dish and clothes washers and taps in the home. Even aerosols have a tiny valve built in. Valves are also used in the military and transport sectors. In HVAC ductwork and other near-atmospheric air flows, valves are instead called dampers. In compressed air systems, however, valves are used with the most common type being ball valves. "
