c5_id,doc_idx,sent_idx,c119_input,sentence,entities,labels
19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,lndng gr extnsn,Method
19770622018359A,26,0,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,plt did not use emerg lndng gr extnsn after electrical pwr failure .,electrical pwr failure,OtherScientificTerm
19770617020389A,27,0,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,insufficient altitude for successful autorotation .,autorotation,Task
19770530015519A,28,0,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","choker cable still connected to cargo hook during flt , free to trail in slipstream , struck t/r .",choker cable,OtherScientificTerm
19770706020519A,30,0,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,an175-16 had pulled through torque link center scissors .,torque link center scissors,Method
19770706020519A,30,1,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,washer cracked & separated frm bolt .,frm bolt,OtherScientificTerm
19770912040629A,31,2,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,autofeather not connected.100 octane fuel .,autofeather,OtherScientificTerm
19780112002729I,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,forced landing,Task
19780112002729I,34,0,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,forced landing after power loss .,power loss,OtherScientificTerm
19780108002219I,35,1,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,found frozen water in fuel system .,fuel system,Method
19780129004679I,37,1,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,ice restriction,OtherScientificTerm
19780129004679I,37,1,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",ice restriction in main fuel strainer .,main fuel strainer,Method
19780203005449I,38,0,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,shortly after changing fuel tanks one engine became rough and was shut down .,fuel tanks,OtherScientificTerm
19780203005449I,38,1,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,had been topped off with jet fuel .,jet fuel,OtherScientificTerm
19780121004029I,40,0,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,gear switch was not in the down position and gear retracted during take off roll .,gear switch,OtherScientificTerm
19770927027719A,45,2,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,throttle friction loose .,throttle friction,OtherScientificTerm
19780206006149I,47,1,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",strange noise during retraction .,strange noise,OtherScientificTerm
19780206006039I,49,0,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,engine cowling came loose in flight .,engine cowling,OtherScientificTerm
19780211006969I,53,0,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",nose gear collapsed while waiting for takeoff .,nose gear,OtherScientificTerm
19780211006969I,53,1,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","was being ferried from an earlier collapse , nose gear not braced .",nose gear,OtherScientificTerm
19780219007659I,54,0,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,engine quit due to ice in the fuel system .,fuel system,Method
19780213006479I,56,0,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,engine shut down due to low oil pressure .,low oil pressure,OtherScientificTerm
19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",system,OtherScientificTerm
19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",gascolator,OtherScientificTerm
19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .",carburetor,OtherScientificTerm
19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,emergency landing,Task
19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,low oil pressure,OtherScientificTerm
19780303015509I,63,0,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,electrical emergency followed jump start and takeoff .,electrical emergency,OtherScientificTerm
19780303015509I,63,1,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,landing gear collapsed at touchdown .,landing gear,OtherScientificTerm
19780311016379I,64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown .,directional control,OtherScientificTerm
19780311016379I,64,1,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","brakes were worn out , brake reservoir was empty .",brakes,OtherScientificTerm
19780319009079I,68,0,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,bolt in nose gear scissors came out during takeoff .,nose gear scissors,OtherScientificTerm
19780319009079I,68,1,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,nose wheel dropped out after liftoff .,nose wheel,OtherScientificTerm
19780325010349I,69,0,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,engine stopped on final approach due to water contamination in the fuel system .,fuel system,Method
19780328011399I,70,0,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,engine quit after lift off due to water in the fuel system .,fuel system,Method
19780330011569I,71,2,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",both generator armatures extremely galled .,generator armatures,OtherScientificTerm
19780402009009I,72,2,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,failed to use emergency gear extension .,emergency gear extension,Method
19780402008409I,74,0,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,taxiing aircraft struck parked aircraft .,taxiing aircraft,OtherScientificTerm
19780402008409I,74,1,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,found worn out & ineffective brakes as cause .,ineffective brakes,OtherScientificTerm
19780409009699I,77,0,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","pilot extended gear manually due to electrical failure , gear collapsed after touchdown .",electrical failure,OtherScientificTerm
19780210005719I,78,2,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",control valve found stuck from ice at 1/2 open .,control valve,OtherScientificTerm
19780309015599I,80,2,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,right tank was not fueled due to fuel leak .,fuel leak,OtherScientificTerm
19780413019379A,81,1,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,0.10 lvl alcohol in liver spec.45lbs force rqd for lvl flt .,lvl flt,OtherScientificTerm
19780507032369I,82,0,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","forced landing due to oil leak , found loose oil cap .",forced landing,Task
19780507032369I,82,0,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","forced landing due to oil leak , found loose oil cap .",oil leak,OtherScientificTerm
19780525040389I,83,0,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,brakes were ineffective on landing .,brakes,OtherScientificTerm
19780427013859I,85,0,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine cowling separated from engine in flight .,engine cowling,OtherScientificTerm
19780427013859I,85,0,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine cowling separated from engine in flight .,engine in flight,OtherScientificTerm
19780501031459I,89,0,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,unscheduled landing due to oil coming from engines .,unscheduled landing,Task
19780501031459I,89,0,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,unscheduled landing due to oil coming from engines .,oil,OtherScientificTerm
19780503031639I,90,0,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,pilot unable to extend gear due to faulty gear actuator .,faulty gear actuator,OtherScientificTerm
19780519033989I,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area .,jetway,OtherScientificTerm
19780603041629I,101,0,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,float strut collapsed during takeoff run .,float strut,OtherScientificTerm
19780616046119I,105,0,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,precautionary landing due to low power .,precautionary landing,Task
19780616046119I,105,0,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,precautionary landing due to low power .,low power,OtherScientificTerm
19780616046119I,105,1,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,carburetor heat was partially open causing an over rich mixture .,carburetor heat,OtherScientificTerm
19780616046129I,106,0,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","nose gear could not be fully extended , collapsed on touchdown .",nose gear,OtherScientificTerm
19780616046129I,106,1,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","nose gear doors had been left unhooked , jammed .",nose gear doors,OtherScientificTerm
19780623018469A,110,0,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","loose battery post , loss of alternator exciting current .",loose battery post,OtherScientificTerm
19780623018469A,110,0,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","loose battery post , loss of alternator exciting current .",loss of alternator exciting current,OtherScientificTerm
19780509032859I,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,forced landing,Task
19780509032859I,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,OtherScientificTerm
19780625035919I,119,1,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,water and other foreign material found in the gascolator bowl .,gascolator bowl,OtherScientificTerm
19780625035779I,120,0,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,engine stopped soon after takeoff due to fuel selector moved by a passenger during loading .,fuel selector,OtherScientificTerm
19780810035619A,124,0,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,low oil state .,low oil state,OtherScientificTerm
19780810035619A,124,1,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,lndd in flooded alfalfa field .,lndd,OtherScientificTerm
19780805024609A,126,0,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,plt inadvertently moved mixture control to cut off position whileempting to lean mixture .,plt,Method
19780805024609A,126,0,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,plt inadvertently moved mixture control to cut off position whileempting to lean mixture .,mixture control,Method
19780726036499I,129,1,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment,nose gear,OtherScientificTerm
19780726036499I,129,1,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment,inflation,OtherScientificTerm
19780726036499I,129,1,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment,cam adjustment,Method
19780629034269I,130,1,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,was considered a radio failure by atc .,atc,Method
19780723038809I,133,1,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,it is likely that the fuel drain was running and not detected .,fuel drain,OtherScientificTerm
19780809049919I,136,0,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","left gear collapsed on roll out , hydraulic system low on fluid .",hydraulic system,Method
19780901016759I,141,0,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,unable to extend nose gear before landing .,nose gear,OtherScientificTerm
19780901016759I,141,1,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,gear was jammed due to deflated nose gear strut .,deflated nose gear strut,OtherScientificTerm
19780904017739I,142,0,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,forced landing after power loss .,forced landing,Task
19780904017739I,142,0,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,forced landing after power loss .,power loss,OtherScientificTerm
19780904017739I,142,1,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,helicopter had been serviced with jet fuel .,jet fuel,OtherScientificTerm
19780907018599I,143,0,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,wing floats damaged on landing .,wing floats,OtherScientificTerm
19780907018599I,143,1,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,nose gar door linkage had broken causing sharp turn .,nose gar door linkage,OtherScientificTerm
19780907018599I,143,1,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,nose gar door linkage had broken causing sharp turn .,sharp turn,OtherScientificTerm
19780920018899I,145,1,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",later found exhaust tunnels damaged .,exhaust tunnels,OtherScientificTerm
19781102023549I,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,forced landing,Task
19781102023549I,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,OtherScientificTerm
19781102023729I,148,0,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,aircraft struck ditch while taxiing at night without taxi light .,taxi light,OtherScientificTerm
19781102023729I,148,1,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,battery was too weak due to generator failure .,battery,OtherScientificTerm
19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .",maintenance hangar,OtherScientificTerm
19780925018069I,150,0,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,engine shutdown due to smoke from nacelle .,engine shutdown,Task
19780925018069I,150,1,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,gear retracted on landing rollout .,landing rollout,OtherScientificTerm
19780908034669A,153,0,GENERATOR SHORTING.                                                                                                ,generator shorting .,generator shorting,Task
19781020041019A,154,1,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,no 4 rod asy ( pn 41a2 ) failed for unkn rsn .,unkn rsn,Task
19781009029939I,157,1,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ",had been topped off with jet fuel .,jet fuel,OtherScientificTerm
19790119001139A,159,0,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,aircraft failed to climb after liftoff due to airframe ice .,airframe ice,OtherScientificTerm
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,baggage cart,OtherScientificTerm
19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,jet blast,Method
19781108022239I,160,1,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,brakes were inoperative on cart .,brakes,OtherScientificTerm
19781120025989I,163,1,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,engine shut down due to oil loss .,oil loss,OtherScientificTerm
19781120025989I,163,2,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,single generator failed due to overload .,overload,OtherScientificTerm
19781128024449I,164,0,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ","landing in field due to power loss , water in fuel system .",power loss,OtherScientificTerm
19781128024449I,164,1,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ",water came from a fuel storage tank .,fuel storage tank,OtherScientificTerm
19781210024199I,165,0,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,wheels locked up after several touch and go landings due to snow packed in the wheel pants .,wheels,OtherScientificTerm
19781230020029I,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,engine falure,OtherScientificTerm
19781230020029I,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,total electrical failure,OtherScientificTerm
19781230020029I,167,1,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,battery known to be bad .,battery,OtherScientificTerm
19781230020029I,167,2,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,fuel control unit poor condition .,fuel control unit,Method
19790107000829I,169,1,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ",of water drained from left nacelle and boost pump .,boost pump,Method
19781205041369A,177,1,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,elevator gust lock found in early part of crpath bfr break up .,elevator gust lock,OtherScientificTerm
19781119026389I,179,1,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ",no brakes due to insufficient fluid .,insufficient fluid,OtherScientificTerm
19781216025369I,180,0,LANDING GEAR SELECTOR INADVERTENTLY LEFT IN UP POSITION. GEAR COLLAPSED ON TAKEOFF. GEAR WARNING HORN INOP.        ,landing gear selector inadvertently left in up position .,landing gear selector,OtherScientificTerm
19781216025369I,180,1,LANDING GEAR SELECTOR INADVERTENTLY LEFT IN UP POSITION. GEAR COLLAPSED ON TAKEOFF. GEAR WARNING HORN INOP.        ,gear collapsed on takeoff .,gear,OtherScientificTerm
19790102000919I,181,0,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,lost directional control on icy runway .,directional control,OtherScientificTerm
19790102000919I,181,0,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,lost directional control on icy runway .,icy runway,OtherScientificTerm
19781207022839I,184,1,"PILOT TOOK OFF WITH SNOW BLOWN IN THE ENGINE COMPARTMENT. SNOW MELTED, THEN FROZE UP THE THROTTLE LINKAGE.         ","snow melted , then froze up the throttle linkage .",throttle linkage,OtherScientificTerm
