,doc_idx,sent_idx,c5_id,original_sentence,input,head,relation,tail
22,290,1,19790729018879A,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,found hydraulic reservoir too low on fluid to operate landing gear .,hydraulic reservoir,USED-FOR,landing gear
23,298,0,19790710018689I,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,electrical failure resulted in manual gear extension .,electrical failure,USED-FOR,manual gear extension
24,331,2,19791216046619I,"CREW MISUSED AUTO THROTTLE SYSTEM, LOST POWER. INCORRECTLY ASSUMED FLAMEOUT. POWER AND CONTROL WERE SOON RESTORED. ",power and control were soon restored .,power,CONJUNCTION,control
25,346,0,19800119018919I,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,ice & water found in lowest point in fuel system under fuel on-off selector .,fuel on-off selector,USED-FOR,fuel system
26,346,1,19800119018919I,ICE & WATER FOUND IN LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR. ICE ALSO FOUND IN THE STRAINER.       ,ice also found in the strainer .,ice,PART-OF,strainer
27,393,1,19800608019219A,"ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF. STALLED, AVOIDING TREES. STUCK RINGS AND VALVES FROM SLUDGE IN OIL. ",stuck rings and valves from sludge in oil .,stuck rings,CONJUNCTION,valves
28,430,0,19800921069839I,UNSCHEDULED LANDING AFTER ENGINE ROUGHNESS. FOUND WATER IN FUEL TANKS.                                             ,unscheduled landing after engine roughness .,engine roughness,USED-FOR,unscheduled landing
29,461,1,19801020075389I,ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE. LOSS OF OIL WAS DUE TO LOOSE OIL CAP.                                ,loss of oil was due to loose oil cap .,loose oil cap,USED-FOR,loss of oil
30,474,0,19801223087189I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,power loss,USED-FOR,forced landing
31,492,0,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ","landing in slush caused damage to light lens , tail skid , and right inboard flap .",tail skid,CONJUNCTION,right inboard flap
32,492,0,19801117079979I,"LANDING IN SLUSH CAUSED DAMAGE TO LIGHT LENS, TAIL SKID, AND RIGHT INBOARD FLAP.                                   ","landing in slush caused damage to light lens , tail skid , and right inboard flap .",light lens,CONJUNCTION,tail skid
33,520,0,19810301019129A,"VEERED OFF RUNWAY ON LANDING. UNABLE TO CORRECT. RUDDER PEDAL BLOCKED BY LOOSE CONTROL LOCK, LYING ON FLOOR.       ","rudder pedal blocked by loose control lock , lying on floor .",loose control lock,USED-FOR,rudder pedal
34,546,0,19810528031229A,PILOT FORGOT TO USE EMERGENCY GEAR LOWERING SYSTEM TO LOWER LANDING GEAR. LANDED GEAR UP.                          ,pilot forgot to use emergency gear lowering system to lower landing gear .,emergency gear lowering system,USED-FOR,landing gear
35,548,0,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",altitude,CONJUNCTION,vsi
36,548,0,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",lost airspeed,CONJUNCTION,altitude
37,548,0,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","lost airspeed , altitude and vsi on climbout .",vsi,USED-FOR,climbout
38,548,2,19810917083489I,"LOST AIRSPEED, ALTITUDE AND VSI ON CLIMBOUT. LOST ELECTRIC POWER.  TAPE ON STATIC PORTS, BAD CIRCUIT BREAKER.      ","tape on static ports , bad circuit breaker .",static ports,CONJUNCTION,bad circuit breaker
39,573,0,19810815059089A,PILOT TRIED TO RELEASE SLING LOAD WITH ELECTRICAL SWITCH WHICH FAILED. PILOT FAILED TO USE MECHANICAL RELEASE.     ,pilot tried to release sling load with electrical switch which failed .,electrical switch,USED-FOR,sling load
40,632,0,19820818039269A,REPORT INDICATES FUEL TANK CAP NOT SECURED. POSSIBLE FUEL LEAK DURING INVERTED FLIGHT. FIRE ERUPTED. LOST CONTROL. ,possible fuel leak during inverted flight .,inverted flight,FEATURE-OF,fuel leak
41,642,1,19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","cracked windshield , dented stabilizer .",cracked windshield,CONJUNCTION,dented stabilizer
42,644,0,19820806034979A,PILOT NEGLECTED TO CONNECT ELEVATOR CONTROL DURING GLIDER ASSEMBLY. CRASH OCCURRED DURING TAKEOFF.                 ,pilot neglected to connect elevator control during glider assembly .,elevator control,USED-FOR,glider assembly
43,722,1,19830808046929I,HAD CYCLIC CONTROL PROBLEMS. FOUND CENTER SEAT BUCKLE HAD LODGED BETWEEN THE RIGHT CYCLIC CONTROL AND THE PEDESTAL.,found center seat buckle had lodged between the right cyclic control and the pedestal .,cyclic control,CONJUNCTION,pedestal
44,727,0,19830808062509I,HIGH ITT AND LOW OIL PRESSURE ON BOTH ENGINES ON APPROACH. FOUND BOTH OIL CAPS IN PLACE BUT NOT LOCKED DOWN.       ,high itt and low oil pressure on both engines on approach .,itt,CONJUNCTION,oil pressure
45,735,1,19831231073549I,ENGINE MALFUNCTION ON INITIAL CLIMBOUT. FOUND WATER AND FINE DIRT PARTICLES IN STRAINER AND FUSELAGE BELLY DRAIN.  ,found water and fine dirt particles in strainer and fuselage belly drain .,strainer,CONJUNCTION,fuselage belly drain
46,738,0,19840129002899A,CRASHED SHORTLY AFTER LIFTOFF. FOUND REAR CONTROL STICK SECURED IN FULL AFT POSITION BY THE SEAT BELT.             ,found rear control stick secured in full aft position by the seat belt .,seat belt,USED-FOR,rear control stick
47,747,0,19831231073579I,LOST ENGINE POWER AT CRUISE ALTITUDE. CARBURETOR HEAT APPLIED. WATER DRAINED FROM FUEL SYSTEM.                     ,lost engine power at cruise altitude .,cruise altitude,FEATURE-OF,lost engine power
48,768,0,19840530038939A,"UNUSUAL ATTITUDE, LOSS OF CONTROL AND AIRFRAME FAILURE. CREW UNABLE TO ANALYZE COMPONENT. FAILURE IN GYRO SYSTEM.  ","unusual attitude , loss of control and airframe failure .",loss of control,CONJUNCTION,airframe failure
49,768,0,19840530038939A,"UNUSUAL ATTITUDE, LOSS OF CONTROL AND AIRFRAME FAILURE. CREW UNABLE TO ANALYZE COMPONENT. FAILURE IN GYRO SYSTEM.  ","unusual attitude , loss of control and airframe failure .",unusual attitude,CONJUNCTION,loss of control
50,815,0,19841108073989I,RETURNED THINKING HYDRAULIC PUMP FOR NOSE GEAR FAILED. FOUND NOSE GEAR PIN HAD NOT BEEN REMOVED.                   ,returned thinking hydraulic pump for nose gear failed .,hydraulic pump,USED-FOR,nose gear
51,821,1,19841109067329A,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ","water found in fuel filter , fuel pump and refueling drum .",fuel pump,CONJUNCTION,refueling drum
52,821,1,19841109067329A,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ","water found in fuel filter , fuel pump and refueling drum .",fuel filter,CONJUNCTION,fuel pump
53,827,0,19841122063039A,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,wrinkles in fuel bladders .,wrinkles,PART-OF,fuel bladders
54,827,1,19841122063039A,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,milky substance in carb bowl and fuel screen .,milky substance,PART-OF,carb bowl
55,827,1,19841122063039A,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,milky substance in carb bowl and fuel screen .,milky substance,PART-OF,fuel screen
56,837,2,19850110015469I,"ENGINE QUIT, RESTART SEVERAL TIMES WITH PARTIAL POWER. SAFE LANDING. WATER IN TANKS. LOW FUEL. STC FOR AUTO GAS.   ",stc for auto gas .,stc,USED-FOR,auto gas
57,858,0,19850222009139I,LOUD NOISE WITH GEAR RETRACTION. UNABLE TO EXTEND. SHIMMY DAMPER ROD END BROKE. GROUND TUG EXCEEDED NOSE TURN LIMIT,loud noise with gear retraction .,gear retraction,USED-FOR,loud noise
58,861,0,19850309024109I,LOUD BANG WITH GEAR RETRACTION. NOSE PARTIALLY EXTENDED FOR LANDING. COMPRESSED NOSE STRUT JAMMED RETRACT SYSTEM.  ,loud bang with gear retraction .,gear retraction,USED-FOR,loud bang
59,863,0,19850227004599A,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ","damaged nosewheel , propeller , wingtip .",nosewheel,CONJUNCTION,propeller
60,863,0,19850227004599A,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ","damaged nosewheel , propeller , wingtip .",propeller,CONJUNCTION,wingtip
61,887,0,19850522037539I,"POWER LOSS ON ENGINES DUE TO WATER IN FUEL, GEAR PARTIALLY EXTENDED, LOW HYDRAULIC FLUID. AIRCRAFT SAT FOR 5 MONTHS","power loss on engines due to water in fuel , gear partially extended , low hydraulic fluid .",power loss,FEATURE-OF,engines
62,891,0,19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,engine power failure while doing aerobatics .,aerobatics,USED-FOR,engine power failure
63,899,1,19850714030989A,"BRAKE FAILED DURING ROLLOUT. AIRCRAFT STRUCK FENCE, RIGHT GEAR COLLAPSED. BRAKE LININGS WORN OUT, HYDRAULIC LEAK.  ","brake linings worn out , hydraulic leak .",brake linings,USED-FOR,hydraulic leak
64,949,0,19850611023949A,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY. LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES. OVERSHOT THE RUNWAY.","lost hydraulic pressure , low fluid quantity .",lost hydraulic pressure,CONJUNCTION,low fluid quantity
65,949,1,19850611023949A,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY. LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES. OVERSHOT THE RUNWAY.",lost brakes on no flap landing by pumping brakes .,pumping brakes,USED-FOR,lost brakes
66,950,0,19850808059739I,AIRCRAFT TOOK OFF WITH TIEDOWN CHAIN AND CEMENT BLOCK ATTACHED TO LEFT WING. TIE DOWN RING BROKE DROPPING BLOCK.   ,aircraft took off with tiedown chain and cement block attached to left wing .,tiedown chain,CONJUNCTION,cement block
67,960,0,19851019052799A,ENGINE QUIT AFTER TAKEOFF. LANDED ON GOLF COURSE WHERE AIRCRAFT FLIPPED OVER. WATER IN GASCOLATOR AND CARBURETOR.  ,water in gascolator and carburetor .,gascolator,CONJUNCTION,carburetor
68,978,0,19850924057669A,PROPELLER BLADE SHOWED FATIGUE CRACK THROUGH 2/3 OF WIDTH BEFORE FINAL FAILURE. EMERGENCY LANDING MADE IN PASTURE. ,propeller blade showed fatigue crack through 2/3 of width before final failure .,fatigue crack,FEATURE-OF,propeller blade
69,996,1,19851108057759A,PRECAUTIONARY LANDING WITH GEAR IN TRANSIT. HEADSET WIRING BECAME ENTANGLED IN ROTATING EMERGENCY GEAR HANDLE.     ,headset wiring became entangled in rotating emergency gear handle .,headset wiring,PART-OF,rotating emergency gear handle
70,1003,1,19860219003429A,STALLED DURING FLARE. AIRFRAME AND WINDSHIELD ICE COVERED. USED WINDSHIELD ALCOHOL AS A DEICER INSTEAD OF ANTIICER.,used windshield alcohol as a deicer instead of antiicer .,deicer,COMPARE,antiicer
71,1003,1,19860219003429A,STALLED DURING FLARE. AIRFRAME AND WINDSHIELD ICE COVERED. USED WINDSHIELD ALCOHOL AS A DEICER INSTEAD OF ANTIICER.,used windshield alcohol as a deicer instead of antiicer .,windshield alcohol,USED-FOR,deicer
72,1019,1,19860222005049A,ATTEMPTED TAKEOFF WITH SKID TIED TO TRAILER. DYNAMIC ROLLOVER AND RESULTANT ROTOR BLADE DAMAGE.                    ,dynamic rollover and resultant rotor blade damage .,dynamic rollover,CONJUNCTION,rotor blade damage
73,1049,0,19860725041779I,TAKEOFF GEAR RETRACTION AND LANDING MADE WITH TOW BAR ATTACHED. DAMAGE TO PROPELLER TIP.                           ,takeoff gear retraction and landing made with tow bar attached .,takeoff gear retraction,CONJUNCTION,landing
74,1060,1,19860809038399A,"FORCED LANDING FOLLOWING POWER LOSS ON TAKEOFF, IMPACTED A BLUFF. NO FUEL FOUND IN STRAINER OR FUEL PUMP.          ",no fuel found in strainer or fuel pump .,strainer,CONJUNCTION,fuel pump
75,1085,0,19860713032229A,STRUCK A TREE ON A FORCED LANDING AFTER FUEL EXHAUSTION. RELIED ON INACCURATE INDICATOR FOR FUEL QUANTITY.         ,relied on inaccurate indicator for fuel quantity .,indicator,USED-FOR,fuel quantity
76,1134,0,19870308018019I,POWER LOSS WITH OFF AIRPORT LANDING DUE TO FUEL CONTAMINATION. FUEL SAMPLES CONTAINED WATER AND RUST LIKE FLAKES.  ,power loss with off airport landing due to fuel contamination .,power loss,FEATURE-OF,off airport landing
77,1144,0,19870328007599A,LOST DIRECTIONAL CONTROL ON BALLOONED LANDING. RETRACTED FLAPS FOR 60 AROUND. STRUCK TREES BESIDE RUNWAY.          ,lost directional control on ballooned landing .,directional control,USED-FOR,ballooned landing
78,1145,0,19870112000369A,THE AIRCRAFT WAS DITCHED WHEN FUEL WAS EXHAUSTED. PILOT REPORTED A LOOSE FUEL CAP AND AN OVERHEATED ENGINE.        ,pilot reported a loose fuel cap and an overheated engine .,loose fuel cap,CONJUNCTION,overheated engine
79,1191,0,19870425011409A,ABORTED TAKEOFF AND DEPARTED RUNWAY END INTO A FENCE AND DITCH. IMPROPER USE OF FLAPS FOR SHORT FIELD TAKEOFF.     ,improper use of flaps for short field takeoff .,flaps,USED-FOR,short field takeoff
80,1199,1,19870623037749I,THE ENGINE COWLING CAME LOOSE INFLIGHT.  THE PILOT FAILED TO CHECK COWLING SECURITY ON PREFLIGHT INSPECTION.       ,the pilot failed to check cowling security on preflight inspection .,preflight inspection,USED-FOR,cowling security
81,1243,0,19871014062899I,"DURING MISSED APPROACH, CFI TURNED BOOST PUMP ON WHICH FLOODED THE SIMULATED FAILED ENGINE. AIRCRAFT FORCE LANDED. ","during missed approach , cfi turned boost pump on which flooded the simulated failed engine .",cfi,USED-FOR,missed approach
82,1263,0,19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","a copper tube , used to hold aerial banners , fell through the roof of a house .",copper tube,USED-FOR,aerial banners
83,1269,0,19871119073859I,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,lost directional control on rollout due to an inoperative left brake .,directional control,FEATURE-OF,rollout
84,1296,0,19880221003319A,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.                                           ,partial power loss on climbout .,partial power loss,FEATURE-OF,climbout
85,1329,0,19880812032459A,"PARTIAL POWER LOSS ON CLIMBOUT. RETURNING,HIT FENCE AND AUTO SHORT OF RUNWAY. FAILED TO REMOVE COWLING BIRD COVERS.",partial power loss on climbout .,partial power loss,FEATURE-OF,climbout
86,1341,0,19880730028329A,"HAD UNEVEN FUEL FLOW AND IMBALANCE. DIVERTED TO NEAREST AIRPORT, CRASHED AND BURNED. YAW DAMPER INOP.              ",had uneven fuel flow and imbalance .,uneven fuel flow,CONJUNCTION,imbalance
87,1346,0,19880630042289I,PIC REPORTED LOSING OIL PRESSURE AND ALTERNATOR. LANDED.FOUND ALTERNATOR CIRCUIT BREAKER OPEN AND BATTERY DEPLETED.,pic reported losing oil pressure and alternator .,losing oil pressure,CONJUNCTION,alternator
88,1383,0,19890215010129I,SHUT DOWN ENGINE BECAUSE OF OIL LEAK AND PRESSURE FLUCTUATION. LANDED SAFELY. FOUND LOOSE OIL DIPSTICK.            ,shut down engine because of oil leak and pressure fluctuation .,oil leak,CONJUNCTION,pressure fluctuation
89,1439,0,19891207063649I,OIL EXHAUSTION ON STUDENT CROSS-COUNTRY FLIGHT. FORCED LANDING. OIL FILLER CAP NOT SECURED. ENGINE OIL SIPHONED OUT,oil exhaustion on student cross-country flight .,oil exhaustion,FEATURE-OF,student cross-country flight
90,1443,1,19900130001369A,ENGINE COWLING CAME LOOSE ON TEST FLIGHT. EMERGENCY LANDING DUE TO DAMAGED ROTORS.                                 ,emergency landing due to damaged rotors .,damaged rotors,USED-FOR,emergency landing
91,1458,0,19900423014219A,TURNING BASE LOST POWER. LANDED IN GRAVEL PIT. NOSED OVER. HAD PULLED MIXTURE CONTROL INSTEAD OF CARB HEAT CONTROL.,had pulled mixture control instead of carb heat control .,mixture control,COMPARE,carb heat control
92,1460,0,19900511015629A,"TRIED TO GO AROUND WITH LEAN MIXTURE AND FULL FLAPS.  RIGHT ENGINE STALLED,LOST CONTROL BELOW VMC. CARTWHEELED.    ",tried to go around with lean mixture and full flaps .,lean mixture,CONJUNCTION,full flaps
93,1470,0,19900520016589A,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,departed into imc with inop generator and only battery power .,inop generator,CONJUNCTION,battery power
94,1470,0,19900520016589A,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,departed into imc with inop generator and only battery power .,inop generator,USED-FOR,imc
95,1594,0,19911124053449A,OVERFILLED LEFT WING TANK FROM FUSELAGE FERRY TANK CAUSING OVER PRESSURE AND EXPANSION OF TANK.BUCKLED WING SKIN.  ,overfilled left wing tank from fuselage ferry tank causing over pressure and expansion of tank .,over pressure,CONJUNCTION,expansion of tank
96,1669,0,19921202048709A,LOST TAIL ROTOR ASSEMBLY INFLIGHT. MADE HARD AUTO LANDING. FUEL FILLER CAP MISSING. STRUCK TAIL FIN AND TAIL ROTOR.,struck tail fin and tail rotor .,tail fin,CONJUNCTION,tail rotor
97,1682,2,19930527015439A,LOST POWER LEFT ENGINE. FEATHERED BUT UNABLE HOLD ALTITUDE DUE SAGGING LANDING GEAR. WATER DEBRIS IN FUEL SYSTEM.  ,water debris in fuel system .,water debris,PART-OF,fuel system
98,1713,0,19930920045369A,GEAR FAILED TO EXTEND. USED MANUAL BUT NO LOCKDOWN SHOWN. MAIN GEAR COLLAPSED USING BRAKES. SLIDE TUBES LACKED LUBE,main gear collapsed using brakes .,brakes,USED-FOR,main gear
99,1737,0,19940115000519A,INDICATES PILOT PULLED FUEL SHUTOFF VALVE IN PLACE OF CABIN HEAT CONTROL. LOW ROTOR RPM ON AUTOROTATION. VALVE OFF.,indicates pilot pulled fuel shutoff valve in place of cabin heat control .,pilot pulled fuel shutoff valve,USED-FOR,cabin heat control
100,1737,1,19940115000519A,INDICATES PILOT PULLED FUEL SHUTOFF VALVE IN PLACE OF CABIN HEAT CONTROL. LOW ROTOR RPM ON AUTOROTATION. VALVE OFF.,low rotor rpm on autorotation .,rotor rpm,USED-FOR,autorotation
101,1760,0,19940903036459I,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,mechanic failed to install cotter pin on retain nut .,mechanic,USED-FOR,cotter pin
102,1789,0,19940515048059I,REPORTED OIL PRESSURE PROBLEM TO SBN. LANDED SAFELY. WINTER BAFFLES NOT REMOVED CAUSING OIL OVERTEMP.              ,reported oil pressure problem to sbn .,oil pressure problem,USED-FOR,sbn
103,1803,1,19941107042069I,BURNING OIL FUMES ON CLIMBOUT. RETURNED TO AIRPORT. RESIDUAL OIL ON TURBO CHARGER. NEW AIRCRAFT.                   ,residual oil on turbo charger .,residual oil,PART-OF,turbo charger
104,1883,0,19950609018129A,"LOST POWER BOTH ENGINES. CLEARED FENCE, DITCH AND TREES. SETTLED OPEN FIELD. RAN INTO TREES. WATER, DIRT IN FUEL.  ","cleared fence , ditch and trees .",ditch,CONJUNCTION,trees
105,1883,0,19950609018129A,"LOST POWER BOTH ENGINES. CLEARED FENCE, DITCH AND TREES. SETTLED OPEN FIELD. RAN INTO TREES. WATER, DIRT IN FUEL.  ","cleared fence , ditch and trees .",cleared fence,CONJUNCTION,ditch
106,1896,0,19950910028399A,EN ROUTE TO SPRAY LOUD BANG AND TAIL ROTOR VIBRATION. LOST ANTI TORQUE CONTROL. SPUN IN. ENGINE MOUNTS BROKE.RUSTED,en route to spray loud bang and tail rotor vibration .,spray loud bang,CONJUNCTION,tail rotor vibration
107,1906,0,19950723039379I,FAILED TO CONNECT FUEL LINES TO WING TANKS. LOST POWER EN ROUTE. GEAR COLLAPSED LANDING.                           ,failed to connect fuel lines to wing tanks .,fuel lines,CONJUNCTION,wing tanks
108,1907,0,19950727025109I,LEFT HYDRAULICS LOST. SKYDROL FUMES IN CABIN. DISPATCHED GENERATOR INOP.APS WAS USED APU HYDRAULIC LINE BURST.     ,aps was used apu hydraulic line burst .,aps,USED-FOR,hydraulic line burst
109,1919,0,19950822025369A,TOO AIRCRAFT SANS PERMISSION WITH MASKING TAPES ON STATIC PORTS. OBSERVED LOW AND WOBBLY. ENGINES SPUTTERING.      ,too aircraft sans permission with masking tapes on static ports .,masking tapes,USED-FOR,static ports
