,doc_idx,sent_idx,original_sentence,input,head,relation,tail
89,1592,0,LEFT ENGINE SHUT DOWN FOR TRAINING. RESTART UNSUCCESSFUL. NO SAFE GEAR INDICATION. LANDED IN FIELD NEXT TO AIRPORT.,landed in field next to airport .,field,PHYS,airport
90,1651,0,FAILED TO UNTIE FRONT SKID. ROLLED OVER ON ATTEMPTED LIFTOFF. MAIN ROTORS STRUCK FISHING VESSELS DECK.             ,main rotors struck fishing vessels deck .,deck,PART-WHOLE,vessels
91,1693,0,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,pilot lost control of aircraft on takeoff roll .,pilot,ART,aircraft
92,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",nashville,PART-WHOLE,tn
93,1725,0,"NARRATIVE: ON 1/18/94, RYAN 205, A B-727-21, N356QS, DEPARTED NASHVILLE, TN (BNA), FOR DAYTON, OH. AFTER TAKEOFF, R","narrative: on 1/18/94 , ryan 205 , a b-727-21 , n356qs , departed nashville , tn ( bna ) , for dayton , oh .",dayton,PART-WHOLE,oh
94,1733,0,"NARRATIVE: AIRMAN/AIR AGENCY COMPETENCE: PRIOR TO DEPARTURE OF FLIGHT 381, FROM NEWARD, NEW JERSEY, THE AIRCRAFT WA","narrative: airman/air agency competence: prior to departure of flight 381 , from neward , new jersey , the aircraft wa",neward,PART-WHOLE,new jersey
95,1826,0,"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT (ISN), ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRI","narrative: during descent into williston airport ( isn ) , nd the flight crew experienced the loss of the elevator tri",crew,ART,elevator
96,1826,0,"NARRATIVE: DURING DESCENT INTO WILLISTON AIRPORT (ISN), ND THE FLIGHT CREW EXPERIENCED THE LOSS OF THE ELEVATOR TRI","narrative: during descent into williston airport ( isn ) , nd the flight crew experienced the loss of the elevator tri",crew,PHYS,williston airport
97,1830,0,"NARRATIVE: ON JANUARY 18, 1995, DELTA AIRLINES FLIGHT #1691, AFTER LANDING ON RUNWAY 20 AT IDAHO FALLS, ID (FANNING","narrative: on january 18 , 1995 , delta airlines flight #1691 , after landing on runway 20 at idaho falls , id ( fanning",idaho falls,PART-WHOLE,id
98,1852,0,"NARRATIVE: ON MARCH 20, 1995, A PITTS, PIS-1, OWNED AND OPERATED BY ROBERT HIGBEE WHILE ON A PLEASURE FLIGHT, LANDE","narrative: on march 20 , 1995 , a pitts , pis-1 , owned and operated by robert higbee while on a pleasure flight , lande",robert higbee,ART,pitts
99,1857,0,"NARRATIVE: COMA #4280, DEPARTED CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT, COVINGTON, KENTUCKY, 1000 LOCAL","narrative: coma #4280 , departed cincinnati/northern kentucky international airport , covington , kentucky , 1000 local",covington,PART-WHOLE,kentucky
100,1862,1,NARRATIVE: PILOT PERFORMED PREFLIGHT AND TAXIED TO RUN UP AREA. FLAPS WOULD NOT OPERATE. PILOT TAXIED BACK TO HANGA,pilot taxied back to hanga .,pilot,PHYS,hanga
101,1869,0,FAILED ACCELERATE ON TOW. PILOT RELEASED GLIDER. ABORTED TAKEOFF. GLIDER GROUND LOOPED. SPEED BRAKES WERE STILL ON.,pilot released glider .,pilot,ART,glider
102,1874,1,"GLIDER COLLIDED WITH GROUND AFTER TOW, LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTER HE COMPLETED H",4 ) the glider pilot stated that after he completed h .,pilot,ART,glider
103,1876,1,"TOWING GLIDER, COLLIDED WITH GROUND AFTER TOW AIRCRAFT LOST POWER ON TAKEOFF. (.4)THE GLIDER PILOT STATED THAT AFTE",4 ) the glider pilot stated that afte .,pilot,ART,glider
104,1887,0,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","narrative: the pilot of cessna 207 , n1549u stated that after takeoff from the bethel airport , the engine stopped ru",pilot,ART,cessna 207
105,1887,0,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","narrative: the pilot of cessna 207 , n1549u stated that after takeoff from the bethel airport , the engine stopped ru",pilot,PHYS,bethel airport
106,1922,0,"NARRATIVE: THE PILOT REPORTED HE PULLED ONTO THE RUNWAY, APPLIED POWER, WHEN ONE PROPELLER BLADE SEPARATED FROM THE","narrative: the pilot reported he pulled onto the runway , applied power , when one propeller blade separated from the",he,PHYS,runway
107,1933,0,NARRATIVE: TWO KC FSDO INSPECTORS WERE ON THE EXECUTIVE BEECH FBO RAMP INSPECTING AN AIRPLANE WHEN N4517T WAS OBSER,narrative: two kc fsdo inspectors were on the executive beech fbo ramp inspecting an airplane when n4517t was obser,inspectors,ORG-AFF,kc
108,1946,0,USDA AIRCRAFT. ABORTED TAKEOFF DUE LOUD NOISE. FLEW TIRES. LEFT RUNWAY. OVER DEFLICTED UNDER INFLATED TIRES. (-23) ,usda aircraft .,usda,ART,aircraft
109,1947,0,"NARRATIVE: ON 05-12-96, WHILE ENROUTE AT 33,000 FEET FROM CHICAGO, IL (MDW) TO ST. PETERSBURG, FL (PIE), AMERICAN T","narrative: on 05-12-96 , while enroute at 33 , 000 feet from chicago , il ( mdw ) to st .",chicago,PART-WHOLE,il
110,1953,0,"NARRATIVE: PILOT DEPARTED OLIVE BRANCH, MS AND DURING CLIMB OUT THE LEFT DOOR POPPED OPEN. A PRECAUTIONARY LANDING ","narrative: pilot departed olive branch , ms and during climb out the left door popped open .",pilot,PHYS,olive branch
111,1975,0,"NARRATIVE: MOONEY N253TM, A MOONEY 020M, DEPARTED BOZEMAN, MONTANA, GALLATIN FIELD, AND RETURNED FOR LANDING IMMEDI","narrative: mooney n253tm , a mooney 020m , departed bozeman , montana , gallatin field , and returned for landing immedi",bozeman,PART-WHOLE,montana
112,1985,1,NARRATIVE: AT APPROX. 1700 CST MR. FRYE TAXIED HIS CHALLENGER II FOR AN INTERSECTION TAKEOFF ON A PRIVATE GRASS STR,frye taxied his challenger ii for an intersection takeoff on a private grass str .,his,ART,challenger ii
113,1987,0,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED. (.4)THE NONI","vfr pilot flying into ifr conditions , unable to land due to weather , vectored to tea airport , crashed .",pilot,PHYS,tea airport
114,1987,0,"VFR PILOT FLYING INTO IFR CONDITIONS, UNABLE TO LAND DUE TO WEATHER, VECTORED TO TEA AIRPORT, CRASHED. (.4)THE NONI","vfr pilot flying into ifr conditions , unable to land due to weather , vectored to tea airport , crashed .",pilot,ORG-AFF,vfr
