,doc_idx,sent_idx,original_sentence,input,head,relation,tail
50,821,1,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ","water found in fuel filter , fuel pump and refueling drum .",fuel pump,CONJUNCTION,refueling drum
51,821,1,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ","water found in fuel filter , fuel pump and refueling drum .",fuel filter,CONJUNCTION,fuel pump
52,827,0,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,wrinkles in fuel bladders .,wrinkles,PART-OF,fuel bladders
53,827,1,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,milky substance in carb bowl and fuel screen .,milky substance,PART-OF,carb bowl
54,827,1,ENGINE QUIT ON TAKEOFF LANDED IN FIELD. WRINKLES IN FUEL BLADDERS. MILKY SUBSTANCE IN CARB BOWL AND FUEL SCREEN.   ,milky substance in carb bowl and fuel screen .,milky substance,PART-OF,fuel screen
55,837,2,"ENGINE QUIT, RESTART SEVERAL TIMES WITH PARTIAL POWER. SAFE LANDING. WATER IN TANKS. LOW FUEL. STC FOR AUTO GAS.   ",stc for auto gas .,stc,USED-FOR,auto gas
56,858,0,LOUD NOISE WITH GEAR RETRACTION. UNABLE TO EXTEND. SHIMMY DAMPER ROD END BROKE. GROUND TUG EXCEEDED NOSE TURN LIMIT,loud noise with gear retraction .,gear retraction,USED-FOR,loud noise
57,858,1,LOUD NOISE WITH GEAR RETRACTION. UNABLE TO EXTEND. SHIMMY DAMPER ROD END BROKE. GROUND TUG EXCEEDED NOSE TURN LIMIT,ground tug exceeded nose turn limit .,ground tug,COMPARE,nose turn limit
58,861,0,LOUD BANG WITH GEAR RETRACTION. NOSE PARTIALLY EXTENDED FOR LANDING. COMPRESSED NOSE STRUT JAMMED RETRACT SYSTEM.  ,loud bang with gear retraction .,gear retraction,USED-FOR,loud bang
59,863,0,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ","damaged nosewheel , propeller , wingtip .",nosewheel,CONJUNCTION,propeller
60,863,0,"TOOK OFF WITH SNOW AND ICE ON WINGS. LIFTED OFF AND SETTLED HARD TO RUNWAY. DAMAGED NOSEWHEEL, PROPELLER, WINGTIP. ","damaged nosewheel , propeller , wingtip .",propeller,CONJUNCTION,wingtip
61,887,0,"POWER LOSS ON ENGINES DUE TO WATER IN FUEL, GEAR PARTIALLY EXTENDED, LOW HYDRAULIC FLUID. AIRCRAFT SAT FOR 5 MONTHS","power loss on engines due to water in fuel , gear partially extended , low hydraulic fluid .",power loss,FEATURE-OF,engines
62,891,0,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,engine power failure while doing aerobatics .,aerobatics,USED-FOR,engine power failure
63,899,1,"BRAKE FAILED DURING ROLLOUT. AIRCRAFT STRUCK FENCE, RIGHT GEAR COLLAPSED. BRAKE LININGS WORN OUT, HYDRAULIC LEAK.  ","brake linings worn out , hydraulic leak .",brake linings,USED-FOR,hydraulic leak
64,949,0,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY. LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES. OVERSHOT THE RUNWAY.","lost hydraulic pressure , low fluid quantity .",lost hydraulic pressure,CONJUNCTION,low fluid quantity
65,949,1,"LOST HYDRAULIC PRESSURE, LOW FLUID QUANTITY. LOST BRAKES ON NO FLAP LANDING BY PUMPING BRAKES. OVERSHOT THE RUNWAY.",lost brakes on no flap landing by pumping brakes .,pumping brakes,USED-FOR,lost brakes
66,950,0,AIRCRAFT TOOK OFF WITH TIEDOWN CHAIN AND CEMENT BLOCK ATTACHED TO LEFT WING. TIE DOWN RING BROKE DROPPING BLOCK.   ,aircraft took off with tiedown chain and cement block attached to left wing .,tiedown chain,CONJUNCTION,cement block
67,960,0,ENGINE QUIT AFTER TAKEOFF. LANDED ON GOLF COURSE WHERE AIRCRAFT FLIPPED OVER. WATER IN GASCOLATOR AND CARBURETOR.  ,water in gascolator and carburetor .,gascolator,CONJUNCTION,carburetor
68,978,0,PROPELLER BLADE SHOWED FATIGUE CRACK THROUGH 2/3 OF WIDTH BEFORE FINAL FAILURE. EMERGENCY LANDING MADE IN PASTURE. ,propeller blade showed fatigue crack through 2/3 of width before final failure .,fatigue crack,FEATURE-OF,propeller blade
69,996,1,PRECAUTIONARY LANDING WITH GEAR IN TRANSIT. HEADSET WIRING BECAME ENTANGLED IN ROTATING EMERGENCY GEAR HANDLE.     ,headset wiring became entangled in rotating emergency gear handle .,headset wiring,PART-OF,rotating emergency gear handle
70,1003,1,STALLED DURING FLARE. AIRFRAME AND WINDSHIELD ICE COVERED. USED WINDSHIELD ALCOHOL AS A DEICER INSTEAD OF ANTIICER.,used windshield alcohol as a deicer instead of antiicer .,deicer,COMPARE,antiicer
71,1003,1,STALLED DURING FLARE. AIRFRAME AND WINDSHIELD ICE COVERED. USED WINDSHIELD ALCOHOL AS A DEICER INSTEAD OF ANTIICER.,used windshield alcohol as a deicer instead of antiicer .,windshield alcohol,USED-FOR,deicer
72,1019,1,ATTEMPTED TAKEOFF WITH SKID TIED TO TRAILER. DYNAMIC ROLLOVER AND RESULTANT ROTOR BLADE DAMAGE.                    ,dynamic rollover and resultant rotor blade damage .,dynamic rollover,CONJUNCTION,rotor blade damage
73,1049,0,TAKEOFF GEAR RETRACTION AND LANDING MADE WITH TOW BAR ATTACHED. DAMAGE TO PROPELLER TIP.                           ,takeoff gear retraction and landing made with tow bar attached .,takeoff gear retraction,CONJUNCTION,landing
74,1060,1,"FORCED LANDING FOLLOWING POWER LOSS ON TAKEOFF, IMPACTED A BLUFF. NO FUEL FOUND IN STRAINER OR FUEL PUMP.          ",no fuel found in strainer or fuel pump .,strainer,CONJUNCTION,fuel pump
75,1085,0,STRUCK A TREE ON A FORCED LANDING AFTER FUEL EXHAUSTION. RELIED ON INACCURATE INDICATOR FOR FUEL QUANTITY.         ,relied on inaccurate indicator for fuel quantity .,indicator,USED-FOR,fuel quantity
76,1134,0,POWER LOSS WITH OFF AIRPORT LANDING DUE TO FUEL CONTAMINATION. FUEL SAMPLES CONTAINED WATER AND RUST LIKE FLAKES.  ,power loss with off airport landing due to fuel contamination .,power loss,FEATURE-OF,off airport landing
77,1144,0,LOST DIRECTIONAL CONTROL ON BALLOONED LANDING. RETRACTED FLAPS FOR 60 AROUND. STRUCK TREES BESIDE RUNWAY.          ,lost directional control on ballooned landing .,directional control,USED-FOR,ballooned landing
78,1145,0,THE AIRCRAFT WAS DITCHED WHEN FUEL WAS EXHAUSTED. PILOT REPORTED A LOOSE FUEL CAP AND AN OVERHEATED ENGINE.        ,pilot reported a loose fuel cap and an overheated engine .,loose fuel cap,CONJUNCTION,overheated engine
79,1191,0,ABORTED TAKEOFF AND DEPARTED RUNWAY END INTO A FENCE AND DITCH. IMPROPER USE OF FLAPS FOR SHORT FIELD TAKEOFF.     ,improper use of flaps for short field takeoff .,flaps,USED-FOR,short field takeoff
80,1199,1,THE ENGINE COWLING CAME LOOSE INFLIGHT.  THE PILOT FAILED TO CHECK COWLING SECURITY ON PREFLIGHT INSPECTION.       ,the pilot failed to check cowling security on preflight inspection .,preflight inspection,USED-FOR,cowling security
81,1243,0,"DURING MISSED APPROACH, CFI TURNED BOOST PUMP ON WHICH FLOODED THE SIMULATED FAILED ENGINE. AIRCRAFT FORCE LANDED. ","during missed approach , cfi turned boost pump on which flooded the simulated failed engine .",cfi,USED-FOR,missed approach
82,1263,0,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","a copper tube , used to hold aerial banners , fell through the roof of a house .",copper tube,USED-FOR,aerial banners
83,1269,0,LOST DIRECTIONAL CONTROL ON ROLLOUT DUE TO AN INOPERATIVE LEFT BRAKE. FOUND HYDRAULIC FLUID ON LEFT MAIN GEAR.     ,lost directional control on rollout due to an inoperative left brake .,directional control,FEATURE-OF,rollout
84,1296,0,PARTIAL POWER LOSS ON CLIMBOUT. DITCHED IN A CREEK. FOUND WATER IN FUEL.                                           ,partial power loss on climbout .,partial power loss,FEATURE-OF,climbout
85,1329,0,"PARTIAL POWER LOSS ON CLIMBOUT. RETURNING,HIT FENCE AND AUTO SHORT OF RUNWAY. FAILED TO REMOVE COWLING BIRD COVERS.",partial power loss on climbout .,partial power loss,FEATURE-OF,climbout
86,1341,0,"HAD UNEVEN FUEL FLOW AND IMBALANCE. DIVERTED TO NEAREST AIRPORT, CRASHED AND BURNED. YAW DAMPER INOP.              ",had uneven fuel flow and imbalance .,uneven fuel flow,CONJUNCTION,imbalance
87,1346,0,PIC REPORTED LOSING OIL PRESSURE AND ALTERNATOR. LANDED.FOUND ALTERNATOR CIRCUIT BREAKER OPEN AND BATTERY DEPLETED.,pic reported losing oil pressure and alternator .,losing oil pressure,CONJUNCTION,alternator
88,1383,0,SHUT DOWN ENGINE BECAUSE OF OIL LEAK AND PRESSURE FLUCTUATION. LANDED SAFELY. FOUND LOOSE OIL DIPSTICK.            ,shut down engine because of oil leak and pressure fluctuation .,oil leak,CONJUNCTION,pressure fluctuation
89,1439,0,OIL EXHAUSTION ON STUDENT CROSS-COUNTRY FLIGHT. FORCED LANDING. OIL FILLER CAP NOT SECURED. ENGINE OIL SIPHONED OUT,oil exhaustion on student cross-country flight .,oil exhaustion,FEATURE-OF,student cross-country flight
90,1443,1,ENGINE COWLING CAME LOOSE ON TEST FLIGHT. EMERGENCY LANDING DUE TO DAMAGED ROTORS.                                 ,emergency landing due to damaged rotors .,damaged rotors,USED-FOR,emergency landing
91,1458,0,TURNING BASE LOST POWER. LANDED IN GRAVEL PIT. NOSED OVER. HAD PULLED MIXTURE CONTROL INSTEAD OF CARB HEAT CONTROL.,had pulled mixture control instead of carb heat control .,mixture control,COMPARE,carb heat control
92,1460,0,"TRIED TO GO AROUND WITH LEAN MIXTURE AND FULL FLAPS.  RIGHT ENGINE STALLED,LOST CONTROL BELOW VMC. CARTWHEELED.    ",tried to go around with lean mixture and full flaps .,lean mixture,CONJUNCTION,full flaps
93,1470,0,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,departed into imc with inop generator and only battery power .,inop generator,CONJUNCTION,battery power
94,1470,0,DEPARTED INTO IMC WITH INOP GENERATOR AND ONLY BATTERY POWER. BATTERY WENT DEAD.HIT TREES AND FENCE ON ASR APPROACH,departed into imc with inop generator and only battery power .,inop generator,USED-FOR,imc
95,1504,0,ROUGH ENGINE POWER LOSS AND BLACK SMOKE. HIT TREE IN YARD OF RESIDENCE. PRIMER UNLOCKED AND DEPARTED ON ONE MAGNETO,rough engine power loss and black smoke .,rough engine power loss,CONJUNCTION,black smoke
96,1594,0,OVERFILLED LEFT WING TANK FROM FUSELAGE FERRY TANK CAUSING OVER PRESSURE AND EXPANSION OF TANK.BUCKLED WING SKIN.  ,overfilled left wing tank from fuselage ferry tank causing over pressure and expansion of tank .,over pressure,CONJUNCTION,expansion of tank
97,1669,0,LOST TAIL ROTOR ASSEMBLY INFLIGHT. MADE HARD AUTO LANDING. FUEL FILLER CAP MISSING. STRUCK TAIL FIN AND TAIL ROTOR.,struck tail fin and tail rotor .,tail fin,CONJUNCTION,tail rotor
98,1682,2,LOST POWER LEFT ENGINE. FEATHERED BUT UNABLE HOLD ALTITUDE DUE SAGGING LANDING GEAR. WATER DEBRIS IN FUEL SYSTEM.  ,water debris in fuel system .,water debris,PART-OF,fuel system
99,1713,1,GEAR FAILED TO EXTEND. USED MANUAL BUT NO LOCKDOWN SHOWN. MAIN GEAR COLLAPSED USING BRAKES. SLIDE TUBES LACKED LUBE,main gear collapsed using brakes .,brakes,USED-FOR,main gear
100,1722,0,UNABLE EXTEND GEAR FOR LANDING. LANDED GEAR UP. GEAR AND FUSE GAGE DAMAGED BY OVERSTRESS SUCH AS EXTENDED OVERSPEED,gear and fuse gage damaged by overstress such as extended overspeed .,extended overspeed,HYPONYM-OF,overstress
101,1737,0,INDICATES PILOT PULLED FUEL SHUTOFF VALVE IN PLACE OF CABIN HEAT CONTROL. LOW ROTOR RPM ON AUTOROTATION. VALVE OFF.,indicates pilot pulled fuel shutoff valve in place of cabin heat control .,pilot pulled fuel shutoff valve,USED-FOR,cabin heat control
102,1737,1,INDICATES PILOT PULLED FUEL SHUTOFF VALVE IN PLACE OF CABIN HEAT CONTROL. LOW ROTOR RPM ON AUTOROTATION. VALVE OFF.,low rotor rpm on autorotation .,rotor rpm,USED-FOR,autorotation
103,1760,0,LOST LEFT WHEEL ASSEMBLY LANDING ON GRASS STRIP. NOSED OVER. MECHANIC FAILED TO INSTALL COTTER PIN ON RETAIN NUT.  ,mechanic failed to install cotter pin on retain nut .,mechanic,USED-FOR,cotter pin
104,1789,0,REPORTED OIL PRESSURE PROBLEM TO SBN. LANDED SAFELY. WINTER BAFFLES NOT REMOVED CAUSING OIL OVERTEMP.              ,reported oil pressure problem to sbn .,oil pressure problem,USED-FOR,sbn
105,1790,0,STRUCK TREES AND RESIDENCE ON MISSED APPROACH. WINDSHEAR AND FAILURE PROPER POWER.AWS NOT WORKING.NO WEATHER UPDATE,windshear and failure proper power .,windshear,CONJUNCTION,failure proper power
106,1803,1,BURNING OIL FUMES ON CLIMBOUT. RETURNED TO AIRPORT. RESIDUAL OIL ON TURBO CHARGER. NEW AIRCRAFT.                   ,residual oil on turbo charger .,residual oil,PART-OF,turbo charger
107,1883,0,"LOST POWER BOTH ENGINES. CLEARED FENCE, DITCH AND TREES. SETTLED OPEN FIELD. RAN INTO TREES. WATER, DIRT IN FUEL.  ","cleared fence , ditch and trees .",ditch,CONJUNCTION,trees
108,1883,0,"LOST POWER BOTH ENGINES. CLEARED FENCE, DITCH AND TREES. SETTLED OPEN FIELD. RAN INTO TREES. WATER, DIRT IN FUEL.  ","cleared fence , ditch and trees .",cleared fence,CONJUNCTION,ditch
109,1896,0,EN ROUTE TO SPRAY LOUD BANG AND TAIL ROTOR VIBRATION. LOST ANTI TORQUE CONTROL. SPUN IN. ENGINE MOUNTS BROKE.RUSTED,en route to spray loud bang and tail rotor vibration .,spray loud bang,CONJUNCTION,tail rotor vibration
110,1906,0,FAILED TO CONNECT FUEL LINES TO WING TANKS. LOST POWER EN ROUTE. GEAR COLLAPSED LANDING.                           ,failed to connect fuel lines to wing tanks .,fuel lines,CONJUNCTION,wing tanks
111,1907,0,LEFT HYDRAULICS LOST. SKYDROL FUMES IN CABIN. DISPATCHED GENERATOR INOP.APS WAS USED APU HYDRAULIC LINE BURST.     ,aps was used apu hydraulic line burst .,aps,USED-FOR,hydraulic line burst
112,1919,0,TOO AIRCRAFT SANS PERMISSION WITH MASKING TAPES ON STATIC PORTS. OBSERVED LOW AND WOBBLY. ENGINES SPUTTERING.      ,too aircraft sans permission with masking tapes on static ports .,masking tapes,USED-FOR,static ports
113,1920,1,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.",failed release logs and use se procedures .,se procedures,USED-FOR,failed release logs
114,1996,0,NARRATIVE: START VALVE STAYED OPEN AFTER #2 ENGINE WAS STARTED. MAINTENANCE CLOSED THE VALVE MANUALLY AS PER MEL 80,maintenance closed the valve manually as per mel 80 .,mel 80,USED-FOR,valve
115,2068,0,PILOT DID NOT PERFORM PREFLIGHT CHECK AND FAILED TO REMOVE GUST LOCK FROM FLIGHT CONTROLS. STURCK TREES END OF RUN ,pilot did not perform preflight check and failed to remove gust lock from flight controls .,gust lock,PART-OF,flight controls
116,2087,1,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,damage pitch links and gear box .,damage pitch links,CONJUNCTION,gear box
