,c5_id,doc_idx,sent_idx,c119_input,sentence,entities
33,19780219007659I,54,0,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,engine quit due to ice in the fuel system .,"[7, 8, 'Method']"
34,19780213006479I,56,0,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,engine shut down due to low oil pressure .,"[5, 7, 'OtherScientificTerm']"
35,19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .","[8, 8, 'OtherScientificTerm']"
36,19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .","[10, 10, 'OtherScientificTerm']"
37,19780225001789I,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","system , gascolator and carburetor contained water .","[12, 12, 'OtherScientificTerm']"
38,19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,"[2, 3, 'Task']"
39,19780221000179I,61,0,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot made emergency landing due to low oil pressure .,"[6, 8, 'OtherScientificTerm']"
40,19780303015509I,63,0,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,electrical emergency followed jump start and takeoff .,"[0, 1, 'OtherScientificTerm']"
41,19780303015509I,63,1,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,landing gear collapsed at touchdown .,"[8, 9, 'OtherScientificTerm']"
42,19780311016379I,64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown .,"[2, 3, 'OtherScientificTerm']"
43,19780311016379I,64,1,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","brakes were worn out , brake reservoir was empty .","[7, 7, 'OtherScientificTerm']"
44,19780319009079I,68,0,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,bolt in nose gear scissors came out during takeoff .,"[2, 4, 'OtherScientificTerm']"
45,19780319009079I,68,1,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,nose wheel dropped out after liftoff .,"[10, 11, 'OtherScientificTerm']"
46,19780325010349I,69,0,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,engine stopped on final approach due to water contamination in the fuel system .,"[11, 12, 'Method']"
47,19780328011399I,70,0,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,engine quit after lift off due to water in the fuel system .,"[10, 11, 'Method']"
48,19780330011569I,71,2,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",both generator armatures extremely galled .,"[13, 14, 'OtherScientificTerm']"
49,19780402009009I,72,2,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,failed to use emergency gear extension .,"[15, 17, 'Method']"
50,19780402008409I,74,0,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,taxiing aircraft struck parked aircraft .,"[0, 1, 'OtherScientificTerm']"
51,19780402008409I,74,1,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,found worn out & ineffective brakes as cause .,"[10, 11, 'OtherScientificTerm']"
52,19780409009699I,77,0,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","pilot extended gear manually due to electrical failure , gear collapsed after touchdown .","[6, 7, 'OtherScientificTerm']"
53,19780210005719I,78,2,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",control valve found stuck from ice at 1/2 open .,"[16, 17, 'OtherScientificTerm']"
54,19780309015599I,80,2,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,right tank was not fueled due to fuel leak .,"[22, 23, 'OtherScientificTerm']"
55,19780413019379A,81,3,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,45lbs force rqd for lvl flt .,"[21, 22, 'OtherScientificTerm']"
56,19780507032369I,82,0,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","forced landing due to oil leak , found loose oil cap .","[0, 1, 'Task']"
57,19780507032369I,82,0,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","forced landing due to oil leak , found loose oil cap .","[4, 5, 'OtherScientificTerm']"
58,19780525040389I,83,0,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,brakes were ineffective on landing .,"[0, 0, 'OtherScientificTerm']"
59,19780427013859I,85,0,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine cowling separated from engine in flight .,"[0, 1, 'OtherScientificTerm']"
60,19780427013859I,85,0,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine cowling separated from engine in flight .,"[4, 6, 'OtherScientificTerm']"
61,19780501031459I,89,0,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,unscheduled landing due to oil coming from engines .,"[0, 1, 'Task']"
62,19780501031459I,89,0,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,unscheduled landing due to oil coming from engines .,"[4, 4, 'OtherScientificTerm']"
63,19780503031639I,90,0,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,pilot unable to extend gear due to faulty gear actuator .,"[7, 9, 'OtherScientificTerm']"
64,19780519033989I,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area .,"[0, 0, 'OtherScientificTerm']"
65,19780603041629I,101,0,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,float strut collapsed during takeoff run .,"[0, 1, 'OtherScientificTerm']"
66,19780616046119I,105,0,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,precautionary landing due to low power .,"[0, 1, 'Task']"
67,19780616046119I,105,0,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,precautionary landing due to low power .,"[4, 5, 'OtherScientificTerm']"
68,19780616046119I,105,1,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,carburetor heat was partially open causing an over rich mixture .,"[7, 8, 'OtherScientificTerm']"
69,19780616046129I,106,0,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","nose gear could not be fully extended , collapsed on touchdown .","[0, 1, 'OtherScientificTerm']"
70,19780616046129I,106,1,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","nose gear doors had been left unhooked , jammed .","[12, 14, 'OtherScientificTerm']"
71,19780623018469A,110,0,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","loose battery post , loss of alternator exciting current .","[0, 2, 'OtherScientificTerm']"
72,19780623018469A,110,0,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","loose battery post , loss of alternator exciting current .","[4, 8, 'OtherScientificTerm']"
73,19780509032859I,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,"[0, 1, 'Task']"
74,19780509032859I,111,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,"[3, 4, 'OtherScientificTerm']"
75,19780625035919I,119,1,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,water and other foreign material found in the gascolator bowl .,"[16, 17, 'OtherScientificTerm']"
76,19780625035779I,120,0,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,engine stopped soon after takeoff due to fuel selector moved by a passenger during loading .,"[7, 8, 'OtherScientificTerm']"
77,19780810035619A,124,0,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,low oil state .,"[0, 2, 'OtherScientificTerm']"
78,19780810035619A,124,1,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,lndd in flooded alfalfa field .,"[4, 4, 'OtherScientificTerm']"
79,19780805024609A,126,0,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,plt inadvertently moved mixture control to cut off position whileempting to lean mixture .,"[0, 0, 'Method']"
80,19780805024609A,126,0,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,plt inadvertently moved mixture control to cut off position whileempting to lean mixture .,"[3, 4, 'Method']"
81,19780726036499I,129,1,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment .,"[9, 10, 'OtherScientificTerm']"
82,19780726036499I,129,1,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",nose gear did not center due to inflation and cam adjustment .,"[18, 19, 'Method']"
83,19780629034269I,130,1,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,was considered a radio failure by atc .,"[15, 15, 'Method']"
84,19780723038809I,133,1,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,it is likely that the fuel drain was running and not detected .,"[12, 13, 'OtherScientificTerm']"
85,19780809049919I,136,0,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","left gear collapsed on roll out , hydraulic system low on fluid .","[7, 8, 'Method']"
86,19780901016759I,141,0,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,unable to extend nose gear before landing .,"[3, 4, 'OtherScientificTerm']"
87,19780901016759I,141,1,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,gear was jammed due to deflated nose gear strut .,"[13, 16, 'OtherScientificTerm']"
88,19780904017739I,142,0,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,forced landing after power loss .,"[0, 1, 'Task']"
89,19780904017739I,142,0,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,forced landing after power loss .,"[3, 4, 'OtherScientificTerm']"
90,19780904017739I,142,1,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,helicopter had been serviced with jet fuel .,"[11, 12, 'OtherScientificTerm']"
91,19780907018599I,143,0,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,wing floats damaged on landing .,"[0, 1, 'OtherScientificTerm']"
92,19780907018599I,143,1,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,nose gar door linkage had broken causing sharp turn .,"[6, 9, 'OtherScientificTerm']"
93,19780907018599I,143,1,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,nose gar door linkage had broken causing sharp turn .,"[13, 14, 'OtherScientificTerm']"
94,19780920018899I,145,1,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",later found exhaust tunnels damaged .,"[16, 17, 'OtherScientificTerm']"
95,19781102023549I,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,"[0, 1, 'Task']"
96,19781102023549I,147,0,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,forced landing after power loss .,"[3, 4, 'OtherScientificTerm']"
97,19781102023729I,148,0,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,aircraft struck ditch while taxiing at night without taxi light .,"[8, 9, 'OtherScientificTerm']"
98,19781102023729I,148,1,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,battery was too weak due to generator failure .,"[11, 11, 'OtherScientificTerm']"
99,19780921019829I,149,0,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","while taxiing to maintenance hangar , pilot lost nose wheel steering .","[3, 4, 'OtherScientificTerm']"
100,19780925018069I,150,0,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,engine shutdown due to smoke from nacelle .,"[0, 1, 'Task']"
101,19780925018069I,150,1,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,gear retracted on landing rollout .,"[11, 12, 'OtherScientificTerm']"
102,19780908034669A,153,0,GENERATOR SHORTING.                                                                                                ,generator shorting .,"[0, 1, 'Task']"
103,19781020041019A,154,1,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,no 4 rod asy ( pn 41a2 ) failed for unkn rsn .,"[20, 21, 'Task']"
104,19781009029939I,157,1,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ",had been topped off with jet fuel .,"[19, 20, 'OtherScientificTerm']"
105,19790119001139A,159,0,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,aircraft failed to climb after liftoff due to airframe ice .,"[8, 9, 'OtherScientificTerm']"
106,19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,"[0, 1, 'OtherScientificTerm']"
107,19781108022239I,160,0,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,baggage cart was blown into parked aircraft by jet blast .,"[8, 9, 'Method']"
108,19781108022239I,160,1,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,brakes were inoperative on cart .,"[11, 11, 'OtherScientificTerm']"
109,19781120025989I,163,1,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,engine shut down due to oil loss .,"[11, 12, 'OtherScientificTerm']"
110,19781120025989I,163,2,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,single generator failed due to overload .,"[19, 19, 'OtherScientificTerm']"
111,19781128024449I,164,0,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ","landing in field due to power loss , water in fuel system .","[5, 6, 'OtherScientificTerm']"
112,19781128024449I,164,1,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ",water came from a fuel storage tank .,"[17, 19, 'OtherScientificTerm']"
113,19781210024199I,165,0,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,wheels locked up after several touch and go landings due to snow packed in the wheel pants .,"[0, 0, 'OtherScientificTerm']"
114,19781230020029I,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,"[0, 1, 'OtherScientificTerm']"
115,19781230020029I,167,0,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,engine falure followed by total electrical failure .,"[4, 6, 'OtherScientificTerm']"
116,19781230020029I,167,1,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,battery known to be bad .,"[8, 8, 'OtherScientificTerm']"
117,19781230020029I,167,2,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,fuel control unit poor condition .,"[14, 16, 'Method']"
118,19790107000829I,169,1,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ",of water drained from left nacelle and boost pump .,"[17, 18, 'Method']"
119,19781205041369A,177,1,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,elevator gust lock found in early part of crpath bfr break up .,"[4, 6, 'OtherScientificTerm']"
120,19781119026389I,179,1,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ",no brakes due to insufficient fluid .,"[16, 17, 'OtherScientificTerm']"
