IDENT,PROBLEM,ACTION
100034,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REPLACED BAFFLE ASSY.
100035,"RIGHT ENG, ALL VALVE COVERS ARE LEAKING.",REMOVED & REPLACED ALL ROCKER GASKETS.
100036,L/H ENGINE ALL 4 ROCKER COVER GASKETS LEAKING.,REPLACED ALL ROCKER COVER GASKETS.
100037,L/H ENG #2 INTAKE LEAKING.,"REMOVED TUBE, FOUND TO BE CRACKED. REMOVED TUBE FROM CO"
100038,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","RAN A/C, MAGS CHECK GOOD. POWER & LEAK CHECK GOOD."
100039,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REMOVED #3 CYL, DISCONNECTED FUEL DISTRIBUTOR LINE TO G"
100040,"IN FLIGHT, ENGINE BECAME ROUGH. DISCOVERED RIGHT MAG INOP. E","REASSEMBLED ENGINE, #3 CYL DRY TAPPET CLEARANCE CHECK G"
100041,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.
100042,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100043,TOP L/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.
100044,OIL DIPSTICK OIL STICK IS LOOSE.,REMOVED & REPLACED DIPSTICK.
100045,#3 BRAKE MISSING SCREW.,REPLACED SCREW.
100046,BAFFLE SEALS ON R/H SIDE ARE TORN.,APPLIED SILICONE TO TORN AREAS.
100047,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.
100048,#3 AFT BAFFLE BRACKET LOOSE.,REMOVED & REPLACED MISSING RIVETS W/ SCREWS & NUTS.
100049,#4 CYL ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
100050,"#1, 2, & 6 COWL MOUNTS ARE TORN.",REMOVED & REPLACED MOUNTS.
100051,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.
100052,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.
100053,#4 INTAKE IS LEAKING.,REPLACED GASKET & INSPECTED INTAKE TUBE.
100054,"DURING IDLE CHECK ON RUN UP, ENGINE QUIT. RESTART ENGINE","ADJUSTED IDLE SETTING, IDLE INDICATING 650 RPM DURING R"
100055,L/H BAFFLE PLUG WORN.,REMOVED & REPLACED PLUG.
100056,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.
100057,L/H ENGINE #2 & 4 SIDE BAFFLE SEALS LOOSE.,SECURED SEALS.
100058,R/H ENGINE #3 AFT BAFFLE SEAL IS LOOSE.,SECURED BAFFLE SEAL.
100059,#3 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100060,#4 ROCKER COVER GASKET TORN.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
100061,#1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.
100062,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,ADJUSTED ENGINE OIL PRESS RELIEF VALVE.
100063,DURING GROUND RUN PILOT NOTICED HIGH OIL PRESS (ENGINE).,"A/C WAS GROUND RAN TO FULL PWR, OIL PRESS CHECKED OK."
100064,STUDENT COULDN'T START A/C.,STARTED A/C FOR STUDENT.
100065,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,"MOVED ADEL CLAMP & APPLIED 2 ZIP TIES, NO DEFECTS NOTED"
100066,"AFTER LANDING, A/C IDLE @ 970 RPM.",ADJUSTED IDLE SETTING BY LOWERING. IDLE SETTING W/IN MA
100067,FUEL PRESS 32 - 33 W/ JUMPS INTO RED.,CLEANED TRANSDUCER GROUND PATH. FUEL PRESS CHECKED GOOD
100068,R/H ENG #2 INTAKE LEAKS.,REPLACED GASKET.
100069,L/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.
100070,R/H ENG #4 CYL BAFFLE CRACKED.,STOP DRILLED CRACK.
100071,LAST DAILY SHUT DOWN IDLE OVER RIDE SPEED CHECK - ENGINE RPM,"RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD."
100072,#2 & 4 SIDE BAFFLE BRACE BROKEN.,FABRICATED BRACE FROM LIKE MATERIAL & INSTALLED.
100073,#4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
100074,#4 ROCKER BOX COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100075,BAFFLE PLUG HOLE WORN.,INSTALLED PATCH & NEW PLUG.
100076,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"RAN A/C, OPS & LEAK CHECK GOOD."
100077,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,RAN A/C. CONFIRMED DISCREPANCY. FOUND #3 CYL HAD VERY L
100078,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,COMPLETED REASSEMBLY OF #3 CYL ASSY. INSTALLED NEW INTA
100079,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,REMOVED #3 CYL. INSTALLED SERVICEABLE CYL ASSY. TORQUED
100080,ENGINE STARTED RUNNING ROUGH & VIBRATING A LOT.,"DISASSEMBLED #1, 2, 4 EXHAUST VALVES, REAMED GUIDES IAW"
100081,#2 INTAKE LEAKS.,REPLACED GASKET.
100082,#4 INTAKE LEAKS.,REPLACED GASKET.
100083,#3 INTAKE TUBE GASKET IS LEAKING.,REPLACED GASKET.
100084,#3 & 4 ROCKER COVER GASKETS ARE LEAKING.,REPLACED GASKETS.
100085,ENGINE WOULD NOT START.,"STARTED ENGINE, LEANED MIXTURE TO CLEAN SPARK PLUGS. MA"
100086,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100087,"TOP FRONT R/H BAFFLE, BAFFLE SEAL RIVET PULLED THROUGH.",DRILLED OUT RIVET & INSTALLED SCREW & NUT TO ATTACH R/H
100088,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.
100089,#2 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED #2 INDUCTION TUBE GASKET.
100090,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100091,#1 INTAKE LEAKING.,REMOVED & REPLACED #1 INTAKE GASKET W/ NEW.
100092,#3 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED #3 & 4 ROCKER COVER GASKETS W/ NEW.
100093,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100094,L/H ENG #4 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET W/ NEW.
100095,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.
100096,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.
100097,#2 OIL RETURN LINE HOSE CLAMP IS LOOSE.,TIGHTENED HOSE CLAMP.
100098,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. INSTALLED
100099,ROUGH RUNNING ENGINE ON START. ENGINE RAN SMOOTHER AS IT WAR,"REMOVED COWLING, REMOVED ALL SPARK PLUGS. REAMED #3 EXH"
100100,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
100101,OIL FOUND ON ENTIRE RIGHT SIDE OF FUSELAGE.,"REMOVED COWLING, CLEANED ENGINE, PERFORMED ENGINE RUN U"
100102,R/H ENGINE #4 CYL BAFFLE BOLT MISSING.,INSTALLED NEW BOLT.
100103,R/H ENGINE #1 & 4 ROCKER COVERS LEAKING.,"REMOVED & REPLACED R/H ROCKER COVER GASKETS, 1 & 4."
100104,L/H ENGINE #1 & 3 ROCKER COVERS LEAKING.,"REMOVED & REPLACED L/H ENGINE ROCKER COVER GASKETS, 1 &"
100105,ENGINE DIED DURING MAG CK.,STARTED A/C USING FLOODED START PROCEDURE & RAN A/C TO
100106,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100107,"#2, 4 ROCKER COVER GASKET LEAKING.",REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS.
100108,#2 & 4 CYL OIL RETURN LINE CLAMPS LOOSE.,TIGHTENED CLAMPS.
100109,R/H ENGINE #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.
100110,BAFFLE SEALS UNDER BOTH PROP GOVERNORS ARE LOOSE.,RESECURED BAFFLE SEALS.
100111,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,INSTALLED REPAIRED BAFFLING.
100112,L/H ENGINE #4 AFT BAFFLE CRACKED IN MULTIPLE PLACES.,REMOVED BAFFLE & SWAPPED ACCESSORIES.
100113,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100114,#1 L/H INTAKE HAS LARGE GOUGE.,REMOVED & REPLACED #1 L/H INTAKE PIPE W/ SERVICEABLE PI
100115,L/H ENGINE #3 ROCKER COVER LEAKING.,REMOVED & REPLACED L/H ENGINE #3 ROCKER COVER GASKET.
100116,#2 CYLINDER HAS LOW COMPRESSION.,REMOVED ROCKER COVER & STAKED INTAKE VALVE. PASSED COMP
100117,#4 ROCKER COVER IS LEAKING.,REPLACED GASKET.
100118,L/H SIDE OF ENG FWD RUBBER SEAL LOOSE.,SECURED BAFFLE SEAL.
100119,#1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100120,R/H BAFFLE FRONT SIDE HAS A CRACK.,STOP DRILLED CRACK & FABRICATED PATCH W/ LIKE MATERIAL.
100121,CYL #4 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.
100122,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100123,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #4 ROCKER GASKET.
100124,R/H ENG #4 CYL INTAKE GASKET IS LEAKING.,INSTALLED NEW #4 INTAKE GASKET.
100125,SCREW IS MISSING ON #3 CYL BAFFLE.,INSTALLED NEW SCREW.
100126,R/H FRONT BAFFLE SEAL LOOSE.,RESECURED R/H FRONT BAFFLE SEAL.
100127,TOP BACK L/H CORNER BAFFLE IS CRACKED.,"STOP DRILLED CRACK, FABRICATED PATCH W/ LIKE MATERIAL."
100128,#2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.
100129,#2 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED GASKETS.
100130,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,RAN ENGINE BRIEFLY & NOTED THAT ENGINE WAS NOT RUNNING
100131,ENGINE STARTED RUNNING ROUGH SHORTLY AFTER TAKEOFF & LANDED,"FREED EXHAUST VALVE, INSPECTED & FOUND TO BE SERVICEABL"
100132,#1 & 3 INTAKES LEAKING.,REMOVED & REPLACED #1 & 3 ROCKER COVER GASKETS.
100133,#2 & 4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.
100134,R/H AFT BAFFLE MOUNT RIVETS ARE SHEARED.,DISCONNECTED LINES & WIRES TO REMOVE BAFFLE. REMOVED BA
100135,CHT NEEDLE BOUNCES & HAD ENGINE RUN ROUGH MOMENTARILY.,"REMOVED & REPLACED CHT PROBE. INSP ENGINE, NO DEFECTS N"
100136,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,OPS & LEAK CHECK GOOD.
100137,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,FINISHED INSTALLATION OF ENGINE.
100138,NOTED WEAR ON ENGINE MOUNT CAUSED BY ENGINE BREATHER SUPPORT,"REMOVED ENGINE. REPLACED ENGINE MOUNT, TORQUED ENGINE M"
100139,"L/H ENGINE #2, 3 & 4 INTAKES ARE LEAKING.",REPLACED ALL 3 GASKETS.
100140,L/H ENGINE #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
100141,R/H ENGINE #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED #2 & 4 ROCKER COVERS.
100142,R/H ENGINE #3 & 4 INTAKE TUBES ARE LEAKING.,REPLACED #3 & 4 INTAKE GASKETS.
100143,"L/H ENGINE, LEFT AFT BAFFLE ANGLE BRACKET IS CRACKED.","REMOVED BRACE, STOP DRILLED CRACK. INSTALLED W/ LARGE A"
100144,ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.
100145,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.
100146,#4 ROCKER COVER GASKET LEAKING.,INSTALLED NEW #4 ROCKER BOX COVER GASKET.
100147,LEFT BRAKE LININGS ARE WORN OUT.,REPLACED BRAKE LININGS.
100148,RIGHT ENG #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER.
100149,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,LEAK CHECK GOOD.
100150,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN VALVE TRAIN OVERSPEED INSP.
100151,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,BEGAN ENG OVERSPEED INSP IAW . IDENTIFIED & CORR
100152,ENGINE OVERSPEED UP TO 3400 RPM @ TERMINATION OF AN AUTO.,FINISHED VALVE TRAIN OVERSPEED INSP.  WAS COMPLET
100153,#2 ROCKER COVER GASKET LEAKING.,REPLACED GASKET.
100154,#2 CYLINDER HAS LOW COMPRESSION.,"PERFORMED ENGINE RUN UP TO OPERATING TEMPERATURES, PERF"
100155,#2 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED SCREWS.
100156,#3 BAFFLE BUTTON PLUG BAD.,INSTALLED NEW BUTTON PLUG.
100157,R/H ENG ROUGH IN FLIGHT.,"RAN A/C, COULDN'T DUPLICATE DISCREP. NO DEFECTS NOTED D"
100158,#1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED 1 & 3 ROCKER COVERS.
100159,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.
100160,"WHILE TAXIING, ENGINE QUIT.",FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE
100161,"R/H ENG, FWD I/B BAFFLE HAS SMALL CRACK.",STOP DRILLED CRACK.
100162,"BOTH ENGS, ALL ROCKER COVERS LOOSE.",TIGHTENED ALL SCREWS FOR ROCKER COVERS.
100163,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.
100164,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,OPS & LEAK CHECKED GOOD.
100165,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,INSTALLED R/H ENGINE TO AIRFRAME.
100166,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED INSTALLING NACELLE WIRING.
100167,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,FINISHED REINSTALL OF NACELLE WIRING.
100168,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & ENGINE CONTROL INSTALLATION.
100169,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,PRESERVED CYLINDERS. PREPARED ENGINE FOR STORAGE.
100170,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL.
100171,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"INSTALLED & TIMED MAGNETOS. ROUTED, CONNECTED WIRING &"
100172,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,UNPACKED ENGINE FROM PALLET. INSTALLED ENGINE ASSY TO A
100173,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"RAN WIRING THROUGH FIREWALL, RAN CABLES THROUGH FIREWAL"
100174,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"ROUTED & SECURED WIRING, FUEL & OIL LINES, CONTROL CABL"
100175,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,SEALED CONTROL CABLE & ELECTRICAL HARNESS @ FIREWALL. R
100176,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN L/H ENGINE, ALL INDICA"
100177,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"REMOVED LEFT ENGINE, PROP/MOUNT ASSY."
100178,L/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED OIL SUMP & ACCESSORY CASE. INSPECTED IAW
100179,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,STARTED WIRING INSTALLATION & CONTROL CABLE INSTALLATIO
100180,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONTINUED WIRING & CONTROL CABLE ROUTING. CONNECTED COW
100181,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,CONNECTED WIRING & SECURED. ATTACHED & RIGGED ENGINE CO
100182,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,"CLEANED PLUGS, SERVICED OIL. RAN ENGINE, ALL INDICATION"
100183,R/H ENGINE NEEDS TO BE REMOVED TO FACILITATE REPAIR.,REMOVED R/H ENGINE/PROP/MOUNT ASSY. PRESERVED CYLS. PAL
100184,REMOVE ENGINE TO FACILITATE FIREWALL REPAIR.,REMOVED ENGINE.
100185,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,INSTALLED ENGINE AFTER REPAIR TO FIREWALL WAS COMPLETED
100186,REINSTALL ENGINE AFTER REPAIR TO FIREWALL.,FIREWALL REPAIRED BY ODEGAARD WINGS. 
100187,#2 & 4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 & 4 INTAKE GASKETS.
100188,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.
100189,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.
100190,AFT BAFFLE SCREW LOOSE.,TIGHTENED BAFFLE SCREW.
100191,#4 REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.
100192,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.
100193,#3 CYL EXHAUST SEAL LEAKING.,REMOVED & REPLACED SEAL.
100194,FELT ON #1 & 3 BAFFLE COMING LOOSE.,PREPPED AREA & APPLIED SEALANT.
100195,ENGINE BAFFLE BUTTONS WORN.,REMOVED & REPLACED ENGINE BAFFLE BUTTONS ON L/H & R/H.
100196,MISSING SCREW ON #3 ROCKER COVER.,INSTALLED NEW SCREW.
100197,#2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
100198,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100199,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,"STARTED A/C, VERIFIED ENGINE RUNS VERY ROUGH. #3 EGT WA"
100200,ENGINE RUNS ROUGH AFTER START. ENGINE SHUT DOWN WHEN POWER T,PERFORMED SI 388C ON ALL 4 CYLINDERS. REAMED EXHAUST VA
100201,"LACING CORD LOOSE ON SCAT TUBING + IGN LEAD TO FRAME, R/H SI",REPLACED BOTH LACINGS.
100202,ALL ROCKER COVER SCREWS ARE LOOSE ON L/H ENGINE.,TIGHTENED ALL SCREWS.
100203,#2 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 INTAKE GASKET ON R/H ENGINE.
100204,"INTAKES 2, # & 4 LEAKING ON L/H ENGINE.","REMOVED & REPLACED INTAKE GASKET 2, 3 & 4 ON L/H ENGINE"
100205,ROCKER COVERS 2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS ON R/H E
100206,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.","REMOVED & REPLACED #3 CYL ASSY. REEMED 1, 2, 4 EXHAUST"
100207,"ON RIGHT ENG START, ENGINE RAN VERY ROUGH.","RAN ENGINE, #3 CYL NO EGT. PULLED PROP THROUGH 4 COMPRE"
100208,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKETS.
100209,CYL #2 INTAKE GASKET IS LEAKING.,REMOVED & REPLACED CYL #2 INTAKE GASKET.
100210,CYL #2 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED CYL #2 & 3 ROCKER COVER GASKETS.
100211,CYL #3 AFT BAFFLE I/B SCREW BRACKET RIVETS ARE SHEARED OFF.,"REMOVED CYL #3 AFT BAFFLE, REPLACED BROKEN FASTENERS &"
100212,#3 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.
100213,#2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED GASKETS.
100214,R/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.
100215,L/H ENGINE #4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.
100216,"R/H ENGINE, ALL 4 ROCKER COVER GASKETS SEEPING.",REMOVED & REPLACED ALL GASKETS.
100217,R/H REAR ENGINE BAFFLE SCREW MISSING.,INSTALLED NEW SCREW.
100218,ROCKER BOX COVER SCREWS LOOSE (ALL CYLS).,RETORQUED SCREWS.
100219,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYLS).,TIGHTENED HOSE CLAMPS.
100220,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.
100221,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100222,INDUCTION TUBE HOSE CLAMPS LOOSE (ALL CYL).,TIGHTENED HOSE CLAMPS.
100223,#2 & 4 ROCKER BOX COVER SCREWS LOOSE.,RETORQUED #2 & 4 ROCKER BOX COVER SCREWS.
100224,L/H ENGINE #1 INTAKE LEAKING.,REMOVED & REPLACED L/H #1 INTAKE GASKET.
100225,R/H ENGINE #2 & 1 INTAKE LEAKING.,REMOVED & REPLACED R/H ENGINE INTAKE GASKETS 1 & 2.
100226,R/H FWD UPPER BAFFLE SEAL IS LOOSE.,REPLACED BAFFLE SEAL.
100227,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.
100228,ROCKER BOX COVER SCREWS LOOSE.,RETORQUE ROCKER BOX COVER SCREWS.
100229,#4 ROCKER GASKET LEAKING.,REPLACED ROCKER GASKET.
100230,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.
100231,#4 CYL HAS NO COMPRESSION.,"INSTALLED NEW GASKET, LEAK CK GOOD."
100232,#4 CYL HAS NO COMPRESSION.,"INSPECTED VALVES, FOUND NO DEFECTS. RAN A/C & RECHECKED"
100233,SCREW MISSING ON #3 BAFFLE.,REPLACED SCREW.
100234,#2 ROCKER COVER IS LEAKING.,REPLACED GASKET.
100235,INDUCTION TUBE HOSE CLAMPS LOOSE.,TIGHTENED HOSE CLAMPS.
100236,R/H ENG CYL #3 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.
100237,L/H ENG #4 INDUCTION TUBE GASKET LEAKING.,REPLACED INTAKE GASKET.
100238,L/H ENG CYL #1 FWD BAFFLE SEAL IS LOOSE.,RESECURED #1 FWD BAFFLE SEAL.
100239,"L/H ENG #1, 2 & 3 ROCKER BOX COVERS LEAKING.",REPLACED ROCKER COVER GASKETS.
