,index,input,head,relation,tail
40,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,ACFT,replaced by,DMGD
41,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,DMGD,replaces,ACFT
42,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,LNDNG,parent organization,PWR
43,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,PWR,subsidiary,LNDNG
44,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,SUCCESSFUL AUTOROTATION,facet of,INSUFFICIENT
45,28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",CHOKER,owned by,FLT
46,28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",FLT,owner of,CHOKER
47,29,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,FINGER TIGHT,instance of,FLT
48,30,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,WASHER CRACKED & SEPARATED FRM BOLT,part of,TORQUE LINK CENTER SCISSORS
49,30,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,TORQUE LINK CENTER SCISSORS,has part,WASHER CRACKED & SEPARATED FRM BOLT
50,31,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,1745,point in time,1745
51,32,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",EMERGENCY LANDING AFTER ENGINE QUIT,main subject,FUEL
52,33,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,FORCED LANDING AFTER ENGINE QUIT,facet of,SUSPECT WATER IN FUEL
53,34,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,FORCED LANDING AFTER POWER LOSS,facet of,FUEL
54,35,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,FUEL SYSTEM,instance of,ENGINE
55,36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",STRIKING SNOW BANK,located in the administrative territorial entity,TAKEOFF
56,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",MAIN FUEL STRAINER,mouth of the watercourse,FROZEN LAKE
57,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",FROZEN LAKE,tributary,MAIN FUEL STRAINER
58,38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,FUEL TANKS,has part,JET FUEL
59,38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,JET FUEL,part of,FUEL TANKs
60,39,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",FLOAT BOWL,subclass of,ENGINE
61,40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,GEAR SWITCH,facet of,GEAR
62,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,PILOT,has part,GEAR HANDLE
63,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,GEAR HANDLE,part of,PILOT
64,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,GEAR HANDLE,part of,TAKEOFF
65,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,GEAR HANDLE
66,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,TAKEOFF
67,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,GEAR HANDLE
68,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,part of,TAKEOFF
69,42,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",LANDING LIGHT,has part,STRUCK DITCH
70,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",RUDDER,has part,CTL
71,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",CTL,part of,RUDDER
72,44,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",BROADING,different from,WORN
73,44,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",WORN,different from,BROADING
74,45,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,WATER IN REAR COMPTMT FLOATS,instance of,FLOATS
75,46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,AIRCRAFT OWNER,field of this occupation,PREFLIGHT
76,46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,PREFLIGHT,practiced by,AIRCRAFT OWNER
77,47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",PILOT,has part,RETRACTION
78,47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",RETRACTION,part of,PILOT
79,48,WIND GUSTING TO 25.                                                                                                ,Windy City,located in the administrative territorial entity,New York
80,48,WIND GUSTING TO 25.                                                                                                ,New York,contains administrative territorial entity,Windy City
81,49,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,ENGINE COWLING,instance of,FLIGHT
82,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL
83,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT
84,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT
85,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL
86,51,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,SAFE LIGHTS,subclass of,PilOT
87,52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",TAKEOFF,subclass of,ENGINE
88,53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",TAKEOFF,manufacturer,NOSE GEAR
89,53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",TAKEOFF,manufacturer,NOSE GEAR
90,54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,ENGINE QUIT,part of,FUEL SYSTEM
91,54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,FUEL SYSTEM,has part,ENGINE QUIT
92,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,FALURE,subclass of,AIRBORNE
93,56,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,DIP STICK FOUND TO BE MISSING,has effect,ENGINE SHUT DOWN
94,57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,TAKEOFF,has part,ENGINE COWL
95,57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,ENGINE COWL,part of,TAKEOFF
96,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",GASCOLATOR,has part,CARBURETOR
97,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",CARBURETOR,part of,GASCOLATOR
98,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,FUEL EXHAUSTION,has cause,GAUGE
99,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,GAUGE,has effect,FUEL EXHAUSTION
100,60,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,PILOT STRUCK AN UNLIGHTED BARRICADE,located in the administrative territorial entity,LANDING
101,61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",TAKEOFF,instance of,EMERGENCY LANDing
102,62,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,FUEL CONTAMINATION,facet of,ENGINE
103,63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,JUMP START,followed by,TAKEOFF
104,63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,TAKEOFF,follows,JUMP START
105,64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",LOST DIRECTIONAL CONTROL,has cause,TOUCHDOWN
106,64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",TOUCHDOWN,has effect,LOST DIRECTIONAL CONTROL
107,65,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",FUEL CAPS,facet of,FLIGHT
108,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",PILOT,part of,AIRCRAFT
109,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",AIRCRAFT,has part,PILOT
110,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,RAN,part of,AIR
111,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,AIR,has part,RAN
112,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,BOLT,has part,SCISSOR
113,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,SCISSOR,part of,BOLT
114,69,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,WATER CONTAMINATION,facet of,ENGINE
115,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,LIFT OFF,uses,FUEL
116,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,FUEL,used by,LIFT OFF
117,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",PILOT,has part,GENERATOR
118,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",GENERATOR,part of,PILOT
119,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,GEAR COLLAPSED ON ROLLOUT,has cause,ELECTRICAL FAILURE ON FINAL
120,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,ELECTRICAL FAILURE ON FINAL,has effect,GEAR COLLAPSED ON ROLLOUT
121,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,TAXIING,has effect,MUD
122,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,MUD,has cause,TAXIING
123,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,INEFFECTIVE,subclass of,AIRCRAFT
124,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,LANDED SHORT OF RUNWAY,named after,FUEL
125,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,FUEL,named after,LANDED SHORT OF RUNWAY
126,76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,FOUND FUEL GASOLATOR,manufacturer,ENGINE
127,77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",GEAR COLLAPSED,has cause,TOUCHDOWN
128,77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",TOUCHDOWN,has effect,GEAR COLLAPSED
129,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",PILOT,has part,ENGINE
130,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",ENGINE,part of,PILOT
131,79,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAKEOFF,different from,TAXIWAY
132,79,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAXIWAY,different from,TAKEOFF
133,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,VACUUM,has part,CAP
134,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,CAP,part of,VACUUM
135,81,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,ALCOHOL,instance of,FLT
136,82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",FORCED LANDING,product or material produced,OIL
137,82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",OIL,manufacturer,FORCED LANDING
138,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,RAN THROUGH FENCE,instance of,INEFFECTIVE
139,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,PILOTS TOOK OFF,item operated,MAG
140,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,MAG,item operated,PILOTS TOOK OFF
141,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE COWLING,has part,ENGINE IN FLIGHT
142,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE IN FLIGHT,part of,ENGINE COWLING
143,86,GUSTING TO 30K.                                                                                                    ,St. Louis,located in the administrative territorial entity,Missouri
144,86,GUSTING TO 30K.                                                                                                    ,St. Louis,located in the administrative territorial entity,Missouri
145,86,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
146,86,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,Missouri
147,86,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
148,86,GUSTING TO 30K.                                                                                                    ,Missouri,located in the administrative territorial entity,Missouri
149,86,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
150,86,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,Missouri
151,87,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,TAKEOFF,number of episodes,2
152,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,AIRCRAFT,has part,ENGINE
153,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,ENGINE,part of,AIRCRAFT
154,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,LANDING,has part,ENGINES
155,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,ENGINES,part of,LANDING
156,90,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,PILOT UNABLE TO EXTEND GEAR,instance of,ACTUATOR
157,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",TAKEOFF,has part,LATCH DOOR
158,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",LATCH DOOR,part of,TAKEOFF
159,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,ENGINEER,part of,NEST
160,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,NEST,has part,ENGINEER
161,93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,LANDED STRAIGHT AHEAD,facet of,ENGINE
162,94,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,JETWAY,connects with,AIRCRAFT
163,94,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,AIRCRAFT,connects with,JETWAY
164,95,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,WATER IN FUEL,located in the administrative territorial entity,TAKEOFF
