c5_id,c119_input,entities,labels_raw,labels,confidence
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,25/80,"[{'value': 'QUANTITY', 'confidence': 0.9995434284210205}]",QUANTITY,0.9995434284210205
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1/2 CUPFULL,"[{'value': 'QUANTITY', 'confidence': 0.9947597086429596}]",QUANTITY,0.9947597086429596
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,N42807,"[{'value': 'CARDINAL', 'confidence': 0.468218058347702}]",CARDINAL,0.468218058347702
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,N7930C,"[{'value': 'LAW', 'confidence': 0.5120282173156738}]",LAW,0.5120282173156738
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,PLT,"[{'value': 'ORG', 'confidence': 0.999950647354126}]",ORG,0.999950647354126
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,PLT,"[{'value': 'ORG', 'confidence': 0.9999904632568359}]",ORG,0.9999904632568359
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,AN175-16,"[{'value': 'PRODUCT', 'confidence': 0.997994065284729}]",PRODUCT,0.997994065284729
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,1745LBS,"[{'value': 'CARDINAL', 'confidence': 0.9991016387939453}]",CARDINAL,0.9991016387939453
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",FROZEN LAKE,"[{'value': 'LOC', 'confidence': 0.9999880194664001}]",LOC,0.9999880194664001
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",RUNWAY,"[{'value': 'FAC', 'confidence': 0.999168872833252}]",FAC,0.999168872833252
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","70 WORN,FADING","[{'value': 'MONEY', 'confidence': 0.8975585997104645}]",MONEY,0.8975585997104645
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",LAST WK,"[{'value': 'DATE', 'confidence': 0.9999434351921082}]",DATE,0.9999434351921082
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9776161909103394}]",ORG,0.9776161909103394
19771016042599A,WIND GUSTING TO 25.                                                                                                ,25,"[{'value': 'CARDINAL', 'confidence': 0.9999926090240479}]",CARDINAL,0.9999926090240479
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,ACFT,"[{'value': 'ORG', 'confidence': 0.9997850060462952}]",ORG,0.9997850060462952
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",200 FEET,"[{'value': 'QUANTITY', 'confidence': 0.9999922513961792}]",QUANTITY,0.9999922513961792
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9956868290901184}]",PRODUCT,0.9956868290901184
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,HOLE,"[{'value': 'LOC', 'confidence': 0.9902925491333008}]",LOC,0.9902925491333008
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,TAXIWAY,"[{'value': 'GPE', 'confidence': 0.9999955892562866}]",GPE,0.9999955892562866
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,TAXIING,"[{'value': 'WORK_OF_ART', 'confidence': 0.43098923563957214}]",WORK_OF_ART,0.43098923563957214
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,TAXIING AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9990184605121613}]",ORG,0.9990184605121613
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",1/2,"[{'value': 'CARDINAL', 'confidence': 0.99972931543986}]",CARDINAL,0.99972931543986
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAXIWAY,"[{'value': 'FAC', 'confidence': 0.9518111944198608}]",FAC,0.9518111944198608
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,0.10 LVL,"[{'value': 'QUANTITY', 'confidence': 0.9997580051422119}]",QUANTITY,0.9997580051422119
19780520014159A,GUSTING TO 30K.                                                                                                    ,30K,"[{'value': 'CARDINAL', 'confidence': 0.9999935626983643}]",CARDINAL,0.9999935626983643
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,2,"[{'value': 'CARDINAL', 'confidence': 0.999983549118042}]",CARDINAL,0.999983549118042
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999823570251465}]",PRODUCT,0.9999823570251465
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.992137610912323}]",ORG,0.992137610912323
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,THIRD,"[{'value': 'ORDINAL', 'confidence': 0.5933591723442078}]",ORDINAL,0.5933591723442078
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,JETWAY,"[{'value': 'FAC', 'confidence': 0.9999315738677979}]",FAC,0.9999315738677979
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,AIRCRAFT,"[{'value': 'FAC', 'confidence': 0.9998745918273926}]",FAC,0.9998745918273926
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,AILERON,"[{'value': 'PRODUCT', 'confidence': 0.9174026846885681}]",PRODUCT,0.9174026846885681
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,ZERO.PLT,"[{'value': 'CARDINAL', 'confidence': 0.9999852180480957}]",CARDINAL,0.9999852180480957
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,TKOF,"[{'value': 'PERSON', 'confidence': 0.9997990727424622}]",PERSON,0.9997990727424622
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,BEACH,"[{'value': 'LOC', 'confidence': 0.9633665680885315}]",LOC,0.9633665680885315
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,250 FEET,"[{'value': 'QUANTITY', 'confidence': 0.9999932050704956}]",QUANTITY,0.9999932050704956
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,ALFALFA FIELD,"[{'value': 'LOC', 'confidence': 0.9999461770057678}]",LOC,0.9999461770057678
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,OAT FIELD,"[{'value': 'LOC', 'confidence': 0.999915599822998}]",LOC,0.999915599822998
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,PLT,"[{'value': 'ORG', 'confidence': 0.9998540878295898}]",ORG,0.9998540878295898
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999686479568481}]",PRODUCT,0.9999686479568481
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,55 GAL,"[{'value': 'QUANTITY', 'confidence': 0.9999935626983643}]",QUANTITY,0.9999935626983643
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,15 MINUTES AFTER,"[{'value': 'TIME', 'confidence': 0.9999659856160482}]",TIME,0.9999659856160482
19781102023729I,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9997431635856628}]",ORG,0.9997431635856628
19780923027059I,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.999291181564331}]",ORG,0.999291181564331
19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,4,"[{'value': 'CARDINAL', 'confidence': 0.9999921321868896}]",CARDINAL,0.9999921321868896
19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,41A2,"[{'value': 'CARDINAL', 'confidence': 0.9999762773513794}]",CARDINAL,0.9999762773513794
19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,DMGD WING & AILERON,"[{'value': 'ORG', 'confidence': 0.8817682415246964}]",ORG,0.8817682415246964
19790119001139A,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9982436895370483}]",ORG,0.9982436895370483
19781108022269I,RAN OFF SIDE OF TAXIWAY AT NIGHT. LANDING LIGHT INOPERATIVE.                                                       ,TAXIWAY,"[{'value': 'GPE', 'confidence': 0.9999899864196777}]",GPE,0.9999899864196777
19781230019999I,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,ONE,"[{'value': 'CARDINAL', 'confidence': 0.9998080134391785}]",CARDINAL,0.9998080134391785
19790107000829I,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ",APPROXIMATELY 6 QTS.,"[{'value': 'QUANTITY', 'confidence': 0.9987738281488419}]",QUANTITY,0.9987738281488419
19790111000619I,ENGINE QUIT AFTER LIFTOFF. LANDED GEAR UP. FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS.                           ,3,"[{'value': 'CARDINAL', 'confidence': 0.9999935626983643}]",CARDINAL,0.9999935626983643
19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,1,"[{'value': 'CARDINAL', 'confidence': 0.9659377336502075}]",CARDINAL,0.9659377336502075
19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,4IN,"[{'value': 'CARDINAL', 'confidence': 0.7102518677711487}]",CARDINAL,0.7102518677711487
19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,AIRCRAFT,"[{'value': 'FAC', 'confidence': 0.9900351166725159}]",FAC,0.9900351166725159
19781205041369A,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,PLT,"[{'value': 'ORG', 'confidence': 0.9487907290458679}]",ORG,0.9487907290458679
19781205041369A,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,CRPATH,"[{'value': 'ORG', 'confidence': 0.9999717473983765}]",ORG,0.9999717473983765
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,TAXIWAY,"[{'value': 'FAC', 'confidence': 0.9999425411224365}]",FAC,0.9999425411224365
19781119026389I,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ",TAXIWAY,"[{'value': 'FAC', 'confidence': 0.9998877048492432}]",FAC,0.9998877048492432
19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,ICY RUNWAY,"[{'value': 'FAC', 'confidence': 0.9999851584434509}]",FAC,0.9999851584434509
19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,5 MONTHS,"[{'value': 'DATE', 'confidence': 0.9999485015869141}]",DATE,0.9999485015869141
19781102039739A,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  ",CESSNA,"[{'value': 'ORG', 'confidence': 0.9997846484184265}]",ORG,0.9997846484184265
19781215040349A,HOOK RELEASE ELECTRICAL PLUG FOUND DISCONNECTED.LOAD FROZEN TO THOUND.                                             ,HOOK,"[{'value': 'ORG', 'confidence': 0.9836481809616089}]",ORG,0.9836481809616089
19781117041969A,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,TKOF,"[{'value': 'FAC', 'confidence': 0.5978261232376099}]",FAC,0.5978261232376099
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,3005,"[{'value': 'CARDINAL', 'confidence': 0.9999938011169434}]",CARDINAL,0.9999938011169434
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,2999,"[{'value': 'CARDINAL', 'confidence': 0.9999946355819702}]",CARDINAL,0.9999946355819702
19790223006939I,WHILE DEPARTING GATE JET BLAST CAUSED A BAGGAGE CART TO ROLL INTO B99 WHICH WAS FOLLOWING CLOSE BEHIND.            ,B99,"[{'value': 'PRODUCT', 'confidence': 0.9998552799224854}]",PRODUCT,0.9998552799224854
19790306009619I,TAXIED INTO DRAINAGE DITCH AT NIGHT. LANDING LIGHT INOPERABLE.                                                     ,NIGHT,"[{'value': 'TIME', 'confidence': 0.9999455213546753}]",TIME,0.9999455213546753
19790224005689A,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9998420476913452}]",ORG,0.9998420476913452
19790224005689A,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,4 DAYS LATER,"[{'value': 'DATE', 'confidence': 0.9728571573893229}]",DATE,0.9728571573893229
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,6700 FT,"[{'value': 'QUANTITY', 'confidence': 0.9999910593032837}]",QUANTITY,0.9999910593032837
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,LAKE,"[{'value': 'LOC', 'confidence': 0.6286534070968628}]",LOC,0.6286534070968628
19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,65 DAYS,"[{'value': 'DATE', 'confidence': 0.9999897480010986}]",DATE,0.9999897480010986
19790319004969A,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999274015426636}]",PRODUCT,0.9999274015426636
19790316004809A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.999987006187439}]",ORG,0.999987006187439
19790210002629A,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,LESS THAN 2 GALS,"[{'value': 'QUANTITY', 'confidence': 0.9999713003635406}]",QUANTITY,0.9999713003635406
19790224007709I,WINDSHIELD FOGGED UP DUE TO INOP HEATER. LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY.           ,WINDSHIELD,"[{'value': 'FAC', 'confidence': 0.7606432437896729}]",FAC,0.7606432437896729
19790224007709I,WINDSHIELD FOGGED UP DUE TO INOP HEATER. LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY.           ,RUNWAY,"[{'value': 'FAC', 'confidence': 0.8899791836738586}]",FAC,0.8899791836738586
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9999710321426392}]",PRODUCT,0.9999710321426392
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,FIRST,"[{'value': 'ORDINAL', 'confidence': 0.9989545345306396}]",ORDINAL,0.9989545345306396
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,AILERON,"[{'value': 'ORG', 'confidence': 0.9999864101409912}]",ORG,0.9999864101409912
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9878437519073486}]",ORG,0.9878437519073486
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,LIFTOFF RUNWAY,"[{'value': 'FAC', 'confidence': 0.8724664151668549}]",FAC,0.8724664151668549
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,SNOW BANK,"[{'value': 'LOC', 'confidence': 0.46840551495552063}]",LOC,0.46840551495552063
19790209002599A,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ",TAXIWAY,"[{'value': 'FAC', 'confidence': 0.9998983144760132}]",FAC,0.9998983144760132
19790209002599A,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ",AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9148251414299011}]",PRODUCT,0.9148251414299011
19790510009019A,AIRCRAFT TOOK OFF BUT WAS UNABLE TO MAINIAIN FLIGHT. WITNESSES SAID THERE WAS MODERATE FROST ON THE WINGS.         ,AIRCRAFT,"[{'value': 'PRODUCT', 'confidence': 0.9980893731117249}]",PRODUCT,0.9980893731117249
19790603012119A,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.",25-FT,"[{'value': 'QUANTITY', 'confidence': 0.9999889135360718}]",QUANTITY,0.9999889135360718
19790603012119A,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.",AGL,"[{'value': 'ORG', 'confidence': 0.9600646495819092}]",ORG,0.9600646495819092
19790603012119A,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.",PLT,"[{'value': 'ORG', 'confidence': 0.9999632835388184}]",ORG,0.9999632835388184
19790513010459A,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,ONE FOOT,"[{'value': 'QUANTITY', 'confidence': 0.9999902248382568}]",QUANTITY,0.9999902248382568
19790513010459A,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,THREE FEET,"[{'value': 'QUANTITY', 'confidence': 0.9999876618385315}]",QUANTITY,0.9999876618385315
19790609016529A,ROPE BROKE DURING AERO TOW TAKE OFF WHEN GLIDER WAS 140 FEET ABOVE GROUND. CRASH OCCURRED DURING FORCED LANDING.   ,140 FEET,"[{'value': 'QUANTITY', 'confidence': 0.9999921917915344}]",QUANTITY,0.9999921917915344
19790427100559I,ENGINE QUIT DUE TO FUEL CONTAMINATION. AIRCRAFT DAMAGED IN AUTOROTATION.                                           ,AIRCRAFT,"[{'value': 'ORG', 'confidence': 0.9999942779541016}]",ORG,0.9999942779541016
19790429005459A,ACFT NOT FLOWN FOR 2 WKS. SEVERE RAIN. PILOT SAID THAT THERE WAS WATER IN FUEL                                     ,2 WKS,"[{'value': 'DATE', 'confidence': 0.9999912977218628}]",DATE,0.9999912977218628
19790625015009A,ENGINE FAILED IN FLT. TWO & ONE HALF QUARTS OF WATER WERE DRAINED FROM THE GAS TANK AFTER THE ACCIDENT.            ,TWO & ONE HALF QUARTS,"[{'value': 'QUANTITY', 'confidence': 0.9999850273132325}]",QUANTITY,0.9999850273132325
19790513026659I,"LOSS OF OIL PREESURE PRECEEDED ENGINE SHUTDOWN. VECTORS TO AIRPORT, 8 QUARTS OIL ADDED. ENGINE HAD MINOR OIL LEAK. ",8 QUARTS,"[{'value': 'CARDINAL', 'confidence': 0.9989932477474213}]",CARDINAL,0.9989932477474213
19790609024769A,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,11 MONTHS,"[{'value': 'DATE', 'confidence': 0.9999948740005493}]",DATE,0.9999948740005493
19790809030499I,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           ,ZA,"[{'value': 'PERSON', 'confidence': 0.6355119347572327}]",PERSON,0.6355119347572327
