,doc_idx,sent_idx,original_sentence,input,mention,biencoder_predicted_entity,crossencoder_predicted_entity
10,49,0,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,engine cowling came loose in flight.,cowling,Cowling,Cowling
11,50,0,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,acft dispatcher harrassment of pilot.,acft,Air traffic control,Air traffic control
12,50,1,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             , pilot forgot to remove tiedrope.,pilot,Maritime pilot,PILOT
13,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            "," system, gascolator and carburetor contained water.",gascolator,Gascolator,Gascolator
14,58,1,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            "," system, gascolator and carburetor contained water.",carburetor,Carburetor,Carburetor
15,64,0,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",pilot lost directional control after touchdown.,pilot,Aircraft pilot,Aircraft pilot
16,84,0,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,flight returned due to mag.,mag,Coma,Rabies
17,94,0,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,jetway was extended into side of aircraft as it taxiied into the parking area.,jetway,Taxiway,Jet bridge
18,97,0,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","after working on home-built, pilot took off without connecting aileron controls.",aileron,Aileron,Aileron
19,98,1,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   , landed in marshy area and tipped up on nose.,marshy area,Marsh,Marsh
20,102,0,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,spring loaded tank drain valve left partially open.,open,Valve,Valve
21,107,1,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          , found that the inboard end of aileron push rod was not connected.,aileron,Aileron,Aileron
22,107,1,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          , found that the inboard end of aileron push rod was not connected.,rod,Fishing rod,Connecting rod
23,108,0,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,rope caught on glider wheel bracket.,rope,Rope,Rope
24,112,0,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,became airborne after tkof aborted.,tkof,GPS Block IIF,NATO Response Force
25,113,0,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,flight apparently took off with the rear cabin entry door open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Door
26,118,1,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    , vent stopped up by mud daubers.,mud daubers,Mud dauber,Mud dauber
27,119,1,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                , water and other foreign material found in the gascolator bowl.,gascolator bowl,Gascolator,Gascolator
28,124,1,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,lndd in flooded alfalfa field.,lndd,Oregon Department of Land Conservation and Development,Great Lakes and Ohio River Division
29,124,1,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,lndd in flooded alfalfa field.,alfalfa,Alfalfa,Alfalfa
30,128,0,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,acft being ferried for maint.,acft,American Car and Foundry Company,American Car and Foundry Company
31,130,1,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF, was considered a radio failure by atc.,atc,AT&T Corporation,Air traffic control
32,140,0,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",flight diverted after crew noticed cowling loose.,cowling,Cowling,Cowling
33,140,1,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        "," after landing, cowling struck prop and broke into pieces.",cowling,Cowling,Cowling
34,144,0,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,aborted takeoff when front baggage door popped open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Open secret
35,149,1,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           "," wingtip hit hangar, caught on fire.",hangar,Hangar,Hangar
36,150,0,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,engine shutdown due to smoke from nacelle.,nacelle,Nacelle,Nacelle
37,154,1,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        , no 4 rod asy (pn 41a2) failed for unkn rsn.,rod asy,Aslinn Rodas,"Asy, Kazakhstan"
38,154,1,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        , no 4 rod asy (pn 41a2) failed for unkn rsn.,unkn rsn,Unnikrishnan Manukrishnan,2014 Dubai 24 Hour
39,185,1,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  "," sub dmg to cessna 172,n8107t.",cessna,Cessna,Cessna 172
40,188,0,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,plt rqstd & cntlr appvd spcl vfr clrnce at nite.,plt rqstd & cntlr appvd spcl vfr clrnce,Neutrino Array Radio Calibration,Chlorine trifluoride
41,188,0,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,plt rqstd & cntlr appvd spcl vfr clrnce at nite.,nite,National Institute of Technology and Evaluation,National Institute of Technology and Evaluation
42,188,1,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE.PLT NOT INST RTD.TR SET 3005 VICE 2999.                            ,plt not inst rtd.,rtd,Real-time Delphi,Real-time Delphi
43,215,0,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,acrft was serviced 65 days prior to accident.,acrft,Acumulador de Carga Rápida,AC Locomotive Group
44,216,0,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,after a forced landing ice was found in gascolator and in flexible hose between air filter and carburator.,gascolator,Gascolator,Gascolator
45,221,0,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,fcd ldg at night.,fcd,Financial Crimes Investigation Division,Floating car data
46,226,1,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 , aileron controls reversed.,aileron,Aileron,Aileron
47,244,2,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   , acft nosed over.,acft,Matches of Polish men's volleyball national team conducted by Stéphane Antiga,2014 Dubai 24 Hour
48,245,1,ENGINE WAS SPUTTERING ON TAKEOFF. ACFT CRASHED & BURNED. FOUND SOME WATER IN FUEL LINES.                           , acft crashed & burned.,acft,List of accidents and incidents involving the Grumman A-6 Intruder,Aircraft gross weight
49,259,0,"NOSE GEAR NOT LOCKED FOR LANDING,COLLAPSED. HAD BEEN RETRACTED WITH FLAT STRUT, CAUSING LINKAGE TO SEPERATE.       ","nose gear not locked for landing,collapsed.","landing,collapsed",Landing,Landing
50,269,0,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,eng.,eng,Engl,Doctor of Engineering
51,271,1,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           , gascolator showed fuel contaminated with dirt and water.,gascolator,Gascolator,Gascolator
52,277,1,PILOT ABORTED TAKEOFF & WHILE APPLYING BRAKES SEAT CAME LOOSE CAUSING PILOT'S FEET TO RELEASE BRAKES. ACFT CRASHED , acft crashed .,acft,2010 Alessandria Challenger,Empty weight
53,280,2,AIRSPEED INDICATOR INOP DUE TO PLUG ON END OF PITOT TUBE. LOST DIRECTIONAL CONTROL ON LANDING. ILLEGAL SOLO.       , illegal solo.,illegal solo,Free solo climbing,Solo diving
54,285,0,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,za zg student pilot ran out of gas after 1 hour flight.,za zg,"Zag, Morocco",Jeremy Zag
55,301,2,ENGINE COWL LOOSE IN FLIGHT. ENGINE SHUT DOWN. COWL HAD NOT BEEN PROPERLY SECURED.                                 , cowl had not been properly secured.,cowl,Cowl,Cowl
56,315,0,PILOT RAN OUT OF FUEL DUE TO OPEN BOWL DRAIN ON THE FUEL STRAINER. HAD PREVIOUS PROBLEM IWTH STICKING DRAIN.       ,pilot ran out of fuel due to open bowl drain on the fuel strainer.,open,Open-channel flow,Sliding sleeve
57,316,1,PILOT FAILED TO PROPERLY SECURE SEAT. SEAT SLID BACK ON TAKEOFF.                                                   , seat slid back on takeoff.,seat,Seat,Seat
58,326,0,CFI WITH STUDENT ATTEMPTED TAKEOFF FROM SNOW COVERED RWY WITH ICE ON WINGS. UNABLE TO CLIMB. CRASHED OFF END RWY.  ,cfi with student attempted takeoff from snow covered rwy with ice on wings.,cfi,Community Forestry International,Corporate Finance Institute
59,332,0,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL. ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY. DROPPED OVER A CLIFF.     ,engine cowling came open on the takeoff roll.,cowling,Cowling,Cowling
60,339,0,DEPARTED IFR WITH KNOWN DEFECTIVE GYRO HORIZON. LOST CONTROL OF AIRPLANE DESCENDING IFR IN HOLDING PATTERN.        ,departed ifr with known defective gyro horizon.,ifr,Instrument flight rules,Instrument flight rules
61,343,0,AIRCRAFT DIVERTED TO LOS ANGELES DUE TO STICKING FLAP. LUBRICATED FLAP JACKSCREW. RETURNED TO SERVICE.             ,aircraft diverted to los angeles due to sticking flap.,los angeles,Los Angeles,Los Angeles
62,349,0,PILOT SMELLED OIL IN FLIGHT AND OBSERVED OIL IN COWLING. MADE PRECAUTIONARY LANDING. OIL CAP CAME OFF IN FLIGHT.   ,pilot smelled oil in flight and observed oil in cowling.,cowling,Cowling,Cowling
63,353,1,ENGINE QUIT IMMEDIATELY AFTER TAKEOFF. WATER WAS FOUND IN GASCOLATOR..                                             , water was found in gascolator.,gascolator,Gascolator,Gascolator
64,357,0,PILOT REPORTED THROTTLE FROZE WIDE OPEN. MADE HARD LANDING. HELICOPTER HAD SNOW AND ICE ON SURFACE AT DEPARTURE.   ,pilot reported throttle froze wide open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,2014 Dubai 24 Hour
65,365,0,TAKEOFF WARNING HORN SOUNDED. ABORTED TAKEOFF. SPEED BRAKE LEVER NOT SEATED.                                       ,takeoff warning horn sounded.,horn,Vehicle horn,Vehicle horn
66,376,0,"ALTERNATOR NOT OPERATING AT TAKEOFF, ELECTRICAL FAILURE SOON AFTER. LANDED WITH GEAR PARTIALLY DOWN, COLLAPSED.    ","alternator not operating at takeoff, electrical failure soon after.",alternator,Alternator,Alternator
67,379,1,ABORTED TAKEOFF WHEN ACCESS DOOR LIGHT CAME ON. TAXIED BACK INTO POSITION AND DEPARTED.                            , taxied back into position and departed.,taxied,Taxiing,Taxiing
68,390,2,NOSE GEAR COLLAPSED ON ROLLOUT.PLANE WAS OUT OF SERVICE FOR MAINTENANCE. LINEBOY POSITIONED IN NORMAN SPOT         , lineboy positioned in norman spot         .,lineboy,Line management,Lineworker
69,390,2,NOSE GEAR COLLAPSED ON ROLLOUT.PLANE WAS OUT OF SERVICE FOR MAINTENANCE. LINEBOY POSITIONED IN NORMAN SPOT         , lineboy positioned in norman spot         .,norman,"Norman, Oklahoma","Norman, Oklahoma"
70,396,0,AILERONS HOOKED UP BACKWARD BY MAINTENANCE. WING-TIP HIT RUNWAY AFTER LIFT-OFF. PILOT FAILED TO CHECK CONTROLS.    ,ailerons hooked up backward by maintenance.,ailerons,Aileron,Aileron
71,398,0,TAKEOFF REJECTED DUE TO TAKEOFF WARNING HORN. ELEVATOR TRIM WAS IMPROPERLY SET.                                    ,takeoff rejected due to takeoff warning horn.,horn,Vehicle horn,Vehicle horn
72,403,1,BAGGAGE DOOR NOT SECURED PROPERLY BY PILOT. SUITCASE FELL OUT AND STRUCK LEFT PROPELLER.                           , suitcase fell out and struck left propeller.,suitcase,Suitcase,Suitcase
73,411,0,NOSEGEAR COLLAPSED ON TAKEOFF. PILOT HAD MADE PREVIOUS LANDING ON ROUGH PRIVATE RUNWAY.                            ,nosegear collapsed on takeoff.,nosegear,Nosework,Aircraft canopy
74,419,2,"ENGINE SEIZED DURING SPRAY OPERATION. STALLED, TURNING FOR EMERGENCY LANDING. FOUND OIL QUICK DRAIN OPEN.          ", found oil quick drain open.,open,Open secret,Open secret
75,425,2,FIRST FLIGHT AFTER REPAIRS. LOST CONTROL ON CLIMBOUT. FOUND AILERON QUICK DISCONNECTS NOT CONNECTED.               , found aileron quick disconnects not connected.,aileron,Aileron,Aileron
76,434,0,ZD ZE NOSE BAGGAGE DOOR CAME OPEN ON TAKEOFF RUN. ABORTED TAKEOFF AND RAN OFF END OF RUNWAY. AC OUT OF ANNUAL      ,zd ze nose baggage door came open on takeoff run.,zd,Z,Zonal Employee Discount
77,434,2,ZD ZE NOSE BAGGAGE DOOR CAME OPEN ON TAKEOFF RUN. ABORTED TAKEOFF AND RAN OFF END OF RUNWAY. AC OUT OF ANNUAL      , ac out of annual      .,ac,ATC code C,Australian Canoeing
78,435,0,ZN PILOT DID NOT GET GREEN LIGHTS WITH GEAR EXTENSION AND DID NOT TRY TO EXTEND MANUALLY. GEAR COLLAPSED ON LANDING,zn pilot did not get green lights with gear extension and did not try to extend manually.,zn,Włodzimierz Zonn,ZNS-TV
79,438,1,"ATTEMPTED SINGLE ENGINE FERRY AFTER PERMIT HAD BEEN DENIED.  LOST RPM, LANDED IN OCEAN.  FLOTATION GEAR WORKED OK. ","  lost rpm, landed in ocean.",ocean,Ocean,Ocean
80,441,1,"AIRCRAFT LOST BRAKE WHILE MAKING LEFT TURN. ON APPLICATION OF RIGHT BRAKE,AIRCRAFT LEFT RUNWAY AND STRUCK TREES.   "," on application of right brake,aircraft left runway and struck trees.","brake,aircraft",Brake,Brake
81,444,0,PROPELLER PICKED UP GROUNDING CABLE FROM RAMP AND DAMAGED AIRCRAFT.                                                ,propeller picked up grounding cable from ramp and damaged aircraft.,propeller,Propeller,Propeller
82,451,0,AMATEUR BUILT PLANE WOULD NOT DEVELOP SUFFICIENT RPM BECAUSE OF INCORRECT PROP INSTALLATION.                       ,amateur built plane would not develop sufficient rpm because of incorrect prop installation.,amateur built,Homebuilt aircraft,Homebuilt aircraft
83,452,0,ZA PILOT STOPPED FOR FUEL. ON TAKEOFF ENGINE QUIT. WTER FOUND IN FUEL TANKS STRAINER AND T FITTING.                ,za pilot stopped for fuel.,za pilot,Zagrosjet,Zakspeed
84,452,2,ZA PILOT STOPPED FOR FUEL. ON TAKEOFF ENGINE QUIT. WTER FOUND IN FUEL TANKS STRAINER AND T FITTING.                , wter found in fuel tanks strainer and t fitting.,wter,Rust and oxidation lubricant,Oil–water separator
85,463,0,"ZE ZW NOSE BAGGAGE DOOR CAME OPEN AT ROTATION, TAKE OFF ABORTED. SLID SIDEWAYS ON ICE AND SNOW, GEAR COLLAPSED.    ","ze zw nose baggage door came open at rotation, take off aborted.",ze,Carl Zeiss AG,Že
86,472,0,"ZG PILOT COULD NOT KEEP RIGHT ENGINE RUNNING.  ON INSPECTION, WATER FOUND IN FUEL.                                 ",zg pilot could not keep right engine running.,zg pilot,Sulzer ZG9,Zilog
87,475,0,"ZE ABORTED TAKEOFF, RUN OFF END OF RUNWAY. FOUND ICE BUILDUP ON WINGS.                                             ","ze aborted takeoff, run off end of runway.",ze,Že,Že
88,476,0,"ZD ZW UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR STRUT WAS FLAT, HUNG UP WHEN RETRACTED.                      ",zd zw unable to extend nose gear before landing.,zd,Z,Zero Defects
89,479,0,ZG CABIN FILLED WITH SMOKE. AIRCRAFT RETURNED. FOUND PIECE OF CHARREL CLOTH FROM ENGINE PLUG LAYING ON EXHAUST.    ,zg cabin filled with smoke.,zg cabin,Zigzag Ranger Station,Z Pulsed Power Facility
90,489,0,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     ,zn failed to extend gear before landing.,zn,Włodzimierz Zonn,ZNS-TV
91,489,1,ZN FAILED TO EXTEND GEAR BEFORE LANDING. GEAR WARNING HORN HAD BEEN REMOVED AND THE PILOT HAD BEEN SO ADVISED.     , gear warning horn had been removed and the pilot had been so advised.,horn,Vehicle horn,Vehicle horn
92,495,1,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED"," it caught on airplane structure, broke the bellcrank.",bellcrank,Bellcrank,Bellcrank
93,498,0,ZE NOSE WHEEL STEERING DAMAGED BY A 3 INCH VERTICAL RIDGE IN NEWLY LAID RUNWAY SURFACE. SURFACE NOT COMPLIANCE 139 ,ze nose wheel steering damaged by a 3 inch vertical ridge in newly laid runway surface.,ze,Že,Že
94,500,1,NOSE GEAR STRUT WAS COLLAPSED. WHEN GEAR RETRACTED A PIN WAS SHEARED. PRIOR TO LANDING GEAR FELL TO DOWN AND LOCKED, when gear retracted a pin was sheared.,gear,Gear,Gear
95,504,1,FORGOT TO REMOVE WHEELS & TOWBAR PRIOR TO FLIGHT. TOWBAR STRUCK GROUND FIRST ON LANDING. HELICOPTER ROLLED OVER.   , towbar struck ground first on landing.,towbar,Tow hitch,Tow hitch
96,507,0,DURING LANDING ATC COULD NOT UNDERSTAND PILOT. LATER INVESTIGATION REVEALED AND EXPIRED MEDICAL CERTIFICATE.       ,during landing atc could not understand pilot.,atc,Air traffic controller,Air traffic controller
97,508,0,ENROUTE PILOT SMELLED SMOKE AND SAW FIRE IN AFT PART OF AIRCRAFT. EMERGENCY LANDING. BATTERY BURNED. NO BATTERY LID,enroute pilot smelled smoke and saw fire in aft part of aircraft.,enroute,En-route chart,EnRoute (magazine)
98,516,1,"FAILED TO LOCK CANOPY BEFORE TAKEOFF. CANOPY CAME OPEN. LOST CONTROL. LANDED IN MUDDY FIELD, FLIPPED OVER.         ", canopy came open.,open,Paragliding at the 2018 Asian Games – Women's individual accuracy,2012 PSA World Series Finals
99,521,1,ENGINE LOST POWER ON TAKEOFF. LANDED IN SWAMPY TUNDRA END OF RUNWAY. NOSED OVER. FOUND RAG IN ENGINE AIR INTAKE.   , landed in swampy tundra end of runway.,swampy tundra,Tundra,Tundra
100,523,1,"FAILED TO ASSURE DOOR SECURED PRIOR TO TAKEOFF. DOOR OPEN ON CLIMBOUT. LOST CONTROL, CRASH-LANDED OFF END OF RUNWAY", door open on climbout.,door open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Grand Lodge
101,525,0,AIRCRAFT TOUCHED DOWN ON CONCRETE PART OF DRAINAGE AREA ON NEW AIRPORT. DAMAGED GEAR PROPELLER AND WING.           ,aircraft touched down on concrete part of drainage area on new airport.,new airport,Khartoum New International Airport,Khartoum New International Airport
102,527,0,ZA AFTER TAKEOFF PIECE OF COWLING DEPARTED AIRCRAFT. RETURNED. FOUND LATCHES HAD NOT BEEN SECURED PROPERLY.        ,za after takeoff piece of cowling departed aircraft.,cowling,Cowling,Cowling
103,532,0,ZA PILOT LANDED IN FIELD AFTER RUNNING OUT OF FUEL. STATED HE FILLED TANK NIGHT BEFORE BUT DID NOT CHECK ON PREFLT ,za pilot landed in field after running out of fuel.,za pilot,Zagrosjet,Zaria Airport
104,539,1,ABORTED TAKEOFF DUE TO WARNING HORN. RECYCLED FLAPS HORN STOPPED.                                                  , recycled flaps horn stopped.,horn,Vehicle horn,Vehicle horn
105,540,1,ZA UNLATCHED ACCESS DOOR TORE OFF IN FLIGHT. MECHANIC FAILED TO FASTEN. PILOT FAILED TO CHECK.                     , mechanic failed to fasten.,mechanic,Mechanic,Mechanic
106,551,0,"JACK PAD FELL FROM WING DURING TAKEOFF, STRUCK AND DAMAGED REAR PROPELLER. PILOT COULD NOT SYNCRONIZE PROPELLERS.  ","jack pad fell from wing during takeoff, struck and damaged rear propeller.",jack,Jack (device),Jackscrew
107,556,1,"ZA ZG SUSPECTED FUEL LEAK, RETURNED, NO FUEL LEAK. CORK TYPE VISUAL INDICATOR STUCK, THEN DROPPED SUDDENLY.        "," cork type visual indicator stuck, then dropped suddenly.",cork,Cork (material),Cork encoding
108,557,2,"GOT OUT OF AIRCRAFT TO TURN PROP THRU. ENGINE STARTED, AIRPLANE COLLIDED WITH PARKED AIRCRAFT. MAGS CHECKED NORMAL.", mags checked normal.,mags,Modified active gas sampling,Modified active gas sampling
109,564,2,LOUD POP AND VIBRATION IN FLIGHT. STRUCK WING ON A TREE LANDING ON A ROAD. FUEL TANK COVER OPEN. NOT SECURED.      , fuel tank cover open.,open,Open secret,Open secret
110,565,2,ENGINE QUIT ON TAKEOFF. CRASH-LANDED IN CLEARING OFF END OF RUNWAY. FOUND FUEL TANK VENTS CLOGGED BY MUD-DAUBERS.  , found fuel tank vents clogged by mud-daubers.,mud-daubers,Mud dauber,Mud dauber
111,582,0,ZA PILOT TOOK OFF WITH GEAR PINS STILL IN. RETURNED TO AIRPORT AND HAD THEM REMOVED.                               ,za pilot took off with gear pins still in.,za pilot,Zakspeed,Zakspeed
112,584,1,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          , began taxi with apu still attached.,apu,A-P-A Transport Corp.,Auxiliary power unit
113,584,2,ORDERED APU DISCONNECT. BEGAN TAXI WITH APU STILL ATTACHED. APU CAUGHT FIRE. COMPANY ACTION AGAINST CREW.          , apu caught fire.,apu,APU,Apu (god)
114,585,3,VIBRATION EN ROUTE. DOOR LIGHT CAME ON. TURNING OFF AUTOPILOT LIGHT WENT OFF. BAGGAGE DOOR OPEN. LOST LUGGAGE.     , baggage door open.,baggage door open,Paragliding at the 2018 Asian Games – Women's individual accuracy,2011 Royal International Horse Show
115,591,1,"PILOT FLEW CROSS COUNTRY WITH LOW BATTERY. HAD RADIO TROUBLE, UNABLE TO ACTIVATE RUNWAY LIGHTS, DIVERTED TO LOGAN. "," had radio trouble, unable to activate runway lights, diverted to logan.",logan,Logan International Airport,Logan International Airport
116,592,0,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     ,loose cowling after takeoff.,cowling,Cowling,Cowling
117,592,1,LOOSE COWLING AFTER TAKEOFF. COWLING SEPARATED FROM AIRCRAFT. NO OTHER DAMAGE.                                     , cowling separated from aircraft.,cowling,Cowling,Cowling
118,594,0,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             ,loose cowling.,cowling,Cowling,Cowling
119,594,1,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             , landed on island field.,island,Island,Island
120,594,2,LOOSE COWLING. LANDED ON ISLAND FIELD. FASTENED COWLING. NOSED OVER TRYING TO TAKEOFF ON ROUGH GROUND.             , fastened cowling.,cowling,Cowling,Cowling
121,596,0,"BELIEVED COWLING LOOSE,CLOSED THROTTLE, CRASH LANDED SHORT OF RUNWAY RETURNING. HAD FAILED TO REMOVE ENGINE PLUGS. ","believed cowling loose,closed throttle, crash landed short of runway returning.",cowling,Cowling,Cowling
122,597,0,"UNSECURED CARGO STRAP BLEW OUT OPEN DOOR AND TANGLED IN TAIL ROTOR, CAUSING LOSS OF CONTROL. MADE HARD AUTO LANDING","unsecured cargo strap blew out open door and tangled in tail rotor, causing loss of control.",open,Paragliding at the 2018 Asian Games – Women's individual accuracy,Destiny
