,index,c5_id,input,head,relation,tail
18,11,19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,WNDSHD,instance of,T/O
19,12,19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,PREV NOSE WHEEL,subclass of,LGT
20,13,19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",GENERATOR,connects with,CIRCUIT
21,13,19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ",CIRCUIT,connects with,GENERATOR
22,14,19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,GRASS FIRE,has effect,COVID-19 pandemic
23,14,19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,COVID-19 pandemic,has cause,GRASS FIRE
24,15,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.",record label,FLT
25,16,19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,NO NARRATIVE,publication date,2006
26,17,19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",FEATHER,different from,MAG
27,17,19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",MAG,different from,FEATHER
28,18,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,RUDDER GUST,award received,WIN
29,18,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,WIN,winner,RUDDER GUST
30,19,19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,AIL,product or material produced,RUDDER
31,19,19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,AIL,product or material produced,RUDDER
32,20,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,MAG INOP,number of episodes,25
33,21,19770530012939A,WRONG PROP INSTALLED                                                                                               ,WRONG PROPTAINED,publication date,2016
34,22,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1/2,said to be the same as,DEPARTURE
35,22,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,DEPARTURE,said to be the same as,1/2
36,23,19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,MIXTURE CONTROL,product or material produced,HANDLE
37,23,19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,HANDLE,manufacturer,MIXTURE CONTROL
38,24,19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,COVID-19 pandemic,has effect,COVID-19 pandemic
39,24,19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,COVID-19 pandemic,has cause,COVID-19 pandemic
40,25,19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,ACFT,replaced by,DMGD
41,25,19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,DMGD,replaces,ACFT
42,26,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,LNDNG,parent organization,PWR
43,26,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,PWR,subsidiary,LNDNG
44,27,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,SUCCESSFUL AUTOROTATION,facet of,INSUFFICIENT
45,28,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",CHOKER,owned by,FLT
46,28,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",FLT,owner of,CHOKER
47,29,19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,FINGER TIGHT,instance of,FLT
48,30,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,WASHER CRACKED & SEPARATED FRM BOLT,part of,TORQUE LINK CENTER SCISSORS
49,30,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,TORQUE LINK CENTER SCISSORS,has part,WASHER CRACKED & SEPARATED FRM BOLT
50,31,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,1745,point in time,1745
51,32,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",EMERGENCY LANDING AFTER ENGINE QUIT,main subject,FUEL
52,33,19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,FORCED LANDING AFTER ENGINE QUIT,facet of,SUSPECT WATER IN FUEL
53,34,19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,FORCED LANDING AFTER POWER LOSS,facet of,FUEL
54,35,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,FUEL SYSTEM,instance of,ENGINE
55,36,19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",STRIKING SNOW BANK,located in the administrative territorial entity,TAKEOFF
56,37,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",MAIN FUEL STRAINER,mouth of the watercourse,FROZEN LAKE
57,37,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",FROZEN LAKE,tributary,MAIN FUEL STRAINER
58,38,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,FUEL TANKS,has part,JET FUEL
59,38,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,JET FUEL,part of,FUEL TANKs
60,39,19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",FLOAT BOWL,subclass of,ENGINE
61,40,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,GEAR SWITCH,facet of,GEAR
62,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,PILOT,has part,GEAR HANDLE
63,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,GEAR HANDLE,part of,PILOT
64,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,GEAR HANDLE,part of,TAKEOFF
65,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,GEAR HANDLE
66,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,TAKEOFF
67,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,has part,GEAR HANDLE
68,41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,TAKEOFF,part of,TAKEOFF
69,42,19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",LANDING LIGHT,has part,STRUCK DITCH
70,43,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",RUDDER,has part,CTL
71,43,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",CTL,part of,RUDDER
72,44,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",BROADING,different from,WORN
73,44,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",WORN,different from,BROADING
74,45,19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,WATER IN REAR COMPTMT FLOATS,instance of,FLOATS
75,46,19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,AIRCRAFT OWNER,field of this occupation,PREFLIGHT
76,46,19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,PREFLIGHT,practiced by,AIRCRAFT OWNER
77,47,19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",PILOT,has part,RETRACTION
78,47,19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",RETRACTION,part of,PILOT
79,48,19771016042599A,WIND GUSTING TO 25.                                                                                                ,Windy City,located in the administrative territorial entity,New York
80,48,19771016042599A,WIND GUSTING TO 25.                                                                                                ,New York,contains administrative territorial entity,Windy City
81,49,19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,ENGINE COWLING,instance of,FLIGHT
82,50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL
83,50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT
84,50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,TRAIL,different from,PILOT
85,50,19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,PILOT,different from,TRAIL
86,51,19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,SAFE LIGHTS,subclass of,PilOT
87,52,19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",TAKEOFF,subclass of,ENGINE
88,53,19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",TAKEOFF,manufacturer,NOSE GEAR
89,53,19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",TAKEOFF,manufacturer,NOSE GEAR
90,54,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,ENGINE QUIT,part of,FUEL SYSTEM
91,54,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,FUEL SYSTEM,has part,ENGINE QUIT
92,55,19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,FALURE,subclass of,AIRBORNE
93,56,19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,DIP STICK FOUND TO BE MISSING,has effect,ENGINE SHUT DOWN
94,57,19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,TAKEOFF,has part,ENGINE COWL
95,57,19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,ENGINE COWL,part of,TAKEOFF
96,58,19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",GASCOLATOR,has part,CARBURETOR
97,58,19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",CARBURETOR,part of,GASCOLATOR
98,59,19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,FUEL EXHAUSTION,has cause,GAUGE
99,59,19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,GAUGE,has effect,FUEL EXHAUSTION
100,60,19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,PILOT STRUCK AN UNLIGHTED BARRICADE,located in the administrative territorial entity,LANDING
101,61,19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",TAKEOFF,instance of,EMERGENCY LANDing
102,62,19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,FUEL CONTAMINATION,facet of,ENGINE
103,63,19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,JUMP START,followed by,TAKEOFF
104,63,19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,TAKEOFF,follows,JUMP START
105,64,19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",LOST DIRECTIONAL CONTROL,has cause,TOUCHDOWN
106,64,19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",TOUCHDOWN,has effect,LOST DIRECTIONAL CONTROL
107,65,19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",FUEL CAPS,facet of,FLIGHT
108,66,19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",PILOT,part of,AIRCRAFT
109,66,19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",AIRCRAFT,has part,PILOT
110,67,19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,RAN,part of,AIR
111,67,19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,AIR,has part,RAN
112,68,19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,BOLT,has part,SCISSOR
113,68,19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,SCISSOR,part of,BOLT
114,69,19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,WATER CONTAMINATION,facet of,ENGINE
115,70,19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,LIFT OFF,uses,FUEL
116,70,19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,FUEL,used by,LIFT OFF
117,71,19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",PILOT,has part,GENERATOR
118,71,19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",GENERATOR,part of,PILOT
119,72,19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,GEAR COLLAPSED ON ROLLOUT,has cause,ELECTRICAL FAILURE ON FINAL
120,72,19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,ELECTRICAL FAILURE ON FINAL,has effect,GEAR COLLAPSED ON ROLLOUT
121,73,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,TAXIING,has effect,MUD
122,73,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,MUD,has cause,TAXIING
123,74,19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,INEFFECTIVE,subclass of,AIRCRAFT
124,75,19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,LANDED SHORT OF RUNWAY,named after,FUEL
125,75,19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,FUEL,named after,LANDED SHORT OF RUNWAY
126,76,19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,FOUND FUEL GASOLATOR,manufacturer,ENGINE
127,77,19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",GEAR COLLAPSED,has cause,TOUCHDOWN
128,77,19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",TOUCHDOWN,has effect,GEAR COLLAPSED
129,78,19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",PILOT,has part,ENGINE
130,78,19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",ENGINE,part of,PILOT
131,79,19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAKEOFF,different from,TAXIWAY
132,79,19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,TAXIWAY,different from,TAKEOFF
133,80,19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,VACUUM,has part,CAP
134,80,19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,CAP,part of,VACUUM
135,81,19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,ALCOHOL,instance of,FLT
136,82,19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",FORCED LANDING,product or material produced,OIL
137,82,19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",OIL,manufacturer,FORCED LANDING
138,83,19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,RAN THROUGH FENCE,instance of,INEFFECTIVE
139,84,19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,PILOTS TOOK OFF,item operated,MAG
140,84,19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,MAG,item operated,PILOTS TOOK OFF
141,85,19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE COWLING,has part,ENGINE IN FLIGHT
142,85,19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,ENGINE IN FLIGHT,part of,ENGINE COWLING
143,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,St. Louis,located in the administrative territorial entity,Missouri
144,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,St. Louis,located in the administrative territorial entity,Missouri
145,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
146,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,Missouri
147,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
148,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,located in the administrative territorial entity,Missouri
149,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,St. Louis
150,86,19780520014159A,GUSTING TO 30K.                                                                                                    ,Missouri,contains administrative territorial entity,Missouri
151,87,19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,TAKEOFF,number of episodes,2
