,index,input,sentence,head,relation,tail
41,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,2
42,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,1
43,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,1
44,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,2
45,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,2
46,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,1,said to be the same as,1
47,22,aprx 1/2 cupfull fluid under r brake prior to departure.                                                           ,<triplet> 2 <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 1 <subj> 2 <obj> said to be the same as <subj> 2 <obj> said to be the same as <subj> 1 <obj> said to be the same as <triplet> 2 <subj> 2 <obj> said to be the same as <subj> 1 <obj>,2,said to be the same as,2
48,23,mixture control ball bearing missing from handle                                                                   ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War I,followed by,World War II
49,23,mixture control ball bearing missing from handle                                                                   ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War II,follows,World War I
50,24,oil filler cap missing.                                                                                            ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,George Orwell,notable work,Nineteen Eighty-Four
51,24,oil filler cap missing.                                                                                            ,<triplet> George Orwell <subj> Nineteen Eighty-Four <obj> notable work <triplet> Nineteen Eighty-Four <subj> George Orwell <obj> author,Nineteen Eighty-Four,author,George Orwell
52,25,acft n42807 & n7930c substantially dmgd. plt continued taxiing after total hyd failure.                            ,<triplet> n42807 <subj> n7930c <obj> followed by <triplet> n7930c <subj> n42807 <obj> follows,n42807,followed by,n7930c
53,25,acft n42807 & n7930c substantially dmgd. plt continued taxiing after total hyd failure.                            ,<triplet> n42807 <subj> n7930c <obj> followed by <triplet> n7930c <subj> n42807 <obj> follows,n7930c,follows,n42807
54,26,plt did not use emerg lndng gr extnsn after electrical pwr failure.                                                ,<triplet> lndng <subj> extnsn <obj> said to be the same as <triplet> extnsn <subj> lndng <obj> said to be the same as,lndng,said to be the same as,extnsn
55,26,plt did not use emerg lndng gr extnsn after electrical pwr failure.                                                ,<triplet> lndng <subj> extnsn <obj> said to be the same as <triplet> extnsn <subj> lndng <obj> said to be the same as,extnsn,said to be the same as,lndng
56,27,insufficient altitude for successful autorotation.                                                                 ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War I,followed by,World War II
57,27,insufficient altitude for successful autorotation.                                                                 ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War II,follows,World War I
58,28,"choker cable still connected to cargo hook during flt, free to trail in slipstream, struck t/r.                    ",<triplet> cargo hook <subj> cable <obj> subclass of,cargo hook,subclass of,cable
59,29,oil temp bulb retaining nut finger tight.first flt aftr annual.                                                    ,<triplet> nut <subj> flt <obj> part of <triplet> flt <subj> nut <obj> has part,nut,part of,flt
60,29,oil temp bulb retaining nut finger tight.first flt aftr annual.                                                    ,<triplet> nut <subj> flt <obj> part of <triplet> flt <subj> nut <obj> has part,flt,has part,nut
61,30,an175-16 had pulled through torque link center scissors.washer cracked & separated frm bolt.                       ,<triplet> center <subj> bolt <obj> subclass of,center,subclass of,bolt
62,31,aprx 1745lbs ovr max gwt.eng not feathered.autofeather not connected.100 octane fuel.                              ,<triplet> max gwt <subj> octane <obj> different from <triplet> octane <subj> max gwt <obj> different from,max gwt,different from,octane
63,31,aprx 1745lbs ovr max gwt.eng not feathered.autofeather not connected.100 octane fuel.                              ,<triplet> max gwt <subj> octane <obj> different from <triplet> octane <subj> max gwt <obj> different from,octane,different from,max gwt
64,32,"emergency landing after engine quit. cause was improper preflight, out of fuel.                                    ",<triplet> emergency landing <subj> preflight <obj> subclass of,emergency landing,subclass of,preflight
65,33,forced landing after engine quit. suspect water in fuel.                                                           ,<triplet> 1988 Summer Olympics <subj> 1988 <obj> point in time,1988 Summer Olympics,point in time,1988
66,34,forced landing after power loss. water found in fuel.                                                              ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time,2008 Summer Olympics,point in time,2008
67,35,forced landing after engine quit. found frozen water in fuel system.                                               ,<triplet> forced landing <subj> fuel system <obj> facet of,forced landing,facet of,fuel system
68,36,"aborted takeoff due to unlocked door, unable to stop before striking snow bank.                                    ",<triplet> Abilene <subj> Texas <obj> located in the administrative territorial entity <triplet> Texas <subj> Abilene <obj> contains administrative territorial entity,Abilene,located in the administrative territorial entity,Texas
69,36,"aborted takeoff due to unlocked door, unable to stop before striking snow bank.                                    ",<triplet> Abilene <subj> Texas <obj> located in the administrative territorial entity <triplet> Texas <subj> Abilene <obj> contains administrative territorial entity,Texas,contains administrative territorial entity,Abilene
70,37,"engine quit, landing made on frozen lake. ice restriction in main fuel strainer.                                   ",<triplet> landing <subj> strainer <obj> has part <triplet> strainer <subj> landing <obj> part of,landing,has part,strainer
71,37,"engine quit, landing made on frozen lake. ice restriction in main fuel strainer.                                   ",<triplet> landing <subj> strainer <obj> has part <triplet> strainer <subj> landing <obj> part of,strainer,part of,landing
72,38,shortly after changing fuel tanks one engine became rough and was shut down. had been topped off with jet fuel.    ,<triplet> jet fuel <subj> engine <obj> part of,jet fuel,part of,engine
73,39,"engine vibrated, lost power, then quit. carburetor float bowl contaminated with water.                             ",<triplet> carburetor <subj> engine <obj> part of <triplet> engine <subj> carburetor <obj> has part,carburetor,part of,engine
74,39,"engine vibrated, lost power, then quit. carburetor float bowl contaminated with water.                             ",<triplet> carburetor <subj> engine <obj> part of <triplet> engine <subj> carburetor <obj> has part,engine,has part,carburetor
75,40,gear switch was not in the down position and gear retracted during take off roll.                                  ,<triplet> down position <subj> gear <obj> part of <triplet> gear <subj> down position <obj> has part,down position,part of,gear
76,40,gear switch was not in the down position and gear retracted during take off roll.                                  ,<triplet> down position <subj> gear <obj> part of <triplet> gear <subj> down position <obj> has part,gear,has part,down position
77,41,pilot failed to check position of gear handle. gear retracted on takeoff roll.                                     ,<triplet> gear <subj> pilot <obj> used by,gear,used by,pilot
78,42,"taxied off runway, struck ditch at night. landing light was inoperative.                                           ",<triplet> struck ditch <subj> inoperative <obj> subclass of,struck ditch,subclass of,inoperative
79,43,"rudder,r ail ctl locks installed.rear cg aft of optimum range but forward of rearmost limit.                       ",<triplet> aft <subj> forward <obj> opposite of <triplet> forward <subj> aft <obj> opposite of,aft,opposite of,forward
80,43,"rudder,r ail ctl locks installed.rear cg aft of optimum range but forward of rearmost limit.                       ",<triplet> aft <subj> forward <obj> opposite of <triplet> forward <subj> aft <obj> opposite of,forward,opposite of,aft
81,44,"rt brake puck 70 worn,fading for last wk.                                                                          ",<triplet> St. Petersburg <subj> Russia <obj> located in the administrative territorial entity <triplet> Russia <subj> St. Petersburg <obj> contains administrative territorial entity,St. Petersburg,located in the administrative territorial entity,Russia
82,44,"rt brake puck 70 worn,fading for last wk.                                                                          ",<triplet> St. Petersburg <subj> Russia <obj> located in the administrative territorial entity <triplet> Russia <subj> St. Petersburg <obj> contains administrative territorial entity,Russia,contains administrative territorial entity,St. Petersburg
83,45,water in rear comptmt floats.exceeded aft cg lmt.throttle friction loose.                                          ,<triplet> rear comptmt <subj> cg <obj> has part <triplet> cg <subj> rear comptmt <obj> part of,rear comptmt,has part,cg
84,45,water in rear comptmt floats.exceeded aft cg lmt.throttle friction loose.                                          ,<triplet> rear comptmt <subj> cg <obj> has part <triplet> cg <subj> rear comptmt <obj> part of,cg,part of,rear comptmt
85,46,new aircraft owner not aware of purpose or operation of quick drain. partially opened on preflight.                ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time,2008 Summer Olympics,point in time,2008
86,47,"pilot failed to remove tow bar before takeoff. strange noise during retraction. gear extended ok, landed ok.       ",<triplet> 2000 <subj> 2000 <obj> point in time,2000,point in time,2000
87,48,wind gusting to 25.                                                                                                ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War I,followed by,World War II
88,48,wind gusting to 25.                                                                                                ,<triplet> World War I <subj> World War II <obj> followed by <triplet> World War II <subj> World War I <obj> follows,World War II,follows,World War I
89,49,engine cowling came loose in flight. it had not been latched properly.                                             ,<triplet> Leipzig <subj> Germany <obj> country <triplet> Germany <subj> Leipzig <obj> contains administrative territorial entity,Leipzig,country,Germany
90,49,engine cowling came loose in flight. it had not been latched properly.                                             ,<triplet> Leipzig <subj> Germany <obj> country <triplet> Germany <subj> Leipzig <obj> contains administrative territorial entity,Germany,contains administrative territorial entity,Leipzig
91,50,acft dispatcher harrassment of pilot. pilot forgot to remove tiedrope.                                             ,<triplet> pilot <subj> harrassment <obj> field of this occupation <triplet> harrassment <subj> pilot <obj> practiced by,pilot,field of this occupation,harrassment
92,50,acft dispatcher harrassment of pilot. pilot forgot to remove tiedrope.                                             ,<triplet> pilot <subj> harrassment <obj> field of this occupation <triplet> harrassment <subj> pilot <obj> practiced by,harrassment,practiced by,pilot
93,51,pilot observed gear safe lights but gear collapsed after landing. hydraulic reservoir out of fluid.                ,<triplet> pilot <subj> gear <obj> item operated <triplet> gear <subj> pilot <obj> operator,pilot,item operated,gear
94,51,pilot observed gear safe lights but gear collapsed after landing. hydraulic reservoir out of fluid.                ,<triplet> pilot <subj> gear <obj> item operated <triplet> gear <subj> pilot <obj> operator,gear,operator,pilot
95,52,"engine quit at 200 feet after takeoff due to water in the fuel. no pilot certificate, no annual.                   ",<triplet> pilot certificate <subj> annual <obj> different from <triplet> annual <subj> pilot certificate <obj> different from,pilot certificate,different from,annual
96,52,"engine quit at 200 feet after takeoff due to water in the fuel. no pilot certificate, no annual.                   ",<triplet> pilot certificate <subj> annual <obj> different from <triplet> annual <subj> pilot certificate <obj> different from,annual,different from,pilot certificate
97,53,"nose gear collapsed while waiting for takeoff. was being ferried from an earlier collapse, nose gear not braced.   ",<triplet> earlier collapse <subj> collapse <obj> instance of,earlier collapse,instance of,collapse
98,54,engine quit due to ice in the fuel system.                                                                         ,<triplet> engine <subj> fuel system <obj> part of <triplet> fuel system <subj> engine <obj> has part,engine,part of,fuel system
99,54,engine quit due to ice in the fuel system.                                                                         ,<triplet> engine <subj> fuel system <obj> part of <triplet> fuel system <subj> engine <obj> has part,fuel system,has part,engine
100,55,pilot unable to become airborne due to frost on the wings and falure to use full power.                            ,<triplet> pilot <subj> falure <obj> field of this occupation <triplet> falure <subj> pilot <obj> practiced by,pilot,field of this occupation,falure
101,55,pilot unable to become airborne due to frost on the wings and falure to use full power.                            ,<triplet> pilot <subj> falure <obj> field of this occupation <triplet> falure <subj> pilot <obj> practiced by,falure,practiced by,pilot
102,56,engine shut down due to low oil pressure. dip stick found to be missing.                                           ,<triplet> St. Petersburg <subj> Russia <obj> located in the administrative territorial entity <triplet> Russia <subj> St. Petersburg <obj> contains administrative territorial entity,St. Petersburg,located in the administrative territorial entity,Russia
103,56,engine shut down due to low oil pressure. dip stick found to be missing.                                           ,<triplet> St. Petersburg <subj> Russia <obj> located in the administrative territorial entity <triplet> Russia <subj> St. Petersburg <obj> contains administrative territorial entity,Russia,contains administrative territorial entity,St. Petersburg
104,57,pilot intended to fly locally after recent blizzard. engine quit after takeoff due to snow packed in engine cowl.  ,<triplet> recent blizzard <subj> snow <obj> has part,recent blizzard,has part,snow
105,58,"engine stopped shortly after takeoff from refueling. system, gascolator and carburetor contained water.            ",<triplet> gascolator <subj> refueling <obj> use,gascolator,use,refueling
106,59,engine stopped soon after lift off due to fuel exhaustion. pilot claims fuel gauge faulty.                         ,<triplet> fuel exhaustion <subj> fuel gauge <obj> has cause <triplet> fuel gauge <subj> fuel exhaustion <obj> has effect,fuel exhaustion,has cause,fuel gauge
107,59,engine stopped soon after lift off due to fuel exhaustion. pilot claims fuel gauge faulty.                         ,<triplet> fuel exhaustion <subj> fuel gauge <obj> has cause <triplet> fuel gauge <subj> fuel exhaustion <obj> has effect,fuel gauge,has effect,fuel exhaustion
108,60,pilot struck an unlighted barricade during taxi from landing.                                                      ,<triplet> unlighted <subj> taxi <obj> subclass of,unlighted,subclass of,taxi
109,61,"pilot made emergency landing due to low oil pressure. nearly out of oil, pilot had not checked it before takeoff.  ",<triplet> made emergency landing <subj> pilot had not checked it before takeoff <obj> has cause <triplet> pilot had not checked it before takeoff <subj> made emergency landing <obj> has effect,made emergency landing,has cause,pilot had not checked it before takeoff
110,61,"pilot made emergency landing due to low oil pressure. nearly out of oil, pilot had not checked it before takeoff.  ",<triplet> made emergency landing <subj> pilot had not checked it before takeoff <obj> has cause <triplet> pilot had not checked it before takeoff <subj> made emergency landing <obj> has effect,pilot had not checked it before takeoff,has effect,made emergency landing
111,62,engine began surging in flight. engine shut down. fuel contamination suspected.                                    ,<triplet> jet <subj> engine <obj> has part <triplet> engine <subj> jet <obj> part of,jet,has part,engine
112,62,engine began surging in flight. engine shut down. fuel contamination suspected.                                    ,<triplet> jet <subj> engine <obj> has part <triplet> engine <subj> jet <obj> part of,engine,part of,jet
113,63,electrical emergency followed jump start and takeoff. landing gear collapsed at touchdown.                         ,<triplet> takeoff <subj> landing <obj> followed by,takeoff,followed by,landing
114,64,"pilot lost directional control after touchdown. brakes were worn out, brake reservoir was empty.                   ",<triplet> lost directional control <subj> brake reservoir <obj> has cause <triplet> brake reservoir <subj> lost directional control <obj> has effect,lost directional control,has cause,brake reservoir
115,64,"pilot lost directional control after touchdown. brakes were worn out, brake reservoir was empty.                   ",<triplet> lost directional control <subj> brake reservoir <obj> has cause <triplet> brake reservoir <subj> lost directional control <obj> has effect,brake reservoir,has effect,lost directional control
116,65,"pilot lost fuel in flight due to fuel caps on backward. landed for fuel, non available. took off, ran out.         ",<triplet> lost fuel in flight <subj> fuel cap <obj> has cause <triplet> fuel cap <subj> lost fuel in flight <obj> has effect,lost fuel in flight,has cause,fuel cap
117,65,"pilot lost fuel in flight due to fuel caps on backward. landed for fuel, non available. took off, ran out.         ",<triplet> lost fuel in flight <subj> fuel cap <obj> has cause <triplet> fuel cap <subj> lost fuel in flight <obj> has effect,fuel cap,has effect,lost fuel in flight
118,66,"pilot noted aircraft light dimming on night flight. returned, gear handle down. gear collapsed on touchdown.       ",<triplet> pilot <subj> gear handle <obj> item operated <triplet> gear handle <subj> pilot <obj> operator,pilot,item operated,gear handle
119,66,"pilot noted aircraft light dimming on night flight. returned, gear handle down. gear collapsed on touchdown.       ",<triplet> pilot <subj> gear handle <obj> item operated <triplet> gear handle <subj> pilot <obj> operator,gear handle,operator,pilot
120,67,pilot over ran runway into a ditch due to brake failure. system needed to be purged of air.                        ,<triplet> over ran <subj> brake failure <obj> has cause <triplet> brake failure <subj> over ran <obj> has effect,over ran,has cause,brake failure
121,67,pilot over ran runway into a ditch due to brake failure. system needed to be purged of air.                        ,<triplet> over ran <subj> brake failure <obj> has cause <triplet> brake failure <subj> over ran <obj> has effect,brake failure,has effect,over ran
122,68,bolt in nose gear scissors came out during takeoff. nose wheel dropped out after liftoff.                          ,<triplet> nose wheel <subj> takeoff <obj> part of,nose wheel,part of,takeoff
123,69,engine stopped on final approach due to water contamination in the fuel system.                                    ,<triplet> 1988 Summer Olympics <subj> 1988 <obj> point in time,1988 Summer Olympics,point in time,1988
124,70,engine quit after lift off due to water in the fuel system.                                                        ,<triplet> 2000 Summer Olympics <subj> 2000 <obj> point in time,2000 Summer Olympics,point in time,2000
125,71,"pilot lost electrical power, extended gear manually. gear collapsed. both generator armatures extremely galled.    ",<triplet> generator <subj> armature <obj> has part <triplet> armature <subj> generator <obj> part of,generator,has part,armature
126,71,"pilot lost electrical power, extended gear manually. gear collapsed. both generator armatures extremely galled.    ",<triplet> generator <subj> armature <obj> has part <triplet> armature <subj> generator <obj> part of,armature,part of,generator
127,72,gear collapsed on rollout. pilot had electrical failure on final. failed to use emergency gear extension.          ,<triplet> electrical failure <subj> gear extension <obj> has cause <triplet> gear extension <subj> electrical failure <obj> has effect,electrical failure,has cause,gear extension
