Unnamed: 0,index,input,head,relation,tail,Syntactic Accuracy,Semantic Accuracy,Consistency,Hallucination,Note,Kate's Notes
832,466,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,PILOT RAN,part of,REMAINING,0.0,0.0,1.0,0.0,,
833,466,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,REMAINING,has part,PILOT RAN,0.0,0.0,1.0,0.0,,
834,467,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,ONE ENGINE,replaced by,AUXILIARY FUEL SYSTEM,1.0,0.0,1.0,0.0,,
835,467,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,AUXILIARY FUEL SYSTEM,replaces,ONE ENGINE,1.0,0.0,1.0,0.0,,
880,495,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",AIRPLANE,has part,BELLCRANK,1.0,1.0,1.0,0.0,,
881,495,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED",BELLCRANK,part of,AIRPLANE,1.0,1.0,1.0,0.0,,
910,514,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,RUDDER PEDAL,subclass of,AIRPLANE,1.0,0.0,1.0,0.0,,
1130,642,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",COWLING,located in the administrative territorial entity,TAKEOFF,0.0,0.0,1.0,0.0,,
1131,642,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ",COWLING,located in the administrative territorial entity,TAKEOFF,,,,,,
1155,656,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,DEPRESSURIZED,opposite of,PRESSURIZE,1.0,1.0,0.0,,"*to be consistent, opposite of should go both ways",Not strictly syntactically correct
1332,750,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,TAKEOFF,location,CARBURETOR BOWL,1.0,0.0,1.0,0.0,,
1413,795,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,Crash OCCURRED DURING FORCED LANDING,has cause,ENGINE FAILURE DURING TAKEOFF,1.0,1.0,1.0,0.0,,"Crash occurred during forced landing is not a noun phrase, so it can't be syntactically correct"
1414,795,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,ENGINE FAILURE DURING TAKEOFF,has effect,Crash OCCURRED DURING FORCED LANDing,1.0,1.0,1.0,0.0,,""""
1447,817,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,NOSEWHEEL,subclass of,STEERING,0.0,0.0,1.0,0.0,,
1515,856,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,ICING,different from,IFR,0.0,0.0,0.0,0.0,,"That's consistent, isn't it?"
1516,856,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,IFR,different from,ICING,0.0,0.0,0.0,0.0,,""""
1578,891,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,AEROBATICS,uses,ENGINE,1.0,1.0,1.0,0.0,,
1587,896,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,TOUCHED,different from,BOUNCED,0.0,0.0,0.0,0.0,,""""
1588,896,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,BOUNCED,different from,TOUCHED,0.0,0.0,0.0,0.0,,""""
1614,914,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,STICK BOOT,part of,ELEVATOR CABLE,1.0,1.0,1.0,0.0,,
1786,1006,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,NOSE GEAR,has part,PIN,1.0,1.0,1.0,0.0,,
1787,1006,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,PIN,part of,NOSE GEAR,1.0,1.0,1.0,0.0,,
1816,1024,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,CARGO,subclass of,AIRCRAFT,1.0,0.0,1.0,0.0,,Funny because that's true but not in the way rebel meant it
1836,1033,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,TAILWHEEL,part of,LANDING,1.0,0.0,1.0,0.0,,
1837,1033,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,LANDING,has part,TAILWHEEL,1.0,0.0,1.0,0.0,,
1845,1037,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,TAKEOFF,instance of,AIRCRAFT,1.0,0.0,1.0,0.0,,
1859,1045,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,NOSED OVER,subclass of,OVERHEAT,0.0,0.0,1.0,0.0,,
1977,1117,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,ATC,replaced by,TCA,1.0,0.0,1.0,0.0,,
1978,1117,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,TCA,replaces,ATC,1.0,0.0,1.0,0.0,,
2002,1135,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,TAKEOFF,manufacturer,NOSE GEAR,1.0,0.0,1.0,0.0,,
2026,1151,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",PILOT,field of this occupation,TAXIING,1.0,1.0,1.0,0.0,,"I'd say taxiing is a field of being a pilot, not the other way aroudn."
2027,1151,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ",TAXIING,practiced by,PILOT,1.0,1.0,1.0,0.0,,Yes
2115,1210,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ",CANOPY,has cause,CLIMBOUT,1.0,0.0,1.0,0.0,,
2116,1210,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ",CLIMBOUT,has effect,CANOPY,1.0,0.0,1.0,0.0,,
2117,1211,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,AIRBORNE,different from,TAKEOFF,0.0,0.0,0.0,0.0,,
2118,1211,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,TAKEOFF,different from,AIRBORNE,0.0,0.0,0.0,0.0,,
2164,1240,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",PILOT ERROR,has cause,CIRCUIT BREAKER,1.0,1.0,1.0,0.0,,I don't think this is semantically accurate
2165,1240,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",CIRCUIT BREAKER,has effect,PILOT ERROR,1.0,1.0,1.0,0.0,,""""
2203,1263,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ",COPPER TUBE,has part,BANNERS,1.0,0.0,1.0,0.0,,
2204,1263,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ",BANNERS,part of,COPPER TUBE,1.0,0.0,1.0,0.0,,
2278,1297,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,CITY STREET,located in the administrative territorial entity,TOLERENCE,1.0,0.0,1.0,0.0,,
2299,1311,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,FUEL TANK EMPTY,product or material produced,FUEL,0.0,0.0,0.0,0.0,,
2449,1393,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,INSUFFICIENT NUMBER OF SEATS,has part,OXYGEN MASKS,0.0,0.0,1.0,0.0,,
2450,1393,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,OXYGEN MASKS,part of,INSUFFICIENT NUMBER OF SEATS,0.0,0.0,1.0,0.0,,
2482,1406,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,PILOTS SEAT,part of,AIRCRAFT,1.0,1.0,1.0,0.0,,
2483,1406,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,AIRCRAFT,has part,PILOTS SEAT,1.0,1.0,1.0,0.0,,
2562,1457,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,FERRY,instance of,PONTOON,1.0,0.0,1.0,0.0,,
2631,1494,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,GAS ESCAPING,has cause,TAXIING,1.0,0.0,1.0,0.0,,
2632,1494,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,TAXIING,has effect,GAS ESCAPING,1.0,0.0,1.0,0.0,,
2707,1534,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,STALLED,different from,CRASHED,0.0,0.0,0.0,0.0,,
2708,1534,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,CRASHED,different from,STALLED,0.0,0.0,0.0,0.0,,
2794,1583,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,LIFTOFF,subclass of,PILOT,1.0,0.0,1.0,0.0,,
2844,1612,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ",SOD,has part,STRIP,1.0,0.0,1.0,0.0,,
2845,1612,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ",SOD,has part,STRIP,,,,,,
2846,1612,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ",STRIP,part of,SOD,,,,,,
2847,1612,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ",STRIP,part of,SOD,1.0,0.0,1.0,0.0,,
2991,1693,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,PILOT,uses,AIRCRAFT,1.0,1.0,1.0,0.0,,
2992,1693,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,AIRCRAFT,used by,PILOT,1.0,1.0,1.0,0.0,,
3058,1724,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,LEFT FUEL CAP,facet of,GRAVITY FUEL FLOW,1.0,1.0,1.0,0.0,,I don't think that's correct
3064,1728,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,AIRCRAFT,has part,MANUAL,1.0,1.0,1.0,0.0,,"I could go either way on this, but leaning toward that that is not right since the manual is just in the aircraft, not an inherent part of it."
3065,1728,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,MANUAL,part of,AIRCRAFT,1.0,1.0,1.0,0.0,,""""
3144,1772,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,H71,located in the administrative territorial entity,VMC,1.0,0.0,1.0,0.0,,
3145,1773,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,BATTERY COMPARTMENT,has part,WINDSHIELD,1.0,0.0,1.0,0.0,,
3146,1773,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,WINDSHIELD,part of,BATTERY COMPARTMENT,1.0,0.0,1.0,0.0,,
3275,1846,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO",N7016M,point in time,"MARCH 14, 1995",1.0,0.0,1.0,0.0,,
3313,1867,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,AIRPOR,product or material produced,OIL,1.0,0.0,1.0,0.0,,
3330,1875,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,CLIMBOUT,has part,AILERON,1.0,0.0,1.0,0.0,,
3331,1875,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,AILERON,part of,CLIMBOUT,1.0,0.0,1.0,0.0,,
3341,1882,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,FUEL,has part,SUMP,1.0,0.0,1.0,0.0,,
3342,1882,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,SUMP,part of,FUEL,1.0,0.0,1.0,0.0,,
3343,1882,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,SUMP,part of,FUEL,,,,,,
3344,1882,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,FUEL,has part,SUMP,,,,,,
3350,1887,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU",CESSNA 207,start point,BETHEL AIRPORT,1.0,1.0,1.0,0.0,,Good!
3399,1920,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.",LIFTING,subclass of,ENGINE,0.0,0.0,1.0,0.0,,
3430,1940,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,NOSE BAGGAGE,part of,OCEAN,1.0,0.0,1.0,0.0,,
3431,1940,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,OCEAN,has part,NOSE BAGGAGE,1.0,0.0,1.0,0.0,,
