index,c5_unique_id,c119_text,Kate,Alyssa,Jonathan,Combined,,Notes,Priscila_GPT_Agent
2331,19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","PILOT, TAKEOFF, ENGINE","PILOT, TAKEOFF, ENGINE, POWER","PILOT, TAKEOFF, ENGINE, POWER","PILOT, TAKEOFF, ENGINE, POWER",,,SHORTLY AFTER TAKEOFF; ENGINE 'STARTED CUTTING OUT; NOT DEVELOPING ENOUGH POWER
642,19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","COWLING, TAKEOFF, COWLING, LAND, WINDSHIELD, STABILIZER","COWLING, TAKEOFF, LAND, WINDSHIELD, STABILIZER","COWLING, TAKEOFF, LAND, CRACKED WINDSHIELD, GROUND, LANDED","COWLING, TAKEOFF, COWLING, LAND, WINDSHIELD, STABILIZER",,,LOOSE COWLING ON TAKEOFF; COWLING CAME OFF ON RETURNING TO LAND; CRACKED WINDSHIELD; DENTED STABILIZER
1728,19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"AIRCRAFT, DESCENT, FLIGHT MANUAL, TRUCK, WINDSHIELD, GROUND","AIRCRAFT, DESCENT, FLIGHT MANUAL, TRUCK WINDHSIELD, GROUND","AIRCRAFT, FLIGHT MANUAL, WINDSHIELD, GROUND","AIRCRAFT, DESCENT, FLIGHT MANUAL, TRUCK, WINDSHIELD, GROUND",,,AIRCRAFT POPPED OPEN ON DESCENT; FLIGHT MANUAL FLEW OUT; STRUCK TRUCK WINDSHIELD ON GROUND; LANDED SAFELY
2064,19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"NR2 ENGINE, FIRE, PASSENGERS, GATE, FUEL LEVER, SMOKE","ENGINE FIRE, PASSENGERS, GATE, FUEL LEVER, SMOKE, FLIGHT","ENGINE FIRE, PASSANGERS, GATE, FUREL LEVEL, SMOKE","NR2 ENGINE, ENGINE FIRE, PASSENGERS, GATE, FUEL LEVER, SMOKE",,"Using engine twice because we wanted to pull out ""nr2 engine"" (specific type of engine) and ""engine fire"" (relevant incident)",NR2 ENGINE FIRE; LOADING PASSENGERS AT GATE; EVACUATED; FUEL LEVER WAS IN FLIGHT IDLE; CUT OFF; SMOKE CLEARED
1867,19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"OIL, TEMP, GEAR, OIL","AIRPORT, MAIN GEAR, OIL, OIL TEMP","OIL TEMP, AIRPORT, MAIN GEAR, OIL","OIL TEMP, GEAR, OIL",,,AFTER DEPARTING; HIGH OIL TEMP; LANDED OFF AIRPOR; SHEARED MAIN GEAR; FOUND LOW ON OIL
1773,19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"BATTERY COMPARTMENT DOOR, ANTENNA, WINDSHIELD","BATTERY COMPARTMENT DOOR, ANTENNA, WINDSHEILD","BATTERY COMPARTMENT DOOR, ANTENNA, WINDSHIELD","BATTERY COMPARTMENT DOOR, ANTENNA, WINDSHIELD",,,BATTERY COMPARTMENT DOOR CAME OPEN; ANTENNA CRACKED WINDSHIELD
1006,19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"NOSE GEAR, PIN","NOSE GEAR, PIN, MAINTENANCE","NOSE GEAR, PIN, MAINTENANCE","NOSE GEAR, PIN, MAINTENANCE",,,RETURNED WHEN NOSE GEAR FAILED TO RETRACT; FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE
289,19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"GROUND STAND, BAGGAGE CART, BRAKES, AIRCRAFT, FUSELAGE","BAGGAGE CART, BRAKES, AIRCRAFT, TEAR, FUSELAGE","BAGGAGE CART, BRAKES, AIRCRAFT, TEAR, FUSELAGE","STAND, BAGGAGE CART, BRAKES, AIRCRAFT, TEAR, FUSELAGE",,"Unsure of how to treat ""ground stand baggage cart""",GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES; ROLLED INTO SIDE OF PARKED AIRCRAFT; 9 INCH TEAR IN FUSELAGE
2352,20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"NORTHWEST AIRLINES, DC-10, BOEING, B-52, CONTINENTAL AIRLINES","NORTHWEST AIRLINES, CONTINENTAL AIRLINES, GATE","NORTHWEST AIRLINES, DC-10 BOEING, GATE B-52, AIRLINES D","NORTHWEST AIRLINES, DC-10, BOEING, GATE B-52, CONTINENTAL AIRLINES",,,NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52; STRUCK A CONTINENTAL AIRLINES D
1045,19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"ENGINE, OIL, AIR INTAKE PLUGS","ENGINE, OIL SMELL, AIR INTAKE PLUGS, FURROWS","ENGINE, OIL HE, AIR INTAKE PLUGS, FURROWS PLOWED","ENGINE, OIL SMELL, AIR INTAKE PLUGS, FURROWS",,"Unsure of what the span of ""furrows"" was",ENGINE OVERHEAT; HOT OIL SMELL; FAILED TO REMOVE AIR INTAKE PLUGS; NOSED OVER IN FURROWS PLOWED FAILED
656,19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"PILOT, ACCESS DOOR, DOOR, FUSELAGE","PILOT, ACCESS DOOR, FUSELAGE","PILOT, PRESSURIZE, ACCESS DOOR, DEPRESSURIZED, DOOR, FUSELAGE","PILOT, ACCESS DOOR, DOOR, FUSELAGE",,"Pressurize and depressurized significant but hard to call ""entities"" per se",PILOT UNABLE TO PRESSURIZE; FOUND ACCESS DOOR SLIGHTLY OPEN; DEPRESSURIZED; DOOR OPENED FULLY; STOPPED BY FUSELAGE
514,19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"RUNWAY, LANDING, AIRPLANE, CARPETING, RUDDER PEDAL","RUNWAY, LANDING, AIRPLANE, CARPETING, PUDDER PEDAL MOVEMENT","RUNWAY, LANDING, AIRPLANE, CARPETING, RUDDER PEDDLE","RUNWAY, LANDING, AIRPLANE, CARPETING, RUDDER PEDAL",,,VEERED OFF RUNWAY ON LANDING; HIT PARKED AIRPLANE; NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT
2212,19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"TAXIWAY, TAXIWAY LIGHT, PROP","TAXIWAY, TAXIWAY LIGHT,","TAXIWAY, TAXIWAY LIGHT, PROP","TAXIWAY, TAXIWAY LIGHT, PROP",,,VEERED OFF TAXIWAY; STRUCK TAXIWAY LIGHT; WAS ADVISED DAMAGED PROP; CONTINUED TO LIT
1494,19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"FUEL CAP, TANK, GAS, CAP, FLIGHT, WING","FUEL CAP, TANK, GAS, CAP, FLIGHT, WING","FUEL CAP, TANK, GAS, CAP, WING","FUEL CAP, RIGHT TANK, GAS, CAP, FLIGHT, WING",,,FUEL CAP MISSING FROM RIGHT TANK; GAS ESCAPING WHILE TAXIING; REPLACED CAP; RESUMED FLIGHT WITHOUT CLEANING WING
2600,20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","JULY 13, 2005, 1535 MT, RAYTHEON AIRCRAFT CO., B36TC (BONANZA), N3042V, HAVENS LEASING","JULY 13, 2005, RAYTHEON ARICRAFT, HAVENS LEASING","JULY 13, 2005, 1535 MST, RAYTHEON AIRCRAFT CO, B36TC, BONANZA, N3042V","JULY 13, 2005, 1535 MST, RAYTHEON AIRCRAFT CO, B36TC, BONANZA, N3042V, HAVENS LEASING",,,"JULY 13, 2005, AT 1535 MST; RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V; REGISTERED TO HAVENS LEASING"
1037,19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"ENGINE, TAKEOFF, AIRCRAFT, LANDING, PILOT, TANKS, WATER, FUEL","ENGINE, AIRCRAFT, LANDING, PILOT, TANKS, WATER, FUEL","ENGINE, POWER, TAKEOFF, AIRCRAFT, LANDING, PILOT, TANKS, WATER, FUEL","ENGINE, POWER, TAKEOFF, AIRCRAFT, LANDING, PILOT, TANKS, WATER, FUEL",,,ENGINE LOST POWER ON TAKEOFF; AIRCRAFT FLIPPED ON LANDING; PILOT HAD JUST FILLED TANKS; WATER IN FUEL
750,19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"ENGINE, TAKEOFF, ROAD, ICE, CARBURETOR BOWL","ENGINE, TAKEOFF, ROAD, ICE, CARBUERATOR BOWL","ENGINE, TAKEOFF, ROAD, ICE, CARBURETOR BOWL","ENGINE, TAKEOFF, ROAD, ICE, CARBURETOR BOWL",,,ENGINE FAILED AFTER TAKEOFF; TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE; FOUND SOLID ICE IN CARBURETOR BOWL
1875,19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"CLIMBOUT, TOW RELEASE, AILERON","CLIMBOUT, TOW RELEASE, AILERON",,"CLIMBOUT, TOW RELEASE, RIGHT AILERON",,,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE; ROLLED BOTH WAYS; SPIRAL TO IMPACT; NEGLECTED TO CONNECT RIGHT AILERON
2243,19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"AIRCRAFT, GEAR, NOSE BLOCK","AIRCRAFT, MAINTENANCE, GEAR, NOSE BLOCK",,"AIRCRAFT, MAINTENANCE, GEAR, NOSE BLOCK",,,AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE; GEAR BLOCKED DOWN; NOSE BLOCK FELL OUT DURING
1967,19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"TRAILER, TIE DOWN, SKID, PILOT","TRAILER, PILOT",,"TRAILER, TIE DOWN, SKID, PILOT",,"* ""tie down"" appears throughout, sometimes labeled differently",FAILED TO DETACH TRAILER TIE DOWN FROM SKID; LOST CONTROL AND ROLLED ON LIFT OFF; PILOT FAILED TO FULLY DETAC
229,19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"AIRCRAFT, RUNWAY, SNOW BANK, FROST, AIRFRAME","AIRCRAFT, RUNWAY, SNOW BANK, FROST, AIRFRAME",,"AIRCRAFT, LIFTOFF, RUNWAY, SNOW BANK, FROST, AIRFRAME",,"* liftoff is used as a verb, syntactically sketchy",AIRCRAFT FAILED TO LIFTOFF RUNWAY; RAN OFF END INTO SNOW BANK; FROST ON AIRFRAME
891,19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"ENGINE, POWER FAILURE, AEROBATICS, FIELD, PILOT, FUEL TANKS","ENGINE POWER FAILURE, AEROBATICS, FIELD, PILOT, FUEL TANKS",,"ENGINE, POWER FAILURE, AEROBATICS, FIELD, PILOT, FUEL TANKS",,,ENGINE POWER FAILURE WHILE DOING AEROBATICS; LANDED IN FIELD; PILOT DID NOT VISUALLY INSPECT FUEL TANKS
144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"TAKEOFF, BAGGAGE DOOR","TAKEOFF, BAGGAGE DOOR",,"TAKEOFF, BAGGAGE DOOR",,,ABORTED TAKEOFF; FRONT BAGGAGE DOOR; POPPED OPEN
178,19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"PILOT, DITCH, TAXIWAY","PILOT, DITCH, TAXIWAY",,"PILOT, DITCH, TAXIWAY",,,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY
1211,19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"TAKEOFF, TREE, MAG SWITCH, ONE","TAKEOFF, TREE, MAG SWITCH",,"TAKEOFF, TREE, MAG SWITCH, ONE MAG",,,UNABLE TO STAY AIRBORNE ON TAKEOFF; ABORTED AND GROUND LOOPED INTO A TREE; TO AVOID OVERRUN; MAG SWITCH ON ONE MAG
2210,19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"PILOT, FRONT RANGE AIRPORT, START AND RUN","PILOT, AIRPORT, HOURS OF DARKNESS, START AND RUN",,"PILOT, FRONT RANGE AIRPORT, HOURS OF DARKNESS, START AND RUN",,** hours of darkness is a time,ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT; DURING THE HOURS OF DARKNESS; DURING THE START AND RUN
1135,19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"TAKEOFF, PIN, NOSE GEAR","NOSE GEAR, TAKEOFF, PIN",,"TAKEOFF, PIN, NOSE GEAR",,,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF; RETURNED AND FOUND PIN WAS INSTALLED
2592,20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","SIKORSKY, S-70A, N160LA, APU DOOR, ROTOR BLADE","SIKORSKY S-70A, VIBRATION, APU DOOR ROTOR BLADE",,"SIKORSKY, S-70A, N160LA, VIBRATION, APU DOOR, ROTOR BLADE",,,"SIKORSKY S-70A, N160LA; VIBRATION; APU DOOR; MAIN ROTOR BLADE; INFLIGHT"
2598,20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"PILOT, AIRCRAFT, TAXIWAY, CARGO TRIP","PILOT, AIRCRAFT, CARGO TRIP, TAXIWAY",,"PILOT, AIRCRAFT, CARGO TRIP, TAXIWAY",,,PILOT; TAXIING; AIRCRAFT; CARGO TRIP; TAXIWAY
1393,19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"LANDING, SEATS, OXYGEN MASKS, PASSENGERS","SEATS, OXYGEN MASKS, PASSENGERS",,"LANDING, SEATS, OXYGEN MASKS, PASSENGERS",,,LANDING; INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS; PASSENGERS ONBOARD
2030,19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"CARGO DOOR, TAKEOFF, BOWEN, STEVEN'S VILLAGE","CARGO DOOR, TAKEOFF, MR.BOWEN, RUNWAY CONDITIONS, STEVEN'S VILLAGE",,"CARGO DOOR, TAKEOFF, MR.BOWEN, RUNWAY CONDITIONS, STEVEN'S VILLAGE",,runway conditions?,CARGO DOOR; LATCHED; TAKEOFF; MR. BOWEN; RUNWAY CONDITIONS; STEVEN'S VILLAGE
2051,19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"TIEDOWN CHAINS, PILOT, RAMP PERSON, SKIDS, WIND","TAXI, CHAINS, PILOT, RAMP PERSON, WIND",,"TIEDOWN CHAINS, PILOT, RAMP PERSON, SKIDS, WIND",,,TAXI; TIEDOWN CHAINS ATTACHED; ROLLED OVER; PILOT; RAMP PERSON; HIGH WIND
160,19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"BAGGAGE CART, AIRCRAFT, JET BLAST, BRAKES, CART","BAGGAGE CART, AIRCRAFT, JET BLAST, BRAKES, CART",,"BAGGAGE CART, AIRCRAFT, JET BLAST, BRAKES, CART",,,BAGGAGE CART; BLOWN INTO PARKED AIRCRAFT; JET BLAST; BRAKES WERE INOPERATIVE
8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,GLIDER,"OPPORTUNITY, GLIDER, ALTITUDE",,"GLIDER, ALTITUDE",,,GLIDER; NOSE HIGH ATTITUDE; SUFFICIENT OPPORTUNITY
2630,20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"HELICOPTER, ENGINE, POWER CHECKS, PILOT, CREWMEMBER","PRIVACY DATA, HELICOPTER ENGINE, POWER CHECKS, PILOT, CREWMEMBER",,"HELICOPTER, ENGINE, POWER CHECKS, PILOT, CREWMEMBER",,"include ""privacy data""?",HELICOPTER; ENGINE POWER CHECKS; PILOT; CREWMEMBER
1693,19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"PILOT, AIRCRAFT, TAKEOFF ROLL, PILOTS, SEAT","PILOT, CONTROL, AIRCRAFT, TAKEOFF, SEAT, POSITION, ACCELERATION",,"PILOT, LOST CONTROL, AIRCRAFT, TAKEOFF ROLL, PILOTS, SEAT, POSITION, ACCELERATION",,acceleration,PILOT; LOST CONTROL; AIRCRAFT; TAKEOFF ROLL; PILOT'S SEAT; SLID AFT ON ACCELERATION
495,19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","NOSE STRUT, BELLCRANK","NOSE STRUT, RETRACTION, AIRPLANE, BELLCRANK",,"NOSE STRUT, RETRACTION, AIRPLANE, BELLCRANK",,retraction,FLAT NOSE STRUT; FAILED TO EXTEND; BEFORE RETRACTION; AIRPLANE STRUCTURE; BELLCRANK; COLLAPSED
2299,19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"SLOPE, FUEL, FUEL","POWER, LANDING, SLOPE, EVIDENECE, FUEL, SCENE",,"POWER, LANDING, SLOPE, EVIDENCE, FUEL, SCENE",,,LOST POWER ENROUTE; NOSED OVER; LANDING ON A SLOPE; NO EVIDENCE OF FUEL AT SCENE
1772,19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"ENGINE, H71, OIL LEAK, ENGINE, CASE","LEFT ENGINE, H71, VMC, OIL, ENGINE CASE",,"LEFT ENGINE, H71, VMC, OIL LEAK, ENGINE CASE",,,LOST LEFT ENGINE; NEAR H71; FEATHERED; HIGH; GO AROUND BELOW VMC; CRASHED; BAD OIL LEAK; CRACKED ENGINE CASE
