c5,c119,c119_coref,c119_ner,c119_pos,c119_lemmatized,c119_dependency,c119_sentiment,corefs
19841113071509I,"NOSE GEAR COLLAPSED ON ROLLOUT. TURN STOP ON STRUT COLLAR SHEARED, TRUNION SPREAD. PROBABLY FROM TOWING AIRCRAFT.  ",[],"[('NOSE', 'PERSON')]","[('NOSE', 'PROPN'), ('GEAR', 'PROPN'), ('COLLAPSED', 'VERB'), ('ON', 'ADP'), ('ROLLOUT', 'PROPN'), ('.', 'PUNCT'), ('TURN', 'PROPN'), ('STOP', 'PROPN'), ('ON', 'ADP'), ('STRUT', 'PROPN'), ('COLLAR', 'PROPN'), ('SHEARED', 'PROPN'), (',', 'PUNCT'), ('TRUNION', 'PROPN'), ('SPREAD', 'PROPN'), ('.', 'PUNCT'), ('PROBABLY', 'PROPN'), ('FROM', 'ADP'), ('TOWING', 'PROPN'), ('AIRCRAFT', 'PROPN'), ('.', 'PUNCT'), (' ', 'SPACE')]","['NOSE', 'GEAR', 'collapse', 'on', 'ROLLOUT', '.', 'TURN', 'STOP', 'on', 'STRUT', 'COLLAR', 'SHEARED', ',', 'TRUNION', 'SPREAD', '.', 'PROBABLY', 'from', 'TOWING', 'AIRCRAFT', '.', ' ']","[('NOSE', 'compound', 'GEAR'), ('GEAR', 'compound', 'ROLLOUT'), ('COLLAPSED', 'compound', 'ROLLOUT'), ('ON', 'compound', 'ROLLOUT'), ('ROLLOUT', 'ROOT', 'ROLLOUT'), ('.', 'punct', 'ROLLOUT'), ('TURN', 'compound', 'SHEARED'), ('STOP', 'compound', 'SHEARED'), ('ON', 'compound', 'SHEARED'), ('STRUT', 'compound', 'SHEARED'), ('COLLAR', 'compound', 'SHEARED'), ('SHEARED', 'ROOT', 'SHEARED'), (',', 'punct', 'SHEARED'), ('TRUNION', 'compound', 'SPREAD'), ('SPREAD', 'npadvmod', 'SHEARED'), ('.', 'punct', 'SHEARED'), ('PROBABLY', 'ROOT', 'PROBABLY'), ('FROM', 'prep', 'PROBABLY'), ('TOWING', 'compound', 'AIRCRAFT'), ('AIRCRAFT', 'pobj', 'FROM'), ('.', 'punct', 'PROBABLY'), (' ', '', '.')]",0.0,[]
19841031065119I,PART OF ENGINE COWLING SEPARATED DUE TO IMPROPER LATCHING. PILOT RETURNED TO AIRPORT FOR EMERGENCY LANDING.        ,[],"[('EMERGENCY LANDING', 'ORG')]","[('PART', 'NOUN'), ('OF', 'ADP'), ('ENGINE', 'PROPN'), ('COWLING', 'NOUN'), ('SEPARATED', 'VERB'), ('DUE', 'NOUN'), ('TO', 'ADP'), ('IMPROPER', 'PROPN'), ('LATCHING', 'PROPN'), ('.', 'PUNCT'), ('PILOT', 'NOUN'), ('RETURNED', 'VERB'), ('TO', 'ADP'), ('AIRPORT', 'NOUN'), ('FOR', 'ADP'), ('EMERGENCY', 'PROPN'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('       ', 'SPACE')]","['part', 'of', 'ENGINE', 'cowling', 'separate', 'due', 'to', 'IMPROPER', 'LATCHING', '.', 'pilot', 'return', 'to', 'airport', 'for', 'EMERGENCY', 'landing', '.', '       ']","[('PART', 'ROOT', 'PART'), ('OF', 'prep', 'PART'), ('ENGINE', 'compound', 'LATCHING'), ('COWLING', 'compound', 'LATCHING'), ('SEPARATED', 'compound', 'LATCHING'), ('DUE', 'nmod', 'LATCHING'), ('TO', 'prep', 'DUE'), ('IMPROPER', 'compound', 'LATCHING'), ('LATCHING', 'pobj', 'OF'), ('.', 'punct', 'PART'), ('PILOT', 'compound', 'RETURNED'), ('RETURNED', 'compound', 'AIRPORT'), ('TO', 'compound', 'AIRPORT'), ('AIRPORT', 'ROOT', 'AIRPORT'), ('FOR', 'prep', 'AIRPORT'), ('EMERGENCY', 'compound', 'LANDING'), ('LANDING', 'pobj', 'FOR'), ('.', 'punct', 'AIRPORT'), ('       ', '', '.')]",-0.125,[]
19841108073989I,RETURNED THINKING HYDRAULIC PUMP FOR NOSE GEAR FAILED. FOUND NOSE GEAR PIN HAD NOT BEEN REMOVED.                   ,[],"[('HYDRAULIC', 'ORG'), ('NOSE', 'PERSON')]","[('RETURNED', 'NOUN'), ('THINKING', 'VERB'), ('HYDRAULIC', 'NOUN'), ('PUMP', 'VERB'), ('FOR', 'ADP'), ('NOSE', 'PROPN'), ('GEAR', 'PROPN'), ('FAILED', 'VERB'), ('.', 'PUNCT'), ('FOUND', 'PROPN'), ('NOSE', 'PROPN'), ('GEAR', 'PROPN'), ('PIN', 'PROPN'), ('HAD', 'VERB'), ('NOT', 'ADV'), ('BEEN', 'VERB'), ('REMOVED', 'VERB'), ('.', 'PUNCT'), ('                  ', 'SPACE')]","['RETURNED', 'think', 'hydraulic', 'PUMP', 'for', 'NOSE', 'GEAR', 'fail', '.', 'FOUND', 'NOSE', 'GEAR', 'PIN', 'have', 'not', 'be', 'remove', '.', '                  ']","[('RETURNED', 'compound', 'HYDRAULIC'), ('THINKING', 'compound', 'HYDRAULIC'), ('HYDRAULIC', 'nsubj', 'PUMP'), ('PUMP', 'ROOT', 'PUMP'), ('FOR', 'prep', 'PUMP'), ('NOSE', 'compound', 'GEAR'), ('GEAR', 'compound', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('.', 'punct', 'FAILED'), ('FOUND', 'ROOT', 'FOUND'), ('NOSE', 'compound', 'PIN'), ('GEAR', 'compound', 'PIN'), ('PIN', 'nsubj', 'REMOVED'), ('HAD', 'aux', 'REMOVED'), ('NOT', 'neg', 'REMOVED'), ('BEEN', 'intj', 'REMOVED'), ('REMOVED', 'ccomp', 'FOUND'), ('.', 'punct', 'REMOVED'), ('                  ', '', '.')]",-0.5,[]
19841121073629I,"ENGINE QUIT AFTER TAKEOFF. LANDED IN FIELD. 2 QUARTS OF WATER IN LEFT FUEL TANK, WATER IN CARBURETOR, GASCOLATOR.  ",[],"[('ENGINE', 'ORG'), ('TAKEOFF', 'ORG'), ('2', 'CARDINAL')]","[('ENGINE', 'PROPN'), ('QUIT', 'PROPN'), ('AFTER', 'ADP'), ('TAKEOFF', 'NOUN'), ('.', 'PUNCT'), ('LANDED', 'PROPN'), ('IN', 'ADP'), ('FIELD', 'PROPN'), ('.', 'PUNCT'), ('2', 'NUM'), ('QUARTS', 'PROPN'), ('OF', 'ADP'), ('WATER', 'NOUN'), ('IN', 'ADP'), ('LEFT', 'PROPN'), ('FUEL', 'PROPN'), ('TANK', 'PROPN'), (',', 'PUNCT'), ('WATER', 'PROPN'), ('IN', 'ADP'), ('CARBURETOR', 'PROPN'), (',', 'PUNCT'), ('GASCOLATOR', 'PROPN'), ('.', 'PUNCT'), (' ', 'SPACE')]","['ENGINE', 'QUIT', 'after', 'takeoff', '.', 'LANDED', 'in', 'FIELD', '.', '2', 'QUARTS', 'of', 'water', 'in', 'LEFT', 'FUEL', 'TANK', ',', 'WATER', 'in', 'CARBURETOR', ',', 'GASCOLATOR', '.', ' ']","[('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('AFTER', 'prep', 'QUIT'), ('TAKEOFF', 'pobj', 'AFTER'), ('.', 'punct', 'QUIT'), ('LANDED', 'ROOT', 'LANDED'), ('IN', 'prep', 'LANDED'), ('FIELD', 'pobj', 'IN'), ('.', 'punct', 'LANDED'), ('2', 'nummod', 'QUARTS'), ('QUARTS', 'ROOT', 'QUARTS'), ('OF', 'prep', 'QUARTS'), ('WATER', 'pobj', 'OF'), ('IN', 'prep', 'QUARTS'), ('LEFT', 'compound', 'TANK'), ('FUEL', 'compound', 'TANK'), ('TANK', 'pobj', 'IN'), (',', 'punct', 'QUARTS'), ('WATER', 'conj', 'QUARTS'), ('IN', 'prep', 'WATER'), ('CARBURETOR', 'pobj', 'IN'), (',', 'punct', 'WATER'), ('GASCOLATOR', 'npadvmod', 'WATER'), ('.', 'punct', 'WATER'), (' ', '', '.')]",0.0,[]
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,[],"[('2', 'CARDINAL'), ('OPEN', 'ORG')]","[('WHILE', 'ADP'), ('TAXIING', 'NOUN'), ('LOST', 'VERB'), ('NOSEWHEEL', 'PROPN'), ('STEERING', 'PROPN'), ('AND', 'CCONJ'), ('BRAKES', 'PROPN'), ('.', 'PUNCT'), ('STRUCK', 'VERB'), ('2', 'NUM'), ('AIRCRAFT', 'NOUN'), ('AND', 'CCONJ'), ('FENCE', 'NOUN'), ('.', 'PUNCT'), ('CIRCUIT', 'NOUN'), ('BREAKER', 'NOUN'), ('HYDRAULIC', 'PROPN'), ('PUMP', 'VERB'), ('OPEN', 'PROPN'), ('.', 'PUNCT')]","['while', 'taxiing', 'lose', 'NOSEWHEEL', 'STEERING', 'and', 'BRAKES', '.', 'strike', '2', 'aircraft', 'and', 'FENCE', '.', 'circuit', 'BREAKER', 'HYDRAULIC', 'PUMP', 'OPEN', '.']","[('WHILE', 'mark', 'LOST'), ('TAXIING', 'nsubj', 'LOST'), ('LOST', 'ROOT', 'LOST'), ('NOSEWHEEL', 'compound', 'STEERING'), ('STEERING', 'dobj', 'LOST'), ('AND', 'cc', 'STEERING'), ('BRAKES', 'conj', 'STEERING'), ('.', 'punct', 'LOST'), ('STRUCK', 'ROOT', 'STRUCK'), ('2', 'nummod', 'AIRCRAFT'), ('AIRCRAFT', 'dobj', 'STRUCK'), ('AND', 'cc', 'AIRCRAFT'), ('FENCE', 'conj', 'AIRCRAFT'), ('.', 'punct', 'STRUCK'), ('CIRCUIT', 'nsubj', 'PUMP'), ('BREAKER', 'compound', 'HYDRAULIC'), ('HYDRAULIC', 'nsubj', 'PUMP'), ('PUMP', 'ROOT', 'PUMP'), ('OPEN', 'dobj', 'PUMP'), ('.', 'punct', 'PUMP')]",0.0,[]
19841117062449A,"PILOT LEFT FUEL STRAINER VALVE IN THE OPEN POSITION. FUEL STARVATION, BOTH ENGINES QUIT, EMERGENCY LANDING.        ",[],"[('EMERGENCY', 'ORG')]","[('PILOT', 'PROPN'), ('LEFT', 'VERB'), ('FUEL', 'VERB'), ('STRAINER', 'PROPN'), ('VALVE', 'VERB'), ('IN', 'ADP'), ('THE', 'DET'), ('OPEN', 'ADJ'), ('POSITION', 'NOUN'), ('.', 'PUNCT'), ('FUEL', 'NOUN'), ('STARVATION', 'PROPN'), (',', 'PUNCT'), ('BOTH', 'DET'), ('ENGINES', 'PROPN'), ('QUIT', 'PROPN'), (',', 'PUNCT'), ('EMERGENCY', 'PROPN'), ('LANDING', 'NOUN'), ('.', 'PUNCT'), ('       ', 'SPACE')]","['PILOT', 'leave', 'fuel', 'STRAINER', 'VALVE', 'in', 'the', 'open', 'position', '.', 'fuel', 'STARVATION', ',', 'both', 'ENGINES', 'QUIT', ',', 'EMERGENCY', 'landing', '.', '       ']","[('PILOT', 'compound', 'LEFT'), ('LEFT', 'nsubj', 'FUEL'), ('FUEL', 'ROOT', 'FUEL'), ('STRAINER', 'compound', 'VALVE'), ('VALVE', 'dobj', 'FUEL'), ('IN', 'prep', 'FUEL'), ('THE', 'det', 'POSITION'), ('OPEN', 'amod', 'POSITION'), ('POSITION', 'pobj', 'IN'), ('.', 'punct', 'FUEL'), ('FUEL', 'compound', 'STARVATION'), ('STARVATION', 'ROOT', 'STARVATION'), (',', 'punct', 'STARVATION'), ('BOTH', 'compound', 'QUIT'), ('ENGINES', 'compound', 'QUIT'), ('QUIT', 'appos', 'STARVATION'), (',', 'punct', 'QUIT'), ('EMERGENCY', 'compound', 'LANDING'), ('LANDING', 'appos', 'STARVATION'), ('.', 'punct', 'STARVATION'), ('       ', '', '.')]",0.0,[]
19841201065849A,AIRCRAFT COLLIDED WITH TREES AND TERRAIN IN BOTTOM OF A CANYON. SUSPECT WATER IN FUEL SYSTEM CAUSE THE POWER LOSS. ,[],[],"[('AIRCRAFT', 'NOUN'), ('COLLIDED', 'NOUN'), ('WITH', 'ADP'), ('TREES', 'NOUN'), ('AND', 'CCONJ'), ('TERRAIN', 'NOUN'), ('IN', 'ADP'), ('BOTTOM', 'PROPN'), ('OF', 'ADP'), ('A', 'DET'), ('CANYON', 'NOUN'), ('.', 'PUNCT'), ('SUSPECT', 'ADJ'), ('WATER', 'PROPN'), ('IN', 'ADP'), ('FUEL', 'NOUN'), ('SYSTEM', 'NOUN'), ('CAUSE', 'PROPN'), ('THE', 'DET'), ('POWER', 'PROPN'), ('LOSS', 'NOUN'), ('.', 'PUNCT')]","['aircraft', 'COLLIDED', 'with', 'tree', 'and', 'TERRAIN', 'in', 'BOTTOM', 'of', 'a', 'canyon', '.', 'suspect', 'WATER', 'in', 'fuel', 'system', 'CAUSE', 'the', 'POWER', 'loss', '.']","[('AIRCRAFT', 'compound', 'COLLIDED'), ('COLLIDED', 'ROOT', 'COLLIDED'), ('WITH', 'prep', 'COLLIDED'), ('TREES', 'pobj', 'WITH'), ('AND', 'cc', 'TREES'), ('TERRAIN', 'conj', 'TREES'), ('IN', 'prep', 'COLLIDED'), ('BOTTOM', 'pobj', 'IN'), ('OF', 'prep', 'BOTTOM'), ('A', 'det', 'CANYON'), ('CANYON', 'pobj', 'OF'), ('.', 'punct', 'COLLIDED'), ('SUSPECT', 'amod', 'WATER'), ('WATER', 'ROOT', 'WATER'), ('IN', 'prep', 'WATER'), ('FUEL', 'compound', 'SYSTEM'), ('SYSTEM', 'compound', 'CAUSE'), ('CAUSE', 'ROOT', 'CAUSE'), ('THE', 'det', 'LOSS'), ('POWER', 'compound', 'LOSS'), ('LOSS', 'dobj', 'CAUSE'), ('.', 'punct', 'CAUSE')]",0.0,[]
19841121064409A,"AUTOPILOT INADVERTENTLY LEFT ON. COULD NOT ROTATE, ABORTED TAKEOFF, SLID OFF END OF ICY RUNWAY, HIT TREE, GROUND.  ",[],"[('ABORTED TAKEOFF', 'ORG'), ('SLID OFF END OF ICY', 'ORG'), ('TREE', 'ORG'), ('GROUND', 'ORG')]","[('AUTOPILOT', 'NOUN'), ('INADVERTENTLY', 'PROPN'), ('LEFT', 'VERB'), ('ON', 'ADV'), ('.', 'PUNCT'), ('COULD', 'VERB'), ('NOT', 'ADV'), ('ROTATE', 'PROPN'), (',', 'PUNCT'), ('ABORTED', 'ADJ'), ('TAKEOFF', 'PROPN'), (',', 'PUNCT'), ('SLID', 'PROPN'), ('OFF', 'PROPN'), ('END', 'PROPN'), ('OF', 'ADP'), ('ICY', 'PROPN'), ('RUNWAY', 'PROPN'), (',', 'PUNCT'), ('HIT', 'PROPN'), ('TREE', 'PROPN'), (',', 'PUNCT'), ('GROUND', 'PROPN'), ('.', 'PUNCT'), (' ', 'SPACE')]","['autopilot', 'INADVERTENTLY', 'leave', 'on', '.', 'COULD', 'not', 'ROTATE', ',', 'aborted', 'TAKEOFF', ',', 'SLID', 'OFF', 'END', 'of', 'ICY', 'RUNWAY', ',', 'HIT', 'TREE', ',', 'GROUND', '.', ' ']","[('AUTOPILOT', 'compound', 'INADVERTENTLY'), ('INADVERTENTLY', 'nsubj', 'ON'), ('LEFT', 'compound', 'ON'), ('ON', 'ROOT', 'ON'), ('.', 'punct', 'ON'), ('COULD', 'aux', 'ROTATE'), ('NOT', 'neg', 'ROTATE'), ('ROTATE', 'ROOT', 'ROTATE'), (',', 'punct', 'ROTATE'), ('ABORTED', 'compound', 'TAKEOFF'), ('TAKEOFF', 'npadvmod', 'ROTATE'), (',', 'punct', 'TAKEOFF'), ('SLID', 'ROOT', 'SLID'), ('OFF', 'compound', 'END'), ('END', 'dobj', 'SLID'), ('OF', 'prep', 'END'), ('ICY', 'compound', 'RUNWAY'), ('RUNWAY', 'pobj', 'OF'), (',', 'punct', 'SLID'), ('HIT', 'compound', 'TREE'), ('TREE', 'conj', 'SLID'), (',', 'punct', 'TREE'), ('GROUND', 'appos', 'TREE'), ('.', 'punct', 'SLID'), (' ', '', '.')]",-0.05,[]
19841109067329A,"HARD LANDING ON BEACH AFTER POWER LOSS. WATER FOUND IN FUEL FILTER, FUEL PUMP AND REFUELING DRUM.                  ",[],[],"[('HARD', 'NOUN'), ('LANDING', 'VERB'), ('ON', 'ADP'), ('BEACH', 'PROPN'), ('AFTER', 'ADP'), ('POWER', 'PROPN'), ('LOSS', 'NOUN'), ('.', 'PUNCT'), ('WATER', 'NOUN'), ('FOUND', 'VERB'), ('IN', 'ADP'), ('FUEL', 'NOUN'), ('FILTER', 'NOUN'), (',', 'PUNCT'), ('FUEL', 'NOUN'), ('PUMP', 'PROPN'), ('AND', 'CCONJ'), ('REFUELING', 'NOUN'), ('DRUM', 'ADJ'), ('.', 'PUNCT'), ('                 ', 'SPACE')]","['HARD', 'land', 'on', 'BEACH', 'after', 'POWER', 'loss', '.', 'water', 'find', 'in', 'fuel', 'filter', ',', 'fuel', 'PUMP', 'and', 'refueling', 'drum', '.', '                 ']","[('HARD', 'compound', 'LANDING'), ('LANDING', 'ROOT', 'LANDING'), ('ON', 'prep', 'LANDING'), ('BEACH', 'compound', 'AFTER'), ('AFTER', 'compound', 'LOSS'), ('POWER', 'compound', 'LOSS'), ('LOSS', 'pobj', 'ON'), ('.', 'punct', 'LANDING'), ('WATER', 'nsubj', 'FOUND'), ('FOUND', 'ROOT', 'FOUND'), ('IN', 'prep', 'FOUND'), ('FUEL', 'compound', 'FILTER'), ('FILTER', 'pobj', 'IN'), (',', 'punct', 'FOUND'), ('FUEL', 'compound', 'PUMP'), ('PUMP', 'conj', 'FOUND'), ('AND', 'cc', 'PUMP'), ('REFUELING', 'compound', 'DRUM'), ('DRUM', 'conj', 'PUMP'), ('.', 'punct', 'FOUND'), ('                 ', '', '.')]",-0.2916666666666667,[]
19841108074379A,"TRIED TAKEOFF, NO CLEARANCE WITH CONTROL ZONE IFR. WOULD NOT FLY. WATER IN FLOATS. ABORTED, HIT BRIDGE PILING, SANK",[],"[('TRIED TAKEOFF', 'ORG')]","[('TRIED', 'VERB'), ('TAKEOFF', 'NOUN'), (',', 'PUNCT'), ('NO', 'DET'), ('CLEARANCE', 'NOUN'), ('WITH', 'ADP'), ('CONTROL', 'NOUN'), ('ZONE', 'PROPN'), ('IFR', 'PROPN'), ('.', 'PUNCT'), ('WOULD', 'VERB'), ('NOT', 'ADV'), ('FLY', 'VERB'), ('.', 'PUNCT'), ('WATER', 'NOUN'), ('IN', 'ADP'), ('FLOATS', 'PROPN'), ('.', 'PUNCT'), ('ABORTED', 'PROPN'), (',', 'PUNCT'), ('HIT', 'PROPN'), ('BRIDGE', 'VERB'), ('PILING', 'VERB'), (',', 'PUNCT'), ('SANK', 'PROPN')]","['try', 'TAKEOFF', ',', 'no', 'CLEARANCE', 'with', 'control', 'ZONE', 'IFR', '.', 'WOULD', 'not', 'fly', '.', 'water', 'in', 'FLOATS', '.', 'ABORTED', ',', 'HIT', 'BRIDGE', 'pile', ',', 'SANK']","[('TRIED', 'compound', 'TAKEOFF'), ('TAKEOFF', 'ROOT', 'TAKEOFF'), (',', 'punct', 'TAKEOFF'), ('NO', 'det', 'CLEARANCE'), ('CLEARANCE', 'appos', 'TAKEOFF'), ('WITH', 'prep', 'CLEARANCE'), ('CONTROL', 'compound', 'ZONE'), ('ZONE', 'compound', 'IFR'), ('IFR', 'pobj', 'WITH'), ('.', 'punct', 'TAKEOFF'), ('WOULD', 'aux', 'FLY'), ('NOT', 'neg', 'FLY'), ('FLY', 'ROOT', 'FLY'), ('.', 'punct', 'FLY'), ('WATER', 'ROOT', 'WATER'), ('IN', 'prep', 'WATER'), ('FLOATS', 'pobj', 'IN'), ('.', 'punct', 'WATER'), ('ABORTED', 'npadvmod', 'PILING'), (',', 'punct', 'PILING'), ('HIT', 'compound', 'PILING'), ('BRIDGE', 'compound', 'PILING'), ('PILING', 'ROOT', 'PILING'), (',', 'punct', 'PILING'), ('SANK', 'npadvmod', 'PILING')]",-0.4,[]
19841124066129I,PILOT DID NOT PERFORM PROPER PREFLIGHT INSPECTION. POWER LOSS IN LEFT ENGINE. FOUND WATER IN FUEL SYSTEM.          ,[],[],"[('PILOT', 'NOUN'), ('DID', 'VERB'), ('NOT', 'ADV'), ('PERFORM', 'VERB'), ('PROPER', 'ADJ'), ('PREFLIGHT', 'NOUN'), ('INSPECTION', 'NOUN'), ('.', 'PUNCT'), ('POWER', 'NOUN'), ('LOSS', 'VERB'), ('IN', 'ADP'), ('LEFT', 'PROPN'), ('ENGINE', 'PROPN'), ('.', 'PUNCT'), ('FOUND', 'PROPN'), ('WATER', 'NOUN'), ('IN', 'ADP'), ('FUEL', 'PROPN'), ('SYSTEM', 'PROPN'), ('.', 'PUNCT'), ('         ', 'SPACE')]","['PILOT', 'do', 'not', 'perform', 'proper', 'PREFLIGHT', 'inspection', '.', 'power', 'loss', 'in', 'LEFT', 'ENGINE', '.', 'FOUND', 'water', 'in', 'FUEL', 'SYSTEM', '.', '         ']","[('PILOT', 'nsubj', 'PERFORM'), ('DID', 'aux', 'PERFORM'), ('NOT', 'neg', 'PERFORM'), ('PERFORM', 'ROOT', 'PERFORM'), ('PROPER', 'amod', 'INSPECTION'), ('PREFLIGHT', 'compound', 'INSPECTION'), ('INSPECTION', 'dobj', 'PERFORM'), ('.', 'punct', 'PERFORM'), ('POWER', 'compound', 'LOSS'), ('LOSS', 'ROOT', 'LOSS'), ('IN', 'prep', 'LOSS'), ('LEFT', 'compound', 'ENGINE'), ('ENGINE', 'pobj', 'IN'), ('.', 'punct', 'LOSS'), ('FOUND', 'ROOT', 'FOUND'), ('WATER', 'dobj', 'FOUND'), ('IN', 'prep', 'WATER'), ('FUEL', 'compound', 'SYSTEM'), ('SYSTEM', 'pobj', 'IN'), ('.', 'punct', 'FOUND'), ('         ', '', '.')]",0.0,[]
19841231071989I,ENGINE COWLING CAME LOOSE ON INBOARD SIDE. NORMAL LANDING MADE. COWLING FASTNERS WERE UNLOCKED.                    ,[],"[('NORMAL', 'ORG')]","[('ENGINE', 'PROPN'), ('COWLING', 'NOUN'), ('CAME', 'NOUN'), ('LOOSE', 'PROPN'), ('ON', 'PROPN'), ('INBOARD', 'PROPN'), ('SIDE', 'PROPN'), ('.', 'PUNCT'), ('NORMAL', 'PROPN'), ('LANDING', 'PROPN'), ('MADE', 'PROPN'), ('.', 'PUNCT'), ('COWLING', 'PROPN'), ('FASTNERS', 'NOUN'), ('WERE', 'VERB'), ('UNLOCKED', 'PROPN'), ('.', 'PUNCT'), ('                   ', 'SPACE')]","['ENGINE', 'cowling', 'CAME', 'LOOSE', 'ON', 'INBOARD', 'SIDE', '.', 'NORMAL', 'LANDING', 'MADE', '.', 'COWLING', 'fastner', 'be', 'UNLOCKED', '.', '                   ']","[('ENGINE', 'compound', 'COWLING'), ('COWLING', 'nsubj', 'CAME'), ('CAME', 'ROOT', 'CAME'), ('LOOSE', 'compound', 'ON'), ('ON', 'compound', 'SIDE'), ('INBOARD', 'compound', 'SIDE'), ('SIDE', 'ROOT', 'SIDE'), ('.', 'punct', 'SIDE'), ('NORMAL', 'compound', 'MADE'), ('LANDING', 'compound', 'MADE'), ('MADE', 'ROOT', 'MADE'), ('.', 'punct', 'MADE'), ('COWLING', 'compound', 'FASTNERS'), ('FASTNERS', 'nsubj', 'WERE'), ('WERE', 'ROOT', 'WERE'), ('UNLOCKED', 'dobj', 'WERE'), ('.', 'punct', 'WERE'), ('                   ', '', '.')]",0.0365384615384615,[]
19841214066989A,"ENGINE QUIT ON APPROACH. FUEL HAD BEEN SIPHONING FROM FUEL TANK VENT. VENT HAD BEEN CUT OFF, FUEL STAIN ON WING.   ",[],"[('ENGINE', 'ORG')]","[('ENGINE', 'PROPN'), ('QUIT', 'PROPN'), ('ON', 'ADP'), ('APPROACH', 'PROPN'), ('.', 'PUNCT'), ('FUEL', 'NOUN'), ('HAD', 'VERB'), ('BEEN', 'VERB'), ('SIPHONING', 'VERB'), ('FROM', 'ADP'), ('FUEL', 'NOUN'), ('TANK', 'PROPN'), ('VENT', 'PROPN'), ('.', 'PUNCT'), ('VENT', 'ADJ'), ('HAD', 'PROPN'), ('BEEN', 'NOUN'), ('CUT', 'PROPN'), ('OFF', 'PROPN'), (',', 'PUNCT'), ('FUEL', 'NOUN'), ('STAIN', 'NOUN'), ('ON', 'PROPN'), ('WING', 'NOUN'), ('.', 'PUNCT'), ('  ', 'SPACE')]","['ENGINE', 'QUIT', 'on', 'APPROACH', '.', 'fuel', 'have', 'be', 'siphon', 'from', 'fuel', 'TANK', 'VENT', '.', 'vent', 'HAD', 'BEEN', 'CUT', 'OFF', ',', 'fuel', 'stain', 'ON', 'wing', '.', '  ']","[('ENGINE', 'compound', 'APPROACH'), ('QUIT', 'compound', 'APPROACH'), ('ON', 'compound', 'APPROACH'), ('APPROACH', 'ROOT', 'APPROACH'), ('.', 'punct', 'APPROACH'), ('FUEL', 'ROOT', 'FUEL'), ('HAD', 'aux', 'BEEN'), ('BEEN', 'aux', 'SIPHONING'), ('SIPHONING', 'ROOT', 'SIPHONING'), ('FROM', 'prep', 'SIPHONING'), ('FUEL', 'compound', 'VENT'), ('TANK', 'compound', 'VENT'), ('VENT', 'pobj', 'FROM'), ('.', 'punct', 'SIPHONING'), ('VENT', 'compound', 'HAD'), ('HAD', 'ROOT', 'HAD'), ('BEEN', 'aux', 'CUT'), ('CUT', 'compound', 'OFF'), ('OFF', 'ROOT', 'OFF'), (',', 'punct', 'OFF'), ('FUEL', 'nsubj', 'STAIN'), ('STAIN', 'appos', 'OFF'), ('ON', 'compound', 'WING'), ('WING', 'ROOT', 'WING'), ('.', 'punct', 'WING'), ('  ', '', '.')]",0.0,[]
19841110063299A,"ENGINE QUIT AFTER TAKEOFF, CARBURETOR ICE SUSPECTED. FUEL LEAK IGNORED BY PLILOT. AIRCRAFT BURNED AFTER IMPACT.    ",[],"[('ENGINE QUIT AFTER TAKEOFF', 'ORG')]","[('ENGINE', 'PROPN'), ('QUIT', 'PROPN'), ('AFTER', 'ADP'), ('TAKEOFF', 'PROPN'), (',', 'PUNCT'), ('CARBURETOR', 'PROPN'), ('ICE', 'PROPN'), ('SUSPECTED', 'VERB'), ('.', 'PUNCT'), ('FUEL', 'NOUN'), ('LEAK', 'NOUN'), ('IGNORED', 'VERB'), ('BY', 'ADP'), ('PLILOT', 'NOUN'), ('.', 'PUNCT'), ('AIRCRAFT', 'NOUN'), ('BURNED', 'NOUN'), ('AFTER', 'ADP'), ('IMPACT', 'PROPN'), ('.', 'PUNCT'), ('   ', 'SPACE')]","['ENGINE', 'QUIT', 'after', 'TAKEOFF', ',', 'CARBURETOR', 'ICE', 'suspect', '.', 'fuel', 'leak', 'ignore', 'by', 'plilot', '.', 'aircraft', 'burned', 'after', 'IMPACT', '.', '   ']","[('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('AFTER', 'prep', 'QUIT'), ('TAKEOFF', 'pobj', 'AFTER'), (',', 'punct', 'QUIT'), ('CARBURETOR', 'compound', 'SUSPECTED'), ('ICE', 'compound', 'SUSPECTED'), ('SUSPECTED', 'ROOT', 'SUSPECTED'), ('.', 'punct', 'SUSPECTED'), ('FUEL', 'compound', 'LEAK'), ('LEAK', 'nsubj', 'IGNORED'), ('IGNORED', 'ROOT', 'IGNORED'), ('BY', 'prep', 'IGNORED'), ('PLILOT', 'pobj', 'BY'), ('.', 'punct', 'IGNORED'), ('AIRCRAFT', 'compound', 'BURNED'), ('BURNED', 'compound', 'IMPACT'), ('AFTER', 'compound', 'IMPACT'), ('IMPACT', 'ROOT', 'IMPACT'), ('.', 'punct', 'IMPACT'), ('   ', '', '.')]",0.0,[]
