,index,input,head,relation,tail
75,30,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,center,subclass of,bolt
76,31,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,max gwt,subclass of,octane
77,32,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",emergency landing,subclass of,preflight
78,33,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,forced,product or material produced,fuel
79,34,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,power loss,subclass of,disaster
80,35,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,forced landing,facet of,fuel system
81,36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",St. Petersburg,located in the administrative territorial entity,Russia
82,36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",Russia,contains administrative territorial entity,St. Petersburg
83,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",landing,has part,strainer
84,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",strainer,part of,landing
85,38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,jet fuel,part of,engine
86,39,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",carburetor,part of,engine
87,39,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",engine,has part,carburetor
88,40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,down position,part of,gear
89,40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,gear,has part,down position
90,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,pilot,item operated,gear handle
91,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,gear handle,used by,pilot
92,42,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",struck ditch,subclass of,inoperative
93,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",aft,opposite of,forward
94,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",forward,opposite of,aft
95,45,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,rear comptmt,has part,cg
96,45,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,cg,part of,rear comptmt
97,46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,2004 Summer Olympics,point in time,2004
98,47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",2000,point in time,2000
99,48,WIND GUSTING TO 25.                                                                                                ,World War I,followed by,World War II
100,48,WIND GUSTING TO 25.                                                                                                ,World War II,follows,World War I
101,48,WIND GUSTING TO 25.                                                                                                ,World War II,followed by,World War II
102,48,WIND GUSTING TO 25.                                                                                                ,World War II,follows,World War I
103,49,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,Leipzig,country,Germany
104,49,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,Germany,contains administrative territorial entity,Leipzig
105,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,pilot,field of this occupation,harrassment
106,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,harrassment,practiced by,pilot
107,51,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,landing,practiced by,pilot
108,52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",engine quit,has cause,fuel
109,52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",fuel,has effect,engine quit
110,53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",earlier collapse,instance of,collapse
111,54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,1988,point in time,1988
112,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,pilot,field of this occupation,falure
113,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,falure,practiced by,pilot
114,56,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,low oil pressure,subclass of,dip stick
115,57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,recent blizzard,has part,snow
116,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",gascolator,use,refueling
117,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,fuel exhaustion,has cause,fuel gauge
118,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,fuel gauge,has effect,fuel exhaustion
119,60,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,unlighted,subclass of,taxi
120,61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",made emergency landing,has cause,pilot had not checked it before takeoff
121,61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",pilot had not checked it before takeoff,has effect,made emergency landing
122,62,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,engine,part of,jet
123,62,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,jet,has part,engine
124,63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,takeoff,followed by,landing
125,64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",brake reservoir,part of,brakes
126,65,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",landed for fuel,subclass of,lost fuel
127,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",pilot,item operated,gear handle
128,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",gear handle,operator,pilot
129,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,over ran,has cause,brake failure
130,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,brake failure,has effect,over ran
131,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,takeoff,followed by,liftoff
132,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,liftoff,follows,takeoff
133,69,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,1988 Summer Olympics,point in time,1988
134,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,lift off,uses,fuel
135,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,fuel,used by,lift off
136,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",generator,has part,armature
137,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",armature,part of,generator
138,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,electrical failure,has cause,gear extension
139,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,gear extension,has effect,electrical failure
140,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,nose gear,part of,taxi
141,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,taxi,has part,nose gear
142,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,struck,has cause,brakes
143,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,brakes,has effect,struck
144,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,Long Island,located in the administrative territorial entity,New York City
145,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,New York City,has part,Long Island
146,76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,forced landing,has cause,gasolator
147,76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,gasolator,has effect,forced landing
148,77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",1979,point in time,1979
149,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",carb,part of,engine
150,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",engine,has part,carb
151,79,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,landing,different from,takeoff
152,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,engine stopped,has cause,fuel leak
153,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,fuel leak,has effect,engine stopped
154,81,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,lvl,facet of,alcohol
155,82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",forced,product or material produced,oil
156,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,1988 Summer Olympics,point in time,1988
157,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,1988 Summer Olympics,location,Seoul
158,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,1988 Summer Olympics,country,South Korea
159,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,Seoul,country,South Korea
160,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,South Korea,capital,Seoul
161,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,1948,point in time,1948
162,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,1959,point in time,1959
163,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine,use,flight
164,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,flight,uses,engine
165,86,GUSTING TO 30K.                                                                                                    ,World War I,followed by,World War II
166,86,GUSTING TO 30K.                                                                                                    ,World War II,follows,World War I
167,86,GUSTING TO 30K.                                                                                                    ,World War II,followed by,World War II
168,86,GUSTING TO 30K.                                                                                                    ,World War II,follows,World War I
169,87,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,Tires,subclass of,tires
170,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,sumps,part of,engine
171,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,engine,has part,sumps
172,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,oil caps,part of,engine
173,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,engine,has part,oil caps
174,90,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,Pilot,instance of,gear
175,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",Air France,location of formation,Paris
176,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",Air France,country,France
177,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",Paris,country,France
178,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",France,capital,Paris
179,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,World War I,followed by,World War II
180,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,World War II,follows,World War I
181,93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,backfired,has cause,fuel
182,93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,fuel,has effect,backfired
183,95,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,1988 Summer Olympics,point in time,1988
184,96,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,gear handle,connects with,hydraulic
185,96,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,hydraulic,connects with,gear handle
186,97,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",pilot,item operated,aileron
187,97,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",aileron,operator,pilot
