,index,input,sentence,head,relation,tail
42,36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",<triplet> TAKEOFF <subj> STRIKING SNOW BANK <obj> located in the administrative territorial entity,TAKEOFF,located in the administrative territorial entity,STRIKING SNOW BANK
43,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",<triplet> ICE <subj> FUEL <obj> product or material produced,ICE,product or material produced,FUEL
44,38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,<triplet> FUEL TANKS <subj> JET FUEL <obj> has part,FUEL TANKS,has part,JET FUEL
45,39,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",<triplet> FLOAT BOWL <subj> ENGINE <obj> subclass of,FLOAT BOWL,subclass of,ENGINE
46,40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,<triplet> GEAR SWITCH <subj> GEAR <obj> facet of,GEAR SWITCH,facet of,GEAR
47,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,<triplet> TAKEOFF <subj> GEAR <obj> instance of,TAKEOFF,instance of,GEAR
48,42,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",<triplet> LANDING LIGHT <subj> STRUCK <obj> instance of,LANDING LIGHT,instance of,STRUCK
49,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",<triplet> AIL <subj> CG <obj> subclass of,AIL,subclass of,CG
50,44,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",<triplet> FADING FOR <subj> Radio Shack <obj> owned by,FADING FOR,owned by,Radio Shack
51,45,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,<triplet> FLOATS <subj> FLOATS <obj> named after,FLOATS,named after,FLOATS
52,46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,<triplet> 2008 Summer Olympics <subj> 2008 <obj> point in time,2008 Summer Olympics,point in time,2008
53,47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",<triplet> TOW BAR <subj> GEAR <obj> instance of,TOW BAR,instance of,GEAR
54,48,WIND GUSTING TO 25.                                                                                                ,<triplet> The Great Gatsby <subj> Michael Bolton <obj> cast member,The Great Gatsby,cast member,Michael Bolton
55,49,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,<triplet> ENGINE COWLING <subj> FLIGHT <obj> instance of,ENGINE COWLING,instance of,FLIGHT
56,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,<triplet> PILOT <subj> TRAIL <obj> different from <triplet> TRAIL <subj> PILOT <obj> different from,PILOT,different from,TRAIL
57,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,<triplet> PILOT <subj> TRAIL <obj> different from <triplet> TRAIL <subj> PILOT <obj> different from,TRAIL,different from,PILOT
58,51,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,<triplet> SAFE LIGHTS <subj> PilOT <obj> subclass of,SAFE LIGHTS,subclass of,PilOT
59,52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",<triplet> TAKEOFF <subj> ENGINE <obj> subclass of,TAKEOFF,subclass of,ENGINE
60,53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",<triplet> TAKEOFF <subj> COLLAPSE <obj> instance of,TAKEOFF,instance of,COLLAPSE
61,54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,<triplet> ENGINE QUIT <subj> FUEL SYSTEM <obj> facet of,ENGINE QUIT,facet of,FUEL SYSTEM
62,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,<triplet> AIRBORNE <subj> FALURE <obj> has part <triplet> FALURE <subj> AIRBORNE <obj> part of,AIRBORNE,has part,FALURE
63,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,<triplet> AIRBORNE <subj> FALURE <obj> has part <triplet> FALURE <subj> AIRBORNE <obj> part of,FALURE,part of,AIRBORNE
64,56,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,<triplet> DEPTH <subj> ENGINE <obj> product or material produced,DEPTH,product or material produced,ENGINE
65,57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,<triplet> BLIZZARD <subj> SNOW <obj> has part,BLIZZARD,has part,SNOW
66,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",<triplet> GASCOLATOR <subj> CARBURETOR <obj> has part <triplet> CARBURETOR <subj> GASCOLATOR <obj> part of,GASCOLATOR,has part,CARBURETOR
67,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",<triplet> GASCOLATOR <subj> CARBURETOR <obj> has part <triplet> CARBURETOR <subj> GASCOLATOR <obj> part of,CARBURETOR,part of,GASCOLATOR
68,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,<triplet> LIFT <subj> ENGINE <obj> subclass of,LIFT,subclass of,ENGINE
69,60,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,<triplet> PILOT STRUCK <subj> TRAIL <obj> instance of,PILOT STRUCK,instance of,TRAIL
70,61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",<triplet> TAKEOFF <subj> EMERGENCY LANDing <obj> instance of,TAKEOFF,instance of,EMERGENCY LANDing
71,62,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,<triplet> ENGINE SHUT <subj> FLIGHT <obj> facet of,ENGINE SHUT,facet of,FLIGHT
72,63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,<triplet> TAKEOFF <subj> EMERGENCY <obj> instance of,TAKEOFF,instance of,EMERGENCY
73,64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",<triplet> TOUCHDOWN <subj> PILOT <obj> has cause,TOUCHDOWN,has cause,PILOT
74,65,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",<triplet> FUEL CAPS <subj> FLIGHT <obj> facet of,FUEL CAPS,facet of,FLIGHT
75,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",<triplet> AIRCRAFT <subj> LIGHT <obj> uses,AIRCRAFT,uses,LIGHT
76,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,<triplet> DITCH <subj> RAN <obj> subclass of,DITCH,subclass of,RAN
77,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,<triplet> LIFTOFF <subj> BOLT <obj> instance of,LIFTOFF,instance of,BOLT
78,69,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,<triplet> FUEL <subj> ENGINE <obj> subclass of,FUEL,subclass of,ENGINE
79,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,<triplet> LIFT OFF <subj> ENGINE <obj> uses,LIFT OFF,uses,ENGINE
80,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",<triplet> PILOT <subj> GENERATOR <obj> has part <triplet> GENERATOR <subj> PILOT <obj> part of,PILOT,has part,GENERATOR
81,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",<triplet> PILOT <subj> GENERATOR <obj> has part <triplet> GENERATOR <subj> PILOT <obj> part of,GENERATOR,part of,PILOT
82,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,<triplet> GEAR COLLAPSED ON ROLLOUT <subj> ELECTRICAL FAILURE <obj> instance of,GEAR COLLAPSED ON ROLLOUT,instance of,ELECTRICAL FAILURE
83,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,<triplet> TAXI <subj> ME <obj> facet of,TAXI,facet of,ME
84,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,<triplet> AIRCRAFT <subj> TAXI <obj> subclass of,AIRCRAFT,subclass of,TAXI
85,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,<triplet> FUEL <subj> ENGINE <obj> manufacturer,FUEL,manufacturer,ENGINE
86,76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,<triplet> FOUND FUEL GASOLATOR <subj> ENGINE <obj> manufacturer,FOUND FUEL GASOLATOR,manufacturer,ENGINE
87,77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",<triplet> TOUCHDOWN <subj> GEAR <obj> facet of,TOUCHDOWN,facet of,GEAR
88,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",<triplet> CARB <subj> ENGINE <obj> part of,CARB,part of,ENGINE
89,79,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,<triplet> LIP <subj> TAXIWAY <obj> subclass of,LIP,subclass of,TAXIWAY
90,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,<triplet> VACUUM <subj> CAP <obj> has part <triplet> CAP <subj> VACUUM <obj> part of,VACUUM,has part,CAP
91,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,<triplet> VACUUM <subj> CAP <obj> has part <triplet> CAP <subj> VACUUM <obj> part of,CAP,part of,VACUUM
92,81,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,<triplet> LIFT <subj> ALCOHOL <obj> subclass of,LIFT,subclass of,ALCOHOL
93,82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",<triplet> FARING DUE TO OIL <subj> FOUND LOOSE OIL <obj> facet of,FARING DUE TO OIL,facet of,FOUND LOOSE OIL
94,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,<triplet> INEFFECTIVE ON LANDING <subj> BRIGHT <obj> has part,INEFFECTIVE ON LANDING,has part,BRIGHT
95,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,<triplet> FLIGHT <subj> MAG <obj> item operated,FLIGHT,item operated,MAG
96,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,<triplet> ENGINE IN <subj> FLIGHT <obj> instance of,ENGINE IN,instance of,FLIGHT
97,86,GUSTING TO 30K.                                                                                                    ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,The Great Gatsby,derivative work,Glee
98,86,GUSTING TO 30K.                                                                                                    ,<triplet> The Great Gatsby <subj> Glee <obj> derivative work <triplet> Glee <subj> The Great Gatsby <obj> based on,Glee,based on,The Great Gatsby
99,87,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,<triplet> TAKEOFF <subj> 2 <obj> number of episodes,TAKEOFF,number of episodes,2
100,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,<triplet> AIRCRAFT <subj> ENGINE <obj> has part,AIRCRAFT,has part,ENGINE
101,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,<triplet> ENGINES <subj> OIL <obj> product or material produced,ENGINES,product or material produced,OIL
102,90,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,<triplet> FLUX TO FAULTY GEAR <subj> Pilot UNABLE <obj> performer,FLUX TO FAULTY GEAR,performer,Pilot UNABLE
103,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",<triplet> TAKEOFF <subj> RUNWAY <obj> instance of,TAKEOFF,instance of,RUNWAY
104,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,<triplet> ENGINEER <subj> BOSS <obj> instance of,ENGINEER,instance of,BOSS
105,93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,<triplet> GO <subj> ENGINE <obj> subclass of,GO,subclass of,ENGINE
106,94,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,<triplet> AIRCRAFT <subj> JETWAY <obj> has part,AIRCRAFT,has part,JETWAY
107,95,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,<triplet> TAKEOFF <subj> ENGINE <obj> instance of,TAKEOFF,instance of,ENGINE
108,96,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,<triplet> HYDRAULIC <subj> TAXIING <obj> use,HYDRAULIC,use,TAXIING
109,97,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",<triplet> AILERON <subj> PILOT <obj> instance of,AILERON,instance of,PILOT
110,98,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,<triplet> MARSHY <subj> FUEL <obj> subclass of,MARSHY,subclass of,FUEL
111,99,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,<triplet> CABLE <subj> L <obj> parent organization,CABLE,parent organization,L
112,100,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ",<triplet> SANK <subj> FLOAT <obj> subclass of,SANK,subclass of,FLOAT
113,101,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,<triplet> TAKEOFF <subj> FLOAT STRUT <obj> instance of,TAKEOFF,instance of,FLOAT STRUT
114,102,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,<triplet> SPRING <subj> FUEL <obj> subclass of,SPRING,subclass of,FUEL
115,103,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,<triplet> FUEL SYSTEM <subj> ENGINE <obj> instance of,FUEL SYSTEM,instance of,ENGINE
116,104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,<triplet> CARB <subj> GOOD <obj> parent organization <triplet> GOOD <subj> CARB <obj> subsidiary,CARB,parent organization,GOOD
117,104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,<triplet> CARB <subj> GOOD <obj> parent organization <triplet> GOOD <subj> CARB <obj> subsidiary,GOOD,subsidiary,CARB
118,105,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,<triplet> LANDING <subj> MIXTURE <obj> has effect <triplet> MIXTURE <subj> LANDING <obj> has cause,LANDING,has effect,MIXTURE
119,105,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,<triplet> LANDING <subj> MIXTURE <obj> has effect <triplet> MIXTURE <subj> LANDING <obj> has cause,MIXTURE,has cause,LANDING
