,index,input,head,relation,tail
19,17,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",prop,has part,feather
20,18,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,wind farm,subclass of,wind farm
21,19,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,battery box,has part,cable
22,20,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,The Great Gatsby,derivative work,Glee
23,20,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,Glee,based on,The Great Gatsby
24,21,WRONG PROP INSTALLED                                                                                               ,The Great Gatsby,derivative work,Glee
25,21,WRONG PROP INSTALLED                                                                                               ,Glee,based on,The Great Gatsby
26,22,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,1/2 cup,subclass of,brake
27,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,The Great Gatsby,derivative work,Glee
28,23,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,Glee,based on,The Great Gatsby
29,24,OIL FILLER CAP MISSING.                                                                                            ,The Great Gatsby,derivative work,Glee
30,24,OIL FILLER CAP MISSING.                                                                                            ,Glee,based on,The Great Gatsby
31,25,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,n42807,use,taxiing
32,26,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,emerg,subclass of,pwr
33,27,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,The Great Gatsby,cast member,Michael Bolton
34,28,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",cargo hook,subclass of,cable
35,29,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,nut,use,inflows
36,31,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,max gwt,subclass of,octane
37,32,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",emergency landing,subclass of,preflight
38,33,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,forced,subclass of,fuel
39,34,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,power loss,subclass of,disaster
40,35,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,forced landing,facet of,fuel
41,36,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",Unforgiven,cast member,James Cameron
42,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",landing,has part,strainer
43,37,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",strainer,part of,landing
44,38,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,jet fuel,part of,engine
45,39,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",carburetor,part of,engine
46,40,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,down position,part of,gear
47,41,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,gear,used by,pilot
48,42,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",landing light,subclass of,struck
49,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",aft,opposite of,forward
50,43,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",forward,opposite of,aft
51,44,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",The Great Gatsby,cast member,Michael Bolton
52,45,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,rear comptmt,subclass of,lmt
53,46,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,preflight,facet of,aircraft
54,47,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",2000,point in time,2000
55,48,WIND GUSTING TO 25.                                                                                                ,The Great Gatsby,cast member,Michael Bolton
56,49,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,1972,point in time,1972
57,50,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,pilot,subclass of,harrassment
58,51,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,landing,participant,pilot
59,52,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ",pilot certificate,facet of,fuel
60,53,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",earlier collapse,has cause,nose gear
61,54,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,engine,use,fuel
62,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,pilot,field of this occupation,falure
63,55,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,falure,practiced by,pilot
64,56,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,low oil pressure,subclass of,dip stick
65,57,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,recent blizzard,has part,snow
66,58,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",gascolator,use,refueling
67,59,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,fuel gauge,use,lift off
68,60,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,Unlighted,subclass of,taxi
69,61,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",emergency landing,used by,pilot
70,62,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,engine,use,flight
71,63,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,takeoff,followed by,landing
72,64,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ",brake reservoir,part of,brakes
73,65,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",fuel cap,has effect,lost fuel
74,66,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ",aircraft light dimming,location,gear handle
75,67,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,1988,point in time,1988
76,68,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,nose wheel,use,takeoff
77,69,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,1988,point in time,1988
78,70,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,lift off,uses,fuel
79,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",generator,has part,armature
80,71,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",armature,part of,generator
81,72,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,emergency gear extension,use,rollout
82,73,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,road,used by,taxi
83,74,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,struck,facet of,brakes
84,75,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,Long Island,located in the administrative territorial entity,New York
85,76,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,fuel,part of,engine
86,77,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",1972,point in time,1972
87,78,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ",carb,part of,engine
88,80,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,fuel leak,has effect,engine stopped
89,81,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,lvl,facet of,alcohol
90,82,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ",oil cap,facet of,oil
91,83,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,The Great Gatsby,cast member,Michael Bolton
92,84,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,1972,point in time,1972
93,85,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,engine,use,flight
94,86,GUSTING TO 30K.                                                                                                    ,The Great Gatsby,derivative work,Glee
95,86,GUSTING TO 30K.                                                                                                    ,Glee,based on,The Great Gatsby
96,87,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,2 tires,subclass of,tires
97,88,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,sumps,part of,engine
98,89,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,oil caps,part of,engines
99,90,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,Pilot,instance of,gear
100,91,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",crashed,location,airport
101,92,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,The Great Gatsby,cast member,Michael Bolton
102,93,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,backfired,facet of,fuel
103,94,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,airport,country,United States
104,95,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,The Great Gatsby,cast member,Michael Bolton
105,96,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,taxiing,practiced by,pilot
106,97,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ",aileron,used by,pilot
107,98,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,Lake Champlain,located in the administrative territorial entity,Quebec
108,99,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,Lighthouse,instance of,lighthouse
109,100,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ",ball cover,part of,float plane
110,101,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,landing,followed by,takeoff
111,102,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,tank drain,subclass of,fuel
112,103,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,engine,use,fuel
113,104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,The Great Gatsby,derivative work,Glee
114,104,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,Glee,based on,The Great Gatsby
115,105,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,low power,facet of,carburetor
116,106,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ",1972,point in time,1972
117,107,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,aileron,has part,push rod
118,107,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,push rod,part of,aileron
119,108,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,The Great Gatsby,derivative work,Glee
120,108,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,Glee,based on,The Great Gatsby
121,109,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,Peking,country,China
122,110,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ",loss,facet of,battery
123,111,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,subclass of,disaster
124,112,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,The Great Gatsby,cast member,Michael Bolton
125,113,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,cabin,part of,flight
126,114,FULL NOSE DOWN TRIM.                                                                                               ,The Great Gatsby,derivative work,Glee
127,114,FULL NOSE DOWN TRIM.                                                                                               ,Glee,based on,The Great Gatsby
128,115,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ",r,subclass of,trailer
129,116,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,cockpit,has part,engine compartment
130,116,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,engine compartment,part of,cockpit
131,117,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,oil cap,part of,windshield
132,118,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,diesel,has part,gasoline
133,119,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,Gascolator,instance of,bowl
134,120,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,fuel selector,use,takeoff
135,121,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,engine,has part,fuel
136,121,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,fuel,part of,engine
137,122,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,Wombat,country,Australia
138,123,NO NARRATIVE.                                                                                                      ,The Great Gatsby,derivative work,Glee
139,123,NO NARRATIVE.                                                                                                      ,Glee,based on,The Great Gatsby
140,124,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,Llanbrynmair,instance of,mountain range
141,125,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,airport,country,United States
142,126,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,whileempting,subclass of,mixture control
143,127,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ",airport,operator,pilot
144,128,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,seat,use,ferried
145,129,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ",cam adjustment,part of,nose gear
146,130,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,ifr,subclass of,radio failure
147,131,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,refueled,uses,fuel
148,132,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,takeoff,part of,preflight
149,133,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,fuel drain,facet of,fuel
150,134,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,oil loss,subclass of,pilot
151,135,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,Fairfield County,located in the administrative territorial entity,Connecticut
152,135,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,Connecticut,contains administrative territorial entity,Fairfield County
153,136,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ",1988,point in time,1988
154,137,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,forced,subclass of,fuel tank
155,138,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,gear,has part,actuator
156,138,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,actuator,part of,gear
157,139,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,airport,place served by transport hub,Atlanta
158,140,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",cowling,connects with,prop
159,140,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ",prop,connects with,cowling
160,141,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,landing,location,runway
161,142,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,Jet,subclass of,helicopter
162,143,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,St. Louis,located in the administrative territorial entity,Missouri
163,143,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,Missouri,contains administrative territorial entity,St. Louis
164,144,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,front baggage door,subclass of,door
165,145,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.",backfire,different from,engine start
166,146,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,wheel well,part of,nose
167,147,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,power loss,subclass of,disaster
168,148,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,taxi light,use,taxi
169,149,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ",crashed,location,airport
170,150,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,landing,part of,nacelle
171,151,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,Pilot,country,Australia
172,152,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,collapsed,subclass of,electrical failure
173,153,GENERATOR SHORTING.                                                                                                ,The Great Gatsby,derivative work,Glee
174,153,GENERATOR SHORTING.                                                                                                ,Glee,based on,The Great Gatsby
175,153,GENERATOR SHORTING.                                                                                                ,4 rod asy,subclass of,struck
176,154,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,trailer,has part,heper
177,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,The Great Gatsby,derivative work,Glee
178,155,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,Glee,based on,The Great Gatsby
179,156,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,landing,different from,takeoff
180,157,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ",landing,location,runway
181,158,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. LANDED ON REMAINING RUNWAY GEAR UP.                                ,airframe ice,subclass of,climb
182,159,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,jet,has part,engine
183,160,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,airport,country,United States
184,161,RAN OFF SIDE OF TAXIWAY AT NIGHT. LANDING LIGHT INOPERATIVE.                                                       ,engine,use,fuel
