,Unnamed: 0,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191
28,11199,19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,EQ,V,29,Improper Operation E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,A/C Collisions-On Gr,"Ground Taxi, Other A",                    ,Pilot Induced       ,Instruction         ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    
29,11209,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,EQ,V,24,Improper Operation E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Wheels-Up Landing   ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,None Or Other       ,VFR                 ,Heavy Snow          ,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
30,11306,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Hard Landing        ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                    ,                    ,                    ,                    
31,11469,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ",ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Collision With Other,Normal Cruise       ,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Helicopter External ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    
32,11504,19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,II,E,79,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Climb               ,                    ,Inadequate Maintenan,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    
33,11729,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,II,V,32,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Design Of Aircraft  ,Instruction         ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
34,11747,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,AU,V,72,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Control Coll With Gr,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Business            ,None Or Other       ,IFR                 ,Frontal Activity    ,Night               ,                    ,                    ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
35,12018,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ",II,V,PF,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Poor Preflight Plan ,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,Flight Personnel    ,Letter              ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    
36,12048,19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Final Approach      ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Descent Emergency   ,                    ,                    ,                    
37,12059,19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Climb               ,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    
38,12087,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,II,V,28,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Initial Approach-IFR,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    
39,12126,19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",II,Q,  ,Inadequate Insp Of A,Snow Bank           ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Collision With Other,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Business            ,None Or Other       ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
40,12206,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ",II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,Declared Emergency  ,                    ,                    
41,12220,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,II,E,72,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Unscheduled Landing ,                    ,                    ,                    
42,12230,19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",II,E,73,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Forced Landing      ,Climb               ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
43,12248,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Gear Collapse       ,Takeoff Ground Roll ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Rejected Takeoff    ,Runway Blocked      ,                    ,                    
44,12338,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Gear Retr During Grd,Takeoff Ground Roll ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unscheduled Landing ,Unable/Unsafe To Tax,                    ,                    
45,12563,19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ",AU,V,33,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Collision With Other,"Ground Taxi, Other A",                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
47,12860,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ",II,F,PB,Inadequate Insp Of A,Fire After Crash    ,Pilot-In-Command    ,Poor Preflight Plan/,Fire After Crash    ,Pilot-In-Command    ,                    ,Uncontroll Coll With,Forced/Precautionary,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,IFR                 ,Low Ceiling         ,Night               ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    
48,13023,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ",AU,V,32,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Business            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    
49,13254,19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Stall               ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    
50,13275,19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,II,E,II,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Inadequate Insp Of A,Emergency Landing   ,Other/Pass/Cabin Cre,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Instruction         ,Training            ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,Flight Instructor   ,Discussion          ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Unscheduled Landing ,                    ,                    ,                    
51,13289,19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,Other-Miscellaneous ,Level Off Touchdown ,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Declared Emergency  ,                    ,                    ,                    
