c5,c119,c119_entity_linking
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"[['FR', Entity not linked to a knowledge base, None], ['WNDSHD', Entity not linked to a knowledge base, None], ['WINDOWS', Entity(wikidata_entity_id=Q1406, wikipedia_entity_title=Microsoft Windows), None]]"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"[['NOSE', Entity not linked to a knowledge base, 'PERSON'], ['ERVE GR', Entity not linked to a knowledge base, 'PERSON'], ['WIND', Entity(wikidata_entity_id=Q8094, wikipedia_entity_title=Wind), 'PERSON'], ['23KTS', None, 'QUANTITY']]"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","[['SYST WENT', Entity not linked to a knowledge base, 'PERSON']]"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"[['GRASS', Entity(wikidata_entity_id=Q43238, wikipedia_entity_title=Poaceae), None], ['SKID CAUGHT', Entity not linked to a knowledge base, None]]"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,"[['NO NARRATIVE AVAILABLE', Entity not linked to a knowledge base, None]]"
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","[['R ENG', Entity not linked to a knowledge base, 'PERSON'], ['FEATHER R PROP', Entity not linked to a knowledge base, 'PERSON']]"
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"[['R', Entity not linked to a knowledge base, None], ['DER', Entity not linked to a knowledge base, None], ['GUST LOCK', Entity(wikidata_entity_id=Q15727520, wikipedia_entity_title=Gust lock), 'PERSON'], ['ON WINGS', Entity(wikidata_entity_id=Q7091196, wikipedia_entity_title=On Wings), 'PERSON']]"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['AIL', Entity(wikidata_entity_id=Q680421, wikipedia_entity_title=Oversize load), None], ['R RUDDER', Entity not linked to a knowledge base, 'PERSON'], ['BATTERY', Entity not linked to a knowledge base, None]]"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"[['L MAG INOP', Entity not linked to a knowledge base, None], ['CYL COMPRESSION', Entity not linked to a knowledge base, None], ['25/80', None, 'DATE']]"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"[['WRONG PROP INSTALLED', Entity not linked to a knowledge base, None]]"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"[['APRX 1/2', Entity not linked to a knowledge base, None], ['UPFULL FLUID', Entity not linked to a knowledge base, None], ['R BRAKE', Entity not linked to a knowledge base, None]]"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"[['HANDLE', Entity not linked to a knowledge base, None]]"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"[['OIL FILLER CAP MISSING', Entity not linked to a knowledge base, None]]"
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,[]
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"[['PL', Entity(wikidata_entity_id=Q283919, wikipedia_entity_title=Continuous Tone-Coded Squelch System), None], ['EMERG', Entity(wikidata_entity_id=Q85742781, wikipedia_entity_title=Archives of Academic Emergency Medicine), None], ['NDNG GR', Entity not linked to a knowledge base, None]]"
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"[['UDE', Entity not linked to a knowledge base, None], ['CCESSFUL AUTOROTATION', Entity not linked to a knowledge base, None]]"
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","[['CARGO HOOK', Entity(wikidata_entity_id=Q5039282, wikipedia_entity_title=Cargo hook (helicopter)), None]]"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"[['OIL', Entity(wikidata_entity_id=Q42962, wikipedia_entity_title=Oil), None], ['FIRST FLT AFTR ANNUAL', None, 'ORDINAL']]"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"[['AN175-16', Entity not linked to a knowledge base, None], ['AD', Entity(wikidata_entity_id=Q159791, wikipedia_entity_title=Anno Domini), None], ['TORQUE LINK CENT', Entity not linked to a knowledge base, None], ['FRM BOLT', Entity not linked to a knowledge base, None]]"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"[['APRX 1745LBS', Entity not linked to a knowledge base, None], ['OCTANE FUEL', Entity(wikidata_entity_id=Q193423, wikipedia_entity_title=Octane rating), 'PERSON']]"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","[['ENGINE QU', Entity not linked to a knowledge base, None], ['CAUSE', Entity not linked to a knowledge base, 'PERSON'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"[['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN WATER', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['FUEL SYSTEM', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ",[]
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN LAKE', Entity(wikidata_entity_id=Q19880506, wikipedia_entity_title=Frozen Lake (Montana)), None], ['ICE', Entity(wikidata_entity_id=Q943091, wikipedia_entity_title=U.S. Immigration and Customs Enforcement), 'ORG'], ['MAIN FUEL STRAINER', Entity not linked to a knowledge base, None]]"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"[['ONE', None, 'CARDINAL']]"
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ",[]
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"[['GEAR SWITCH', Entity not linked to a knowledge base, None]]"
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","[['NIGHT', None, 'TIME']]"
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['R AIL', Entity not linked to a knowledge base, None]]"
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","[['RT', Entity not linked to a knowledge base, None], ['BRAKE PUCK 70 WORN', Entity not linked to a knowledge base, None], ['LAST WK', Entity not linked to a knowledge base, None]]"
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"[['RE', Entity not linked to a knowledge base, None], ['COMPTMT', Entity not linked to a knowledge base, None], ['THROTTLE FRICTION LOOSE', Entity not linked to a knowledge base, None]]"
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"[['QUICK DRAIN', Entity not linked to a knowledge base, None]]"
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ",[]
19771016042599A,WIND GUSTING TO 25.                                                                                                ,"[['WIND GUSTING TO 25', Entity not linked to a knowledge base, None]]"
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,[]
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,[]
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"[['HYDRA', Entity(wikidata_entity_id=Q170379, wikipedia_entity_title=Lernaean Hydra), None], ['IC', Entity(wikidata_entity_id=Q286779, wikipedia_entity_title=IC50), None]]"
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","[['ENGINE QU', Entity not linked to a knowledge base, None], ['200 FEET', None, 'DATE'], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ",[]
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"[['ENGINE QU', Entity not linked to a knowledge base, None], ['ICE', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['EL SYSTEM', Entity not linked to a knowledge base, None]]"
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,[]
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"[['ENG', Entity(wikidata_entity_id=Q632025, wikipedia_entity_title=Engineering notation), None]]"
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,"[['ENGINE', Entity not linked to a knowledge base, 'GPE'], ['FF', Entity not linked to a knowledge base, None], ['ENGINE COWL', Entity not linked to a knowledge base, None]]"
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ",[]
19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"[['FUEL GAUGE', Entity(wikidata_entity_id=Q1786026, wikipedia_entity_title=Fuel gauge), None]]"
19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,"[['I', Entity not linked to a knowledge base, None], ['L', Entity not linked to a knowledge base, 'ORG'], ['ING', Entity not linked to a knowledge base, None]]"
19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ",[]
19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['BEGAN', Entity not linked to a knowledge base, None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]"
19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,[]
19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","[['BRAK', Entity not linked to a knowledge base, 'PERSON'], ['BRAKE', Entity(wikidata_entity_id=Q1534839, wikipedia_entity_title=Brake), 'PERSON'], ['IR', Entity not linked to a knowledge base, 'PERSON']]"
19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ",[]
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ","[['NIGHT', None, 'TIME']]"
19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,"[['RAN', Entity not linked to a knowledge base, 'GPE']]"
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"[['NOSE', Entity(wikidata_entity_id=Q2673594, wikipedia_entity_title=Human nose), None], ['NOSE', Entity(wikidata_entity_id=Q2673594, wikipedia_entity_title=Human nose), None], ['EEL', Entity(wikidata_entity_id=Q128685, wikipedia_entity_title=Eel), None]]"
19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"[['ENG', Entity(wikidata_entity_id=Q632025, wikipedia_entity_title=Engineering notation), None]]"
19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None]]"
19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ",[]
19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,[]
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"[['HOLE', Entity not linked to a knowledge base, None], ['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), 'GPE'], ['HOLE', Entity not linked to a knowledge base, None]]"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"[['TAXIING', Entity(wikidata_entity_id=Q1421250, wikipedia_entity_title=Taxiing), None], ['PARK', Entity(wikidata_entity_id=Q22698, wikipedia_entity_title=Park), None], ['K', Entity(wikidata_entity_id=Q11579, wikipedia_entity_title=Kelvin), None]]"
19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,"[['ENGINE QU', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,"[['ENGINE', Entity not linked to a knowledge base, None], ['FUEL GAS', Entity(wikidata_entity_id=Q909363, wikipedia_entity_title=Fuel gas), None]]"
19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ",[]
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ","[['HAD CARB', Entity not linked to a knowledge base, 'PERSON'], ['1/2', None, 'CARDINAL']]"
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TAXIWAY LIP', Entity not linked to a knowledge base, 'GPE']]"
19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,[]
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,"[['0.10 LVL', None, 'QUANTITY'], ['SPEC.45LBS', None, 'QUANTITY']]"
19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","[['OIL LEAK', Entity(wikidata_entity_id=Q220187, wikipedia_entity_title=Oil spill), None], ['LOOSE OIL CAP', Entity not linked to a knowledge base, None]]"
19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,"[['BRAKES', Entity not linked to a knowledge base, None], ['RAN THROUGH FENCE', Entity not linked to a knowledge base, None]]"
19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,[]
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"[['ENGINE COWLING', Entity(wikidata_entity_id=Q1138219, wikipedia_entity_title=Cowling), None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]"
19780520014159A,GUSTING TO 30K.                                                                                                    ,"[['GUSTING TO 30K', Entity not linked to a knowledge base, None]]"
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,"[['TIRES', Entity(wikidata_entity_id=Q169545, wikipedia_entity_title=Tire), None], ['CRAFT', Entity(wikidata_entity_id=Q5013822, wikipedia_entity_title=CRAFT (aviation)), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]"
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,"[['FUEL CAP', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]"
19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,[]
19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,[]
19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ",[]
19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,"[['ENGINE FIRE', Entity(wikidata_entity_id=Q5377742, wikipedia_entity_title=Engine failure on take-off), None], ['BIRDS NEST', Entity not linked to a knowledge base, 'PERSON']]"
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,"[['THIRD', None, 'ORDINAL'], ['OU', None, 'ORDINAL'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,"[['JETWAY', Entity(wikidata_entity_id=Q1061299, wikipedia_entity_title=Jet bridge), None], ['CRAFT', Entity(wikidata_entity_id=Q2207288, wikipedia_entity_title=Craft), None], ['PARKING AREA', Entity(wikidata_entity_id=Q6501349, wikipedia_entity_title=Parking lot), 'GPE']]"
19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), 'GPE'], ['WATER', Entity(wikidata_entity_id=Q283, wikipedia_entity_title=Water), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'GPE']]"
19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,[]
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","[['AILERON', Entity(wikidata_entity_id=Q509379, wikipedia_entity_title=Aileron), None]]"
19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,"[['MARSHY', Entity(wikidata_entity_id=Q30198, wikipedia_entity_title=Marsh), None]]"
19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,"[['LOGG', Entity(wikidata_entity_id=Q5085155, wikipedia_entity_title=Charlie Logg), None], ['NS', Entity(wikidata_entity_id=Q1922815, wikipedia_entity_title=Old Style and New Style dates), None], ['CABLE CAUGHT', Entity not linked to a knowledge base, None], ['L SKID', Entity not linked to a knowledge base, None]]"
19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ",[]
19780603041629I,FLOAT STRUT COLLAPSED DURING TAKEOFF RUN. WAS DAMAGED FROM PREVIOUS HARD LANDING. WIRED TO A BRACE BY THE PILOT.   ,[]
19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,"[['DRAIN VALVE', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]"
19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,"[['ENG', Entity not linked to a knowledge base, None]]"
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"[['ACORNS LODGED', Entity not linked to a knowledge base, None], ['CARB AIR BOX ASSEMBLY', Entity not linked to a knowledge base, None]]"
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"[['CARBURETOR HEAT', Entity(wikidata_entity_id=Q2515721, wikipedia_entity_title=Carburetor heat), None]]"
