,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
19,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"[['RX 1745LBS', Entity not linked to a knowledge base, None], ['VR', Entity(wikidata_entity_id=Q170519, wikipedia_entity_title=Virtual reality), None]]",RX 1745LBS,,,
20,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"[['RX 1745LBS', Entity not linked to a knowledge base, None], ['VR', Entity(wikidata_entity_id=Q170519, wikipedia_entity_title=Virtual reality), None]]",VR,,Virtual reality,Q170519
21,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","[['UEL', Entity not linked to a knowledge base, None]]",UEL,,,
22,19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
23,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","[['FROZEN LAKE', Entity not linked to a knowledge base, None], ['MAIN FUEL', Entity not linked to a knowledge base, None]]",FROZEN LAKE,,,
24,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","[['FROZEN LAKE', Entity not linked to a knowledge base, None], ['MAIN FUEL', Entity not linked to a knowledge base, None]]",MAIN FUEL,,,
25,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), None]]",FUEL,,Fuel,Q42501
26,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), None]]",JET FUEL,,Jet fuel,Q5361665
27,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"[['GEAR SWITCH', Entity not linked to a knowledge base, None]]",GEAR SWITCH,,,
28,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
29,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","[['BRAKE PUCK', Entity not linked to a knowledge base, None]]",BRAKE PUCK,,,
30,19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ","[['T', Entity not linked to a knowledge base, None]]",T,,,
31,19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
32,19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,"[['BOR', Entity not linked to a knowledge base, None]]",BOR,,,
33,19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"[['FUEL GAUGE', Entity(wikidata_entity_id=Q1786026, wikipedia_entity_title=Fuel gauge), None]]",FUEL GAUGE,,Fuel gauge,Q1786026
34,19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","[['PILOT', Entity not linked to a knowledge base, None], ['PILOT', Entity not linked to a knowledge base, 'PERSON']]",PILOT,,,
35,19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"[['BEGAN', Entity not linked to a knowledge base, None]]",BEGAN,,,
36,19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
37,19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
38,19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
39,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"[['HOLE', Entity not linked to a knowledge base, None], ['HOLE', Entity not linked to a knowledge base, None]]",HOLE,,,
40,19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"[['HOLE', Entity not linked to a knowledge base, None], ['HOLE', Entity not linked to a knowledge base, None]]",HOLE,,,
41,19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]",TAXI,,Taxicab,Q82650
42,19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
43,19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"[['TAKEO', Entity not linked to a knowledge base, None], ['EL', Entity not linked to a knowledge base, None]]",TAKEO,,,
44,19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"[['TAKEO', Entity not linked to a knowledge base, None], ['EL', Entity not linked to a knowledge base, None]]",EL,,,
45,19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
46,19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"[['CARBURETOR', Entity(wikidata_entity_id=Q165435, wikipedia_entity_title=Carburetor), None]]",CARBURETOR,,Carburetor,Q165435
47,19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"[['ROPE', Entity(wikidata_entity_id=Q31029, wikipedia_entity_title=Rope), None]]",ROPE,,Rope,Q31029
48,19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"[['BECAME AIRBORNE', Entity not linked to a knowledge base, None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",BECAME AIRBORNE,,,
49,19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"[['BECAME AIRBORNE', Entity not linked to a knowledge base, None], ['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TKOF,,Taylor knock-out factor,Q7690028
50,19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"[['REAR CABIN', Entity not linked to a knowledge base, None]]",REAR CABIN,,,
51,19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"[['WINDSHIELD', Entity(wikidata_entity_id=Q13693, wikipedia_entity_title=Windshield), None]]",WINDSHIELD,,Windshield,Q13693
52,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"[['GASCOLATOR', Entity(wikidata_entity_id=Q5526394, wikipedia_entity_title=Gascolator), None], ['OW', Entity not linked to a knowledge base, None]]",GASCOLATOR,,Gascolator,Q5526394
53,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"[['GASCOLATOR', Entity(wikidata_entity_id=Q5526394, wikipedia_entity_title=Gascolator), None], ['OW', Entity not linked to a knowledge base, None]]",OW,,,
54,19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"[['FUEL V', Entity not linked to a knowledge base, None]]",FUEL V,,,
55,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,"[['OIL', Entity not linked to a knowledge base, None], ['ALFALFA FI', Entity not linked to a knowledge base, 'GPE']]",OIL,,,
56,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['AIRBORNE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None]]",TAKEOFF,,Takeoff,Q854248
57,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['AIRBORNE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None]]",AIRBORNE,,,
58,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['AIRBORNE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None]]",NOSE,,,
59,19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), 'PERSON']]",FUEL,,Fuel,Q42501
60,19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"[['FUEL T', Entity not linked to a knowledge base, None]]",FUEL T,,,
61,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['C', Entity not linked to a knowledge base, None]]",TAKEOFF,,Takeoff,Q854248
62,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['C', Entity not linked to a knowledge base, None]]",C,,,
63,19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"[['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), None]]",JET FUEL,,Jet fuel,Q5361665
64,19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","[['BEGAN', Entity not linked to a knowledge base, None]]",BEGAN,,,
65,19780925018069I,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,"[['NACELLE', Entity(wikidata_entity_id=Q27070220, wikipedia_entity_title=Nacelle), None]]",NACELLE,,Nacelle,Q27070220
66,19780903028619A,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
67,19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,"[['UNKN', Entity not linked to a knowledge base, None]]",UNKN,,,
68,19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","[['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), 'PERSON']]",LIFTOFF,,Takeoff,Q854248
69,19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","[['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None], ['JET FUEL', Entity(wikidata_entity_id=Q5361665, wikipedia_entity_title=Jet fuel), 'PERSON']]",TAKEOFF,,Takeoff,Q854248
70,19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"[['BAGGAGE CART', Entity(wikidata_entity_id=Q14277552, wikipedia_entity_title=Baggage cart), None], ['JET BLAST', Entity(wikidata_entity_id=Q1996324, wikipedia_entity_title=Jet blast), 'PERSON'], ['BRAKES', Entity(wikidata_entity_id=Q1534839, wikipedia_entity_title=Brake), None]]",BAGGAGE CART,,Baggage cart,Q14277552
71,19781230019999I,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
72,19790107000829I,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ","[['TAXI', Entity(wikidata_entity_id=Q82650, wikipedia_entity_title=Taxicab), None]]",TAXI,,Taxicab,Q82650
73,19790111000619I,ENGINE QUIT AFTER LIFTOFF. LANDED GEAR UP. FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS.                           ,"[['LIFTOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",LIFTOFF,,Takeoff,Q854248
74,19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,"[['C', Entity not linked to a knowledge base, None]]",C,,,
75,19781205041369A,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,"[['CRPATH', Entity not linked to a knowledge base, None]]",CRPATH,,,
76,19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"[['TA', Entity not linked to a knowledge base, None], ['I', Entity not linked to a knowledge base, None]]",TA,,,
77,19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"[['TA', Entity not linked to a knowledge base, None], ['I', Entity not linked to a knowledge base, None]]",I,,,
78,19781119026389I,"AS PILOT ATTEMPTED TURN ON TAXIWAY, WHEEL WENT INTO DITCH. NO BRAKES DUE TO INSUFFICIENT FLUID.                    ","[['TAXIWAY', Entity(wikidata_entity_id=Q910386, wikipedia_entity_title=Taxiway), None]]",TAXIWAY,,Taxiway,Q910386
79,19790102000919I,LOST DIRECTIONAL CONTROL ON ICY RUNWAY. RIGHT BRAKE MASTER CYLINDER WAS EMPTY. NOT SERVICED FOR 5 MONTHS.          ,"[['IC', Entity not linked to a knowledge base, None]]",IC,,,
80,19781102039739A,"GUST LOCK FOUND ATTACHED TO R WING. SUB DMG TO CESSNA 172,N8107T.                                                  ","[['CESSNA', Entity(wikidata_entity_id=Q308889, wikipedia_entity_title=Cessna), None]]",CESSNA,,Cessna,Q308889
81,19781117041969A,FROST ON AIRCRAFT.TURBOCHARGERS NOT USED ON TKOF.                                                                  ,"[['TKOF', Entity(wikidata_entity_id=Q7690028, wikipedia_entity_title=Taylor knock-out factor), None]]",TKOF,,Taylor knock-out factor,Q7690028
82,19790223006939I,WHILE DEPARTING GATE JET BLAST CAUSED A BAGGAGE CART TO ROLL INTO B99 WHICH WAS FOLLOWING CLOSE BEHIND.            ,"[['B99', Entity not linked to a knowledge base, None]]",B99,,,
83,19790318009229I,ZG FORCED LANDING AFTER ENGINE QUIT. FUEL SELECTOR WAS NOT POSITIONED PROPERLY.                                    ,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",FUEL,,Fuel,Q42501
84,19790224005689A,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,"[['INGS', Entity not linked to a knowledge base, None], ['TAKEO', Entity not linked to a knowledge base, None]]",INGS,,,
85,19790224005689A,WITNESSES SAID THE PILOT DID NOT REMOVE SNOW FROM THE WINGS PRIOR TO TAKEOFF. AIRCRAFT FOUND 4 DAYS LATER.         ,"[['INGS', Entity not linked to a knowledge base, None], ['TAKEO', Entity not linked to a knowledge base, None]]",TAKEO,,,
86,19790207005339I,FORWARD CARGO DOOR CAME OFF AFTER TAKEOFF. DOOR WAS NOT LATCHED.                                                   ,"[['CARGO', Entity(wikidata_entity_id=Q319224, wikipedia_entity_title=Cargo), None], ['T', Entity not linked to a knowledge base, None]]",CARGO,,Cargo,Q319224
87,19790207005339I,FORWARD CARGO DOOR CAME OFF AFTER TAKEOFF. DOOR WAS NOT LATCHED.                                                   ,"[['CARGO', Entity(wikidata_entity_id=Q319224, wikipedia_entity_title=Cargo), None], ['T', Entity not linked to a knowledge base, None]]",T,,,
88,19790211007509A,ENGINE STOPPED ON CLIMB-OUT. MADE EMERGENCY CRASH LANDING. WATER IN FUEL.                                          ,"[['EL', Entity not linked to a knowledge base, None]]",EL,,,
89,19790321010439A,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,"[['MULTIENGINE', Entity not linked to a knowledge base, None]]",MULTIENGINE,,,
90,19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,"[['ACRFT', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]",ACRFT,,,
91,19790319004969A,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
92,19790318010729A,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH. WOULD NOT START ON FULL TANK. WATER IN FUEL.CRASHED SHORT OF RWY.,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['RWY', Entity(wikidata_entity_id=Q184590, wikipedia_entity_title=Runway), None]]",FUEL,,Fuel,Q42501
93,19790318010729A,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH. WOULD NOT START ON FULL TANK. WATER IN FUEL.CRASHED SHORT OF RWY.,"[['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None], ['RWY', Entity(wikidata_entity_id=Q184590, wikipedia_entity_title=Runway), None]]",RWY,,Runway,Q184590
94,19790309032649A,"CARGO DOOR CAME OPEN IN FLIGHT. AFTER LANDING,THE DOOR WAS PROPERLY LATCHED. THE FAILURE COULD NOT BE DUPLICATED.  ","[['CARGO', Entity(wikidata_entity_id=Q319224, wikipedia_entity_title=Cargo), None]]",CARGO,,Cargo,Q319224
