,c5_id,c119_input,c119_entity_linking,mentions,labels,entities,qids
10,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"[['DEP', Entity not linked to a knowledge base, None], ['KNOWN ELEC PROB', Entity not linked to a knowledge base, None], ['EMERG GR DOWN SYS', Entity not linked to a knowledge base, None]]",EMERG GR DOWN SYS,,,
11,19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"[['MTNS', Entity(wikidata_entity_id=Q1813361, wikipedia_entity_title=MTN Group), None], ['CK VOR', Entity not linked to a knowledge base, 'PERSON'], ['OP PRIOR DAY', Entity not linked to a knowledge base, None]]",MTNS,,MTN Group,Q1813361
12,19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"[['FR', Entity not linked to a knowledge base, None], ['WNDSHD', Entity not linked to a knowledge base, None], ['WINDOWS', Entity(wikidata_entity_id=Q1406, wikipedia_entity_title=Microsoft Windows), None]]",FR,,,
13,19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"[['FR', Entity not linked to a knowledge base, None], ['WNDSHD', Entity not linked to a knowledge base, None], ['WINDOWS', Entity(wikidata_entity_id=Q1406, wikipedia_entity_title=Microsoft Windows), None]]",WNDSHD,,,
14,19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"[['FR', Entity not linked to a knowledge base, None], ['WNDSHD', Entity not linked to a knowledge base, None], ['WINDOWS', Entity(wikidata_entity_id=Q1406, wikipedia_entity_title=Microsoft Windows), None]]",WINDOWS,,Microsoft Windows,Q1406
15,19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"[['GRASS', Entity(wikidata_entity_id=Q43238, wikipedia_entity_title=Poaceae), None], ['SKID CAUGHT', Entity not linked to a knowledge base, None]]",GRASS,,Poaceae,Q43238
16,19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"[['GRASS', Entity(wikidata_entity_id=Q43238, wikipedia_entity_title=Poaceae), None], ['SKID CAUGHT', Entity not linked to a knowledge base, None]]",SKID CAUGHT,,,
17,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]",BANNER,,,
18,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]",UGHT,,,
19,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]",L LNDG GR.PLT,,,
20,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]",UN MAINTAIN,,,
21,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","[['BANNER', Entity not linked to a knowledge base, None], ['UGHT', Entity not linked to a knowledge base, None], ['L LNDG GR.PLT', Entity not linked to a knowledge base, None], ['UN MAINTAIN', Entity not linked to a knowledge base, None], ['T', Entity not linked to a knowledge base, None]]",T,,,
22,19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,"[['NO NARRATIVE AVAILABLE', Entity not linked to a knowledge base, None]]",NO NARRATIVE AVAILABLE,,,
23,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"[['R', Entity not linked to a knowledge base, None], ['DER', Entity not linked to a knowledge base, None], ['GUST LOCK', Entity(wikidata_entity_id=Q15727520, wikipedia_entity_title=Gust lock), 'PERSON'], ['ON WINGS', Entity(wikidata_entity_id=Q7091196, wikipedia_entity_title=On Wings), 'PERSON']]",R,,,
24,19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"[['R', Entity not linked to a knowledge base, None], ['DER', Entity not linked to a knowledge base, None], ['GUST LOCK', Entity(wikidata_entity_id=Q15727520, wikipedia_entity_title=Gust lock), 'PERSON'], ['ON WINGS', Entity(wikidata_entity_id=Q7091196, wikipedia_entity_title=On Wings), 'PERSON']]",DER,,,
25,19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['AIL', Entity(wikidata_entity_id=Q680421, wikipedia_entity_title=Oversize load), None], ['R RUDDER', Entity not linked to a knowledge base, 'PERSON'], ['BATTERY', Entity not linked to a knowledge base, None]]",RUDDER,,Rudder,Q209760
26,19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['AIL', Entity(wikidata_entity_id=Q680421, wikipedia_entity_title=Oversize load), None], ['R RUDDER', Entity not linked to a knowledge base, 'PERSON'], ['BATTERY', Entity not linked to a knowledge base, None]]",AIL,,Oversize load,Q680421
27,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"[['L MAG INOP', Entity not linked to a knowledge base, None], ['CYL COMPRESSION', Entity not linked to a knowledge base, None], ['25/80', None, 'DATE']]",L MAG INOP,,,
28,19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"[['L MAG INOP', Entity not linked to a knowledge base, None], ['CYL COMPRESSION', Entity not linked to a knowledge base, None], ['25/80', None, 'DATE']]",CYL COMPRESSION,,,
29,19770530012939A,WRONG PROP INSTALLED                                                                                               ,"[['WRONG PROP INSTALLED', Entity not linked to a knowledge base, None]]",WRONG PROP INSTALLED,,,
30,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"[['APRX 1/2', Entity not linked to a knowledge base, None], ['UPFULL FLUID', Entity not linked to a knowledge base, None], ['R BRAKE', Entity not linked to a knowledge base, None]]",APRX 1/2,,,
31,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"[['APRX 1/2', Entity not linked to a knowledge base, None], ['UPFULL FLUID', Entity not linked to a knowledge base, None], ['R BRAKE', Entity not linked to a knowledge base, None]]",UPFULL FLUID,,,
32,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"[['APRX 1/2', Entity not linked to a knowledge base, None], ['UPFULL FLUID', Entity not linked to a knowledge base, None], ['R BRAKE', Entity not linked to a knowledge base, None]]",R BRAKE,,,
33,19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"[['HANDLE', Entity not linked to a knowledge base, None]]",HANDLE,,,
34,19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"[['OIL FILLER CAP MISSING', Entity not linked to a knowledge base, None]]",OIL FILLER CAP MISSING,,,
35,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"[['PL', Entity not linked to a knowledge base, None], ['EMERG', Entity(wikidata_entity_id=Q85742781, wikipedia_entity_title=Archives of Academic Emergency Medicine), None], ['NDNG GR', Entity not linked to a knowledge base, None]]",PL,,,
36,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"[['PL', Entity not linked to a knowledge base, None], ['EMERG', Entity(wikidata_entity_id=Q85742781, wikipedia_entity_title=Archives of Academic Emergency Medicine), None], ['NDNG GR', Entity not linked to a knowledge base, None]]",EMERG,,Archives of Academic Emergency Medicine,Q85742781
37,19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"[['PL', Entity not linked to a knowledge base, None], ['EMERG', Entity(wikidata_entity_id=Q85742781, wikipedia_entity_title=Archives of Academic Emergency Medicine), None], ['NDNG GR', Entity not linked to a knowledge base, None]]",NDNG GR,,,
38,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"[['UDE', Entity not linked to a knowledge base, None], ['CCESSFUL AUTOROTATION', Entity not linked to a knowledge base, None]]",UDE,,,
39,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"[['UDE', Entity not linked to a knowledge base, None], ['CCESSFUL AUTOROTATION', Entity not linked to a knowledge base, None]]",CCESSFUL AUTOROTATION,,,
40,19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"[['OIL', Entity(wikidata_entity_id=Q42962, wikipedia_entity_title=Oil), None], ['FIRST FLT AFTR ANNUAL', None, 'ORDINAL']]",OIL,,Oil,Q42962
41,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"[['AN175-16', Entity not linked to a knowledge base, None], ['AD', Entity(wikidata_entity_id=Q159791, wikipedia_entity_title=Anno Domini), None], ['TORQUE LINK CENT', Entity not linked to a knowledge base, None], ['FRM BOLT', Entity not linked to a knowledge base, None]]",AN175-16,,,
42,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"[['AN175-16', Entity not linked to a knowledge base, None], ['AD', Entity(wikidata_entity_id=Q159791, wikipedia_entity_title=Anno Domini), None], ['TORQUE LINK CENT', Entity not linked to a knowledge base, None], ['FRM BOLT', Entity not linked to a knowledge base, None]]",AD,,Anno Domini,Q159791
43,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"[['AN175-16', Entity not linked to a knowledge base, None], ['AD', Entity(wikidata_entity_id=Q159791, wikipedia_entity_title=Anno Domini), None], ['TORQUE LINK CENT', Entity not linked to a knowledge base, None], ['FRM BOLT', Entity not linked to a knowledge base, None]]",TORQUE LINK CENT,,,
44,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"[['AN175-16', Entity not linked to a knowledge base, None], ['AD', Entity(wikidata_entity_id=Q159791, wikipedia_entity_title=Anno Domini), None], ['TORQUE LINK CENT', Entity not linked to a knowledge base, None], ['FRM BOLT', Entity not linked to a knowledge base, None]]",FRM BOLT,,,
45,19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"[['APRX 1745LBS', Entity not linked to a knowledge base, None], ['OCTANE FUEL', Entity(wikidata_entity_id=Q193423, wikipedia_entity_title=Octane rating), 'PERSON']]",APRX 1745LBS,,,
46,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","[['ENGINE QU', Entity not linked to a knowledge base, None], ['CAUSE', Entity not linked to a knowledge base, 'PERSON'], ['FUEL', Entity(wikidata_entity_id=Q42501, wikipedia_entity_title=Fuel), None]]",ENGINE QU,,,
47,19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FUEL', Entity not linked to a knowledge base, 'GPE']]",ENGINE QUIT,,,
48,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN WATER', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['FUEL SYSTEM', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]",ENGINE QUIT,,,
49,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN WATER', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['FUEL SYSTEM', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]",FROZEN WATER,,Ice,Q23392
50,19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN WATER', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['FUEL SYSTEM', Entity(wikidata_entity_id=Q1411232, wikipedia_entity_title=Fuel tank), None]]",FUEL SYSTEM,,Fuel tank,Q1411232
51,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","[['ENGINE QUIT', Entity not linked to a knowledge base, None], ['FROZEN LAKE', Entity(wikidata_entity_id=Q19880506, wikipedia_entity_title=Frozen Lake (Montana)), None], ['ICE', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), 'ORG'], ['MAIN FUEL STRAINER', Entity not linked to a knowledge base, None]]",ENGINE QUIT,,,
52,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"[['GEAR SWITCH', Entity not linked to a knowledge base, None]]",GEAR SWITCH,,,
53,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"[['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",TAKEOFF,,Takeoff,Q854248
54,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['R AIL', Entity not linked to a knowledge base, None]]",RUDDER,,Rudder,Q209760
55,19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","[['RUDDER', Entity(wikidata_entity_id=Q209760, wikipedia_entity_title=Rudder), None], ['R AIL', Entity not linked to a knowledge base, None]]",R AIL,,,
56,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","[['RT', Entity not linked to a knowledge base, None], ['BRAKE PUCK 70 WORN', Entity not linked to a knowledge base, None], ['LAST WK', Entity not linked to a knowledge base, None]]",RT,,,
57,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","[['RT', Entity not linked to a knowledge base, None], ['BRAKE PUCK 70 WORN', Entity not linked to a knowledge base, None], ['LAST WK', Entity not linked to a knowledge base, None]]",BRAKE PUCK 70 WORN,,,
58,19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","[['RT', Entity not linked to a knowledge base, None], ['BRAKE PUCK 70 WORN', Entity not linked to a knowledge base, None], ['LAST WK', Entity not linked to a knowledge base, None]]",LAST WK,,,
59,19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"[['RE', Entity not linked to a knowledge base, None], ['COMPTMT', Entity not linked to a knowledge base, None], ['THROTTLE FRICTION LOOSE', Entity not linked to a knowledge base, None]]",RE,,,
60,19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"[['RE', Entity not linked to a knowledge base, None], ['COMPTMT', Entity not linked to a knowledge base, None], ['THROTTLE FRICTION LOOSE', Entity not linked to a knowledge base, None]]",COMPTMT,,,
61,19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"[['RE', Entity not linked to a knowledge base, None], ['COMPTMT', Entity not linked to a knowledge base, None], ['THROTTLE FRICTION LOOSE', Entity not linked to a knowledge base, None]]",THROTTLE FRICTION LOOSE,,,
62,19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"[['QUICK DRAIN', Entity not linked to a knowledge base, None]]",QUICK DRAIN,,,
63,19771016042599A,WIND GUSTING TO 25.                                                                                                ,"[['WIND GUSTING TO 25', Entity not linked to a knowledge base, None]]",WIND GUSTING TO 25,,,
64,19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"[['HYDRA', Entity(wikidata_entity_id=Q621431, wikipedia_entity_title=Cthulhu Mythos deities), None], ['IC', Entity(wikidata_entity_id=Q286779, wikipedia_entity_title=IC50), None]]",HYDRA,,Cthulhu Mythos deities,Q621431
65,19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"[['HYDRA', Entity(wikidata_entity_id=Q621431, wikipedia_entity_title=Cthulhu Mythos deities), None], ['IC', Entity(wikidata_entity_id=Q286779, wikipedia_entity_title=IC50), None]]",IC,,IC50,Q286779
66,19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","[['ENGINE QU', Entity not linked to a knowledge base, None], ['200 FEET', None, 'DATE'], ['TAKEOFF', Entity(wikidata_entity_id=Q854248, wikipedia_entity_title=Takeoff), None]]",ENGINE QU,,,
67,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"[['ENGINE QU', Entity not linked to a knowledge base, None], ['ICE', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['EL SYSTEM', Entity not linked to a knowledge base, None]]",ENGINE QU,,,
68,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"[['ENGINE QU', Entity not linked to a knowledge base, None], ['ICE', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['EL SYSTEM', Entity not linked to a knowledge base, None]]",ICE,,Ice,Q23392
69,19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"[['ENGINE QU', Entity not linked to a knowledge base, None], ['ICE', Entity(wikidata_entity_id=Q23392, wikipedia_entity_title=Ice), None], ['EL SYSTEM', Entity not linked to a knowledge base, None]]",EL SYSTEM,,,
70,19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"[['ENG', Entity(wikidata_entity_id=Q632025, wikipedia_entity_title=Engineering notation), None]]",ENG,,Engineering notation,Q632025
71,19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"[['FUEL GAUGE', Entity(wikidata_entity_id=Q1786026, wikipedia_entity_title=Fuel gauge), None]]",FUEL GAUGE,,Fuel gauge,Q1786026
72,19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,"[['I', Entity not linked to a knowledge base, None], ['L', Entity not linked to a knowledge base, 'ORG'], ['ING', Entity not linked to a knowledge base, None]]",I,,,
73,19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['BEGAN', Entity not linked to a knowledge base, None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]",ENGINE,,Aircraft engine,Q743004
74,19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['BEGAN', Entity not linked to a knowledge base, None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]",BEGAN,,,
75,19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"[['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None], ['BEGAN', Entity not linked to a knowledge base, None], ['ENGINE', Entity(wikidata_entity_id=Q743004, wikipedia_entity_title=Aircraft engine), None]]",ENGINE,,Aircraft engine,Q743004
76,19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"[['NOSE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None], ['EEL', Entity(wikidata_entity_id=Q128685, wikipedia_entity_title=Eel), None]]",NOSE,,,
77,19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"[['NOSE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None], ['EEL', Entity(wikidata_entity_id=Q128685, wikipedia_entity_title=Eel), None]]",NOSE,,,
78,19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"[['NOSE', Entity not linked to a knowledge base, None], ['NOSE', Entity not linked to a knowledge base, None], ['EEL', Entity(wikidata_entity_id=Q128685, wikipedia_entity_title=Eel), None]]",EEL,,Eel,Q128685
79,19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"[['ENG', Entity(wikidata_entity_id=Q632025, wikipedia_entity_title=Engineering notation), None]]",ENG,,Engineering notation,Q632025
80,19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,"[['ENGINE QUIT', Entity not linked to a knowledge base, None]]",ENGINE QUIT,,,
